Core ,Age [ka],Depth [cm],Infaunals[%],Stress Species[%],Oxic[%],Suboxic[%],Dysoxic[%],EBFOI,Inferred Dissolve Oxygen Concentration [umol/kg],OM,TR,Time,Cibicidoides spp.,Cibicidoides (%) - Cib. Robtsonianus,(1) Elevated Epifaunal,(2)( Elevated Epifaunal - C. robertsonianus,(1) porcentage,(2) porcentage - C. robertsonianus,Current Velocities (1),Current Velocities (2),Cibicidoides pachyderma,Planulina arimenensis,Cibicidoides robertsonianus,Lobatula lobatula,Bolivina cff. spathulata ,Uvigerina peregrina,Oridorsalis umbonatus,Nonionella turgida/pulchella,Bolivina subaenariensis var. mexicana,Uvigerina mediterranea,Melonis barleeanus ,Pullenia bulloides / quinqueloba,Cassidulina teretis/laevigata,Quinqueloculina spp.,Triloculina spp.,Pyrgo spp.,Pyrgoella sphaera
GeoB9512-5,0.18,2.5,83.3,75.83333333,16.66666667,47.08333333,21.66666667,18.21690031,92.49,LO,EU,late Holocene-2,6.67,4.58,28,23,11.66666667,9.583333333,0.099383413,0.091005374,4.6,4.2,2.1,0.8,9.2,20,0.8,1.3,0,0.4,0,1.3,9.2,0,0,0,0
GeoB9512-5,0.72,7.5,78.5,72.24880383,14.35406699,53.11004785,21.53110048,18.29861111,92.62,LO,EU,late Holocene-2,7.18,3.83,26,19,12.44019139,9.090909091,0.102686809,0.089130608,3.8,4.3,3.3,1,11.5,18.7,0.5,3.3,0,3.8,1.9,1,11,0,0,0,0
GeoB9512-5,1.56,12.5,76.1,68.65671642,20.39800995,47.76119403,20.89552239,27.81490872,108.15,LO,EU,late Holocene-2,9.45,6.47,31,25,15.42288557,12.43781095,0.116485653,0.102676476,6.5,5,3,1,13.4,14.9,0.5,2.5,2,2,0,0,15.4,0,0,0,0
GeoB9512-5,2.6,17.5,72.8,63.59447005,13.82488479,56.22119816,20.73732719,24.10828983,101.99,LO,EU,late Holocene-2,11.06,10.14,28,26,12.90322581,11.98156682,0.104716537,0.100715195,10.1,0.9,0.9,0.9,10.6,21.7,0,0.5,3.7,3.7,0,0.5,7.4,0,0,0,0
GeoB9512-5,3.42,22.5,58.2,57.27272727,23.63636364,51.36363636,15.90909091,34.82423274,120.18,LO,MS,late Holocene,18.64,18.18,44,43,20,19.54545455,0.141351811,0.138661727,18.2,1.4,0.5,0,10,8.6,0,0.5,0.5,9.5,0.9,2.3,9.5,0,0,0,0
GeoB9512-5,4.23,27.5,64.5,60.33057851,30.16528926,37.19008264,23.55371901,45.99119942,140.45,LO,MS,late Holocene,23.55,21.9,64,60,26.44628099,24.79338843,0.185628819,0.17310148,21.9,2.5,1.7,0.4,17.8,5.8,1.2,0.4,0,6.6,3.3,2.5,12.8,0,0,0,0
GeoB9512-5,5.04,32.5,51.6,46.60633484,31.67420814,43.89140271,18.09954751,49.60400674,147.32,HO,MS,late Holocene,24.43,23.53,56,54,25.33936652,24.43438914,0.177143049,0.17049439,23.5,0.9,0.9,0,12.2,2.7,0.9,0.5,0,11.3,1.8,0.9,6.3,0,0,0,0
GeoB9512-5,5.59,37.5,54.5,51.08225108,24.67532468,50.21645022,20.77922078,34.44595725,119.52,LO,MS,late Holocene,16.45,14.72,42,38,18.18181818,16.45021645,0.130894769,0.121655763,14.3,1.7,1.7,0,14.7,7.8,0.4,1.7,0,9.5,1.7,0.4,6.9,0,0,0,0
GeoB9512-5,5.87,42.5,56.3,51.08225108,18.18181818,54.11255411,19.48051948,30.86205518,113.31,LO,MS,late Holocene,13.85,10.82,37,30,16.01731602,12.98701299,0.119449761,0.105088085,10.8,0.9,3,1.3,14.3,11.3,1.3,0.9,0,11.3,0.9,0.4,2.6,0,0,0,0
GeoB9512-5,6.2,47.5,57.5,50.5,24,44.5,19.5,32.03010094,115.32,LO,MS,late Holocene,14.5,13.5,34,32,17,16,0.124516208,0.119362358,12.5,1,1,1.5,14.5,4.5,0,2,0,12,3.5,0.5,2,0,0,0,0
GeoB9512-5,6.53,52.5,59.9,55.40540541,26.12612613,41.89189189,21.62162162,42.06556763,133.17,LO,MS,early Holocene,16.67,14.86,43,39,19.36936937,17.56756757,0.137633434,0.127539754,13.5,0.9,1.8,1.8,17.1,3.2,0.5,0.9,0,19.8,4.1,0.5,0.5,0,0,0,0
GeoB9512-5,6.82,57.5,68.1,61.97183099,22.0657277,35.21126761,27.69953052,28.62962963,109.52,LO,EU,early Holocene,15.96,15.96,35,35,16.43192488,16.43192488,0.121561733,0.121561733,13.1,0.5,0,0,25.4,0.5,1.4,0,0,16.9,8.9,0,0.5,0,0,0,0
GeoB9512-5,7.12,62.5,59.9,50.94339623,17.9245283,46.22641509,24.52830189,34.66850445,119.91,LO,MS,early Holocene,7.55,7.08,28,27,13.20754717,12.73584906,0.106072341,0.103978246,7.1,2.8,0.5,2.8,15.1,4.7,2.8,0,0,14.6,4.7,1.9,0.9,0,0,0,0
GeoB9512-5,7.57,67.5,57.7,50.45045045,30.18018018,27.02702703,25.67567568,55.42310043,158.70,LO,MS,early Holocene,17.12,9.01,55,37,24.77477477,16.66666667,0.172965331,0.122773995,9,4.5,8.1,3.2,14.4,6.3,1.4,0.5,0.5,0.9,8.1,1.4,0,0,0,0,0
GeoB9512-5,8.07,72.5,63.9,55.25114155,28.31050228,30.59360731,26.94063927,40.97319055,131.17,LO,MS,early Holocene,10.96,7.31,47,39,21.46118721,17.80821918,0.150358012,0.128843815,5.9,6.8,3.7,3.7,16,12.3,1.4,0,1.4,2.7,6.8,0,0.9,0,0,0,0
GeoB9512-5,8.58,77.5,67.4,61.08786611,26.77824268,25.52301255,33.47280335,38.17984094,126.13,LO,EU,early Holocene,10.88,6.69,46,36,19.24686192,15.06276151,0.136922523,0.114725802,4.2,7.1,4.2,1.3,25.9,5.9,0,0.4,0.8,4.2,8.8,0.4,1.7,0,0,0,0
GeoB9512-5,9.06,82.5,61.8,50.22222222,34.22222222,23.11111111,22.22222222,45.25380886,139.07,LO,MS,early Holocene,16.89,10.67,54,40,24,17.77777778,0.167392256,0.128678123,6.7,6.7,6.2,0.4,15.6,4.4,0.9,0,0,2.2,10.7,1.8,0.4,0,0,0,0
GeoB9512-5,9.55,87.5,63.2,48.63636364,34.54545455,27.72727273,23.63636364,48.35379051,144.92,LO,MS,early Holocene,17.27,13.64,55,47,25,21.36363636,0.174619949,0.149739262,8.6,7.3,3.6,0.5,16.4,3.2,1.8,0.9,0.9,5,10,0.9,0.5,0,0,0,0
GeoB9512-5,10.03,92.5,52.8,42.79475983,40.17467249,28.38427948,18.34061135,58.85046113,165.60,LO,MS,early Holocene,22.27,13.54,76,56,33.18777293,24.45414847,0.246836317,0.170636857,9.6,10.9,8.7,0,14,3.9,1.3,0.4,0.4,2.2,6.6,1.7,3.1,0,0,0.9,0
GeoB9512-5,10.46,97.5,65.5,55.15873016,30.95238095,23.80952381,24.20634921,44.39379925,137.47,LO,MS,early Holocene,11.9,5.56,56,40,22.22222222,15.87301587,0.155273747,0.118723353,4,9.1,6.3,1.2,11.9,2.8,0.4,1.2,0.8,2.8,5.2,1.2,1.2,0,0.4,0,0
GeoB9512-5,10.82,102.5,61.2,49.53271028,32.71028037,31.77570093,20.09345794,40.93537815,131.10,LO,MS,early Holocene,18.22,4.67,49,20,22.89719626,9.345794393,0.159767906,0.090096139,4.7,4.7,13.6,0,9.3,1.4,2.8,3.7,0.9,0.5,3.7,1.4,3.3,0,0,0.5,0
GeoB9512-5,10.98,107.5,43,34.83606557,52.45901639,21.31147541,17.62295082,81.46386825,214.94,HO,MS,early Holocene,35.25,20.49,108,72,44.26229508,29.50819672,0.394203641,0.211279602,18.4,9,14.8,0,9.4,1.6,1.6,2,1.2,0,2.5,0,2.9,0,0,0,0
GeoB9512-5,11.14,112.5,43.1,31.79916318,53.13807531,23.0125523,15.89958159,75.62820513,201.54,HO,MS,early Holocene,37.66,25.94,103,75,43.09623431,31.38075314,0.375243786,0.228683532,22.2,5.4,11.7,0,7.1,0,2.5,2.9,2.1,0,2.5,0.4,2.1,0,0,0.4,0
GeoB9512-5,11.3,117.5,42.5,27.77777778,55.95238095,25,8.333333333,87.84091882,230.14,HO,MS,early Holocene,34.92,19.84,116,78,46.03174603,30.95238095,0.424820133,0.224579764,18.7,11.1,15.1,0,3.6,1.6,2.4,3.6,0,0,2,0,2.4,0.4,0,0,0
GeoB9512-5,11.46,122.5,53.7,42.68292683,46.34146341,20.73170732,19.51219512,60.04310345,168.03,HO,MS,early Holocene,28.86,17.89,85,58,34.55284553,23.57723577,0.261498822,0.164427346,17.5,5.7,11,0,11,3.3,1.6,0.8,0.4,2.8,4.1,0,0.8,0.4,0.4,0.4,0
GeoB9512-5,11.62,127.5,40,30,58.69565217,11.73913043,12.60869565,81.62285483,215.31,HO,MS,early Holocene,31.74,18.7,103,73,44.7826087,31.73913043,0.402970085,0.232174308,15.7,13,13,0,6.1,1.3,4.8,0,1.7,0,3,0,0,3,0,0,0
GeoB9512-5,11.78,132.5,60.9,50.78125,32.03125,27.734375,24.21875,39.41961583,128.35,LO,MS,YD,14.84,5.86,56,33,21.875,12.890625,0.153011318,0.104660774,4.7,5.9,9,1.2,10.5,1.6,1.6,3.1,0.4,0.4,2.3,2,3.1,0,0,0,0
