depth	min	max	median	mean
2.5	-16	402	184	185
3.5	24	754	294	317
4.5	54	1147	396	450
5.5	80	1542	498	582
6.5	100	1944	602	715
7.5	175	2200	733	853
8.5	258	2324	893	998
9.5	312	2481	1055	1142
10.5	358	2669	1207	1286
11.5	397	2900	1347	1430
12.5	497	3106	1504	1583
13.5	620	3259	1681	1745
14.5	701	3438	1850	1907
15.5	773	3665	2020	2069
16.5	831	3949	2180	2230
17.5	951	4146	2335	2392
18.5	1104	4232	2513	2554
19.5	1208	4337	2692	2715
20.5	1300	4470	2873	2877
21.5	1376	4638	3049	3039
22.5	1582	4777	3212	3206
23.5	1840	4846	3390	3379
24.5	2011	4931	3585	3551
25.5	2144	5028	3785	3724
26.5	2244	5147	3976	3896
27.5	2435	5262	4139	4056
28.5	2673	5304	4291	4202
29.5	2885	5355	4451	4348
30.5	3047	5418	4613	4495
31.5	3184	5503	4776	4641
32.5	3466	5585	4920	4800
33.5	3916	5612	5061	4971
34.5	4375	5647	5202	5142
35.5	4817	5693	5340	5313
36.5	5217	5774	5482	5485
37.5	5384	5867	5593	5602
38.5	5438	5934	5656	5665
39.5	5471	6044	5716	5728
40.5	5496	6181	5773	5791
41.5	5514	6332	5827	5854
42.5	5558	6432	5885	5916
43.5	5610	6477	5952	5977
44.5	5647	6531	6021	6038
45.5	5677	6595	6087	6099
46.5	5700	6684	6150	6160
47.5	5750	6749	6210	6219
48.5	5811	6783	6271	6277
49.5	5856	6823	6335	6335
50.5	5891	6869	6398	6393
51.5	5921	6934	6459	6451
52.5	5984	6985	6517	6509
53.5	6070	7010	6576	6568
54.5	6137	7040	6640	6627
55.5	6188	7079	6706	6686
56.5	6230	7130	6771	6744
57.5	6325	7174	6826	6804
58.5	6471	7195	6876	6863
59.5	6608	7221	6927	6923
60.5	6723	7256	6981	6982
61.5	6806	7301	7039	7042
62.5	6889	7364	7115	7117
63.5	6952	7505	7200	7207
64.5	6988	7711	7278	7298
65.5	7015	7953	7353	7388
66.5	7036	8211	7426	7479
67.5	7094	8375	7511	7572
68.5	7157	8467	7613	7667
69.5	7200	8578	7715	7762
70.5	7234	8719	7812	7857
71.5	7264	8905	7900	7952
72.5	7329	9045	7992	8045
73.5	7404	9123	8092	8137
74.5	7459	9210	8191	8229
75.5	7504	9327	8285	8320
76.5	7543	9470	8376	8412
77.5	7621	9582	8469	8504
78.5	7716	9642	8565	8597
79.5	7786	9720	8667	8690
80.5	7846	9804	8770	8783
81.5	7900	9911	8868	8875
82.5	7986	10003	8964	8968
83.5	8089	10055	9061	9062
84.5	8169	10119	9160	9155
85.5	8237	10195	9259	9248
86.5	8293	10295	9357	9341
87.5	8400	10377	9451	9435
88.5	8538	10416	9548	9530
89.5	8643	10460	9651	9624
90.5	8720	10520	9759	9719
91.5	8792	10601	9859	9813
92.5	8921	10670	9951	9908
93.5	9090	10702	10043	10001
94.5	9230	10740	10139	10095
95.5	9327	10789	10240	10189
96.5	9408	10862	10343	10283
97.5	9573	10922	10430	10379
98.5	9833	10951	10508	10476
99.5	10084	10982	10587	10573
100.5	10312	11028	10669	10670
101.5	10497	11091	10755	10766
102.5	10576	11152	10819	10832
103.5	10607	11188	10854	10867
104.5	10630	11233	10890	10901
105.5	10649	11288	10923	10935
106.5	10663	11358	10955	10970
107.5	10688	11407	10987	11003
108.5	10719	11435	11020	11035
109.5	10742	11470	11054	11067
110.5	10761	11512	11087	11099
111.5	10778	11565	11119	11132
112.5	10806	11606	11150	11163
113.5	10837	11631	11182	11195
114.5	10863	11658	11214	11226
115.5	10884	11694	11247	11258
116.5	10899	11738	11278	11289
117.5	10932	11772	11309	11321
118.5	10970	11796	11340	11352
119.5	10997	11822	11373	11383
120.5	11021	11855	11406	11415
121.5	11042	11891	11439	11446
122.5	11071	11922	11470	11477
123.5	11110	11944	11501	11508
124.5	11142	11967	11533	11538
125.5	11169	11995	11566	11569
126.5	11191	12031	11598	11600
127.5	11225	12057	11628	11631
128.5	11266	12079	11659	11662
129.5	11301	12101	11692	11693
130.5	11329	12129	11724	11724
131.5	11352	12162	11756	11755
132.5	11394	12190	11787	11786
133.5	11447	12211	11816	11818
134.5	11493	12234	11847	11850
135.5	11528	12260	11879	11882
136.5	11556	12292	11912	11914
137.5	11601	12319	11941	11945
138.5	11664	12338	11968	11976
139.5	11718	12358	11995	12006
140.5	11765	12381	12024	12037
141.5	11800	12411	12055	12068
142.5	11828	12438	12081	12094
143.5	11849	12460	12104	12117
144.5	11867	12484	12127	12139
145.5	11882	12513	12151	12162
146.5	11896	12547	12172	12185
147.5	11914	12576	12194	12207
148.5	11936	12596	12216	12228
149.5	11953	12618	12238	12250
150.5	11967	12644	12260	12271
151.5	11981	12673	12281	12293
152.5	12002	12698	12303	12315
153.5	12025	12717	12324	12337
154.5	12042	12740	12347	12359
155.5	12058	12766	12370	12381
156.5	12072	12796	12392	12403
157.5	12092	12820	12414	12425
158.5	12116	12837	12437	12447
159.5	12137	12855	12460	12469
160.5	12155	12878	12482	12490
161.5	12170	12905	12505	12512
162.5	12191	12926	12527	12534
163.5	12218	12943	12547	12555
164.5	12239	12962	12569	12577
165.5	12257	12984	12592	12598
166.5	12273	13008	12614	12620
167.5	12294	13031	12635	12641
168.5	12320	13048	12657	12663
169.5	12342	13066	12679	12685
170.5	12360	13085	12701	12706
171.5	12376	13108	12724	12728
172.5	12399	13127	12746	12749
173.5	12425	13146	12767	12771
174.5	12449	13162	12788	12792
175.5	12470	13183	12811	12814
176.5	12486	13206	12833	12835
177.5	12513	13225	12854	12857
178.5	12543	13242	12875	12879
179.5	12569	13259	12897	12901
180.5	12589	13279	12920	12923
181.5	12607	13302	12942	12945
182.5	12635	13321	12964	12967
183.5	12669	13336	12985	12989
184.5	12697	13352	13006	13010
185.5	12721	13370	13029	13032
186.5	12741	13394	13052	13054
187.5	12773	13414	13073	13076
188.5	12810	13429	13093	13098
189.5	12840	13446	13114	13120
190.5	12866	13465	13136	13142
191.5	12888	13486	13158	13164
192.5	12922	13503	13178	13186
193.5	12969	13518	13197	13208
194.5	13011	13532	13217	13230
195.5	13046	13548	13238	13252
196.5	13072	13568	13259	13274
197.5	13105	13596	13291	13305
198.5	13137	13635	13334	13346
199.5	13158	13689	13375	13388
200.5	13174	13764	13414	13429
201.5	13187	13853	13451	13470
202.5	13218	13918	13492	13513
203.5	13256	13955	13538	13556
204.5	13283	14005	13585	13600
205.5	13306	14065	13628	13643
206.5	13325	14142	13671	13687
207.5	13360	14201	13714	13731
208.5	13401	14234	13762	13776
209.5	13431	14275	13810	13821
210.5	13457	14325	13857	13865
211.5	13479	14392	13903	13910
212.5	13519	14441	13947	13955
213.5	13569	14472	13993	13999
214.5	13606	14504	14041	14044
215.5	13637	14546	14088	14088
216.5	13664	14597	14135	14133
217.5	13714	14642	14179	14177
218.5	13783	14664	14223	14222
219.5	13833	14692	14269	14267
220.5	13874	14729	14316	14312
221.5	13907	14774	14363	14358
222.5	13971	14811	14405	14402
223.5	14066	14833	14445	14447
224.5	14144	14860	14489	14492
225.5	14204	14896	14533	14537
226.5	14249	14940	14578	14582
227.5	14295	14982	14621	14624
228.5	14338	15016	14661	14664
229.5	14371	15060	14702	14704
230.5	14396	15114	14743	14745
231.5	14416	15180	14782	14785
