"Depth [cm]","Median Age [kyrs]","Mean BWOx [umol/kg]","Q0.025","Q0.16","Q0.84","Q0.975"
2.5,0.182659975,92.6552055317165,92.4909093506661,92.4956104808349,92.563824348749,93.9616888251865
7.5,0.706215175,95.9884464852885,92.5102790466326,92.5434576089304,101.668974050429,107.642630882485
12.5,1.48208575,103.179271002525,92.5586425521522,94.9120858420461,107.48921681405,120.247869105811
17.5,2.3404165175,110.761618743961,92.6119867619188,103.381859842509,122.692203245179,137.633964708357
22.5,3.15969015,120.946694587064,102.334364381366,104.651419620846,138.455308651702,144.920425657909
27.5,4.1018556,134.508443388507,102.778307677711,121.287316180483,144.74194703111,146.857960328079
32.5,4.85135175,138.769563678826,125.628183089922,131.927316719203,145.454586155452,147.006993584977
37.5,5.592790975,121.114948238017,113.606619060936,116.928525276804,124.482760888711,142.051319052666
42.5,5.871328075,115.873392685414,113.376105698328,113.735146319965,117.560679721417,124.333172580091
47.5,6.1843417,119.051062600451,113.407631959868,114.100736345233,126.801033294998,132.29453210041
52.5,6.500680325,121.750788866864,110.100191485132,114.081118500906,129.621070329735,132.643559679761
57.5,6.8123618965,117.037294448408,109.858113069299,111.549906838505,124.460068166385,132.027577076679
62.5,7.114399025,124.189049285613,111.063398482301,116.222857148544,133.254717755753,155.242284524235
67.5,7.5003447145,144.134612315055,126.736004856857,132.201084330268,154.695609239685,158.012852491285
72.5,8.007131025,137.350438062041,126.588007501086,128.49584874793,148.851779254462,156.901399567791
77.5,8.477157975,134.29721917436,126.393635844223,127.773447915684,141.074044402873,152.396574090908
82.5,8.94361434,138.725333576975,126.494284484235,128.634668220003,146.556205432255,160.339817291217
87.5,9.45897685,146.685925270956,127.140694716338,137.423085011778,158.546356287456,164.403145771864
92.5,9.952396425,150.372365533373,134.712431523216,139.533608125909,161.172951238711,164.86114733326
97.5,10.438983455,142.349513796672,132.452973325126,133.964519808855,154.163146151693,164.194676457734
102.5,10.8186608375,155.896634691708,131.216207532613,131.942853610865,203.097572520238,214.143024671434
107.5,10.98723449,187.117988797996,131.391268039964,141.361196285019,212.758886051091,223.229214633837
112.5,11.151691725,202.477487916554,135.599420442418,185.826949988538,217.405450609458,227.861090278026
117.5,11.3125847,201.766533736483,157.577397873701,180.954428317118,219.473038672463,228.350952110578
122.5,11.473423125,193.826714868822,137.727481343474,172.697438758523,215.210816913815,228.054348373081
127.5,11.62881249,183.471157538235,132.224628204212,154.243478312303,208.71607572605,224.981549774182
132.5,11.791348855,177.570809459627,131.645342458043,147.968428246267,201.404004599039,216.40537815458
137.5,11.94110185,181.865646605959,133.275078925319,156.710740130413,200.533278874016,235.181774833512
142.5,12.082645445,189.976896131956,139.185957976166,162.837865060192,221.568353970169,251.636010256832
147.5,12.1939036525,187.56817727047,139.718028825442,145.133797540641,230.229952773758,253.101848456204
152.5,12.3055869,174.171910592656,139.041956797915,142.365148526556,221.300466218723,251.728484767072
162.5,12.52913883,156.756920568931,138.619021555422,140.60733412459,170.618481247192,227.78179494888
167.5,12.635894925,159.570069259372,138.671902626159,141.320896888785,173.258201029472,186.759840287608
172.5,12.7438585525,164.907178759632,138.879610546956,147.201092491243,175.581188113642,183.537253359154
177.5,12.8509581325,169.580474821253,139.379114833865,161.830152879371,176.975358736268,186.741006502855
182.5,12.9606668775,170.390886542593,130.796240624084,162.595345152585,180.423900585,188.284155542045
187.5,13.0741070875,161.443462280726,110.867164597242,131.502716858576,182.080064377805,188.556021718297
192.5,13.17992825,142.146176446561,101.584545538257,109.709902872479,176.632756927877,187.901802993083
197.5,13.2919258025,125.625530358411,101.157929872704,105.060423010188,146.815335181699,184.848341138185
202.5,13.4918907,127.624143234202,104.03378706632,115.793105667824,134.731757538963,152.770556042226
207.5,13.716430225,135.153784524787,120.207734897925,126.461724775698,150.616028101901,152.778753311485
212.5,13.9523478875,142.593547329415,124.746373166894,129.041197789229,152.773158240575,152.786318513719
217.5,14.1810501225,142.640793418572,123.516562055504,129.568229449015,152.778341094359,152.788399597493
222.5,14.40713815,142.016959903684,122.872849273047,127.808917475676,152.785817332154,172.065070712486
227.5,14.620564025,160.076376755838,123.606575798179,134.148744385681,184.873684316386,224.461243176691
237.5,15.018398225,218.532434043167,163.369290346957,198.229691696967,236.801138898805,241.625741284831
242.5,15.2221697725,224.077835443096,180.099102544699,209.273753224207,239.076945421096,242.128767997218
247.5,15.3948915125,199.745297453427,151.041165572138,166.333563616382,231.116049402066,241.690364909169
252.5,15.4769207075,183.693338024623,150.562478748217,154.183469064431,213.922895613977,240.264445253178
257.5,15.5585832225,171.606777247522,150.220770413207,153.076998620209,195.306374165044,235.556958285616
262.5,15.63377202,164.47354454503,129.8347480779,152.64882798708,176.035807576952,224.913950381744
267.5,15.7125786415,157.205513095344,115.476167819896,144.349413430998,165.528313609113,207.711454863046
272.5,15.79440893,146.971317935011,112.988148343285,117.783950427827,164.157727463772,189.337296276766
277.5,15.8893659,134.425154117423,112.505073480792,115.062794653389,161.162223631243,166.288649039077
282.5,15.98478732,127.228468305186,112.386246850859,114.50427589049,140.312102139874,164.706947738222
287.5,16.07824506,127.697022151357,112.477575252799,115.427091055942,138.266275859636,161.950697891581
292.5,16.172408775,133.349701609553,113.076718489798,119.578417785887,144.989101735782,162.714851205974
302.5,16.35928232,153.880121322342,118.548448493993,136.615916422478,171.639404030717,196.802484314933
312.5,16.5149305825,177.240513789679,130.508482451136,154.485154902937,203.463223415879,208.829246291566
322.5,16.671708225,195.930224640882,148.115968967305,178.587228962222,208.807432432612,209.121952008072
332.5,16.8244488525,197.024032257765,154.226504938151,183.794332230603,208.929151946482,209.17112968454
342.5,16.97804954,177.531166743546,121.034115161316,151.019157681465,203.642950836255,209.12966332824
347.5,17.05144673925,168.232799757143,117.739929608785,136.505255498155,196.260616745573,208.986270462737
352.5,17.124308965,165.768639963149,116.746560603278,132.516532845124,194.79789229204,208.659529629839
357.5,17.19646526,169.005736041328,117.669285518148,139.848929296017,194.708139323901,201.214288958818
362.5,17.275190025,168.832371729946,120.201209742124,147.358144809932,192.972210743012,198.017646720181
367.5,17.390886555,157.613233307937,112.598972926085,145.673980757254,180.983238089302,195.955965825467
372.5,17.51298804,143.831391702609,97.1851031693453,119.266727718297,157.521666192296,191.168150877563
377.5,17.635112725,130.699071986636,94.5967076970273,105.879814347614,153.634100536189,169.434161258841
382.5,17.7615902025,121.665582198677,93.7991301145743,103.224218783592,140.122721532198,157.45428281789
387.5,17.8911374925,117.350249710368,94.5841344052689,106.273037770497,131.639352576547,151.9077153861
392.5,18.022448195,114.974818455839,96.9912223113045,106.840069434845,127.481932001613,136.774310073489
397.5,18.1511190475,114.443978933513,102.989310729582,106.709573592996,126.661907617114,135.215338855836
402.5,18.2771442375,117.876045247825,103.313077420664,106.756426456637,133.718800218518,135.261770599667
407.5,18.405157835,125.58314198576,103.594540724227,109.06999310623,134.852973426827,145.854277913407
412.5,18.5532463175,135.646068644396,106.624507483885,132.045282136571,143.381692490947,164.136493719809
417.5,18.8675039325,158.400532418866,134.507192704219,141.543232859513,179.808654176487,191.777053057411
422.5,19.2454536825,180.823205735753,146.583388904305,162.342311835333,193.600437923164,198.3164797839
432.5,20.0730800575,195.884146467565,184.966426099665,192.829677367732,199.299614632649,200.293965618126
437.5,20.5043044875,189.260135784581,173.381279607779,179.932927039723,197.413896446411,200.18596134751
442.5,20.8682041525,176.429446663949,169.793139726969,170.826382066709,183.109878810652,193.962586625311
447.5,21.233238705,180.552486824105,171.720080847722,175.53541524498,184.469281726534,185.718158560747
452.5,21.64504239675,182.51736486368,174.362185325591,178.19845473166,185.362131808522,191.519521485826
457.5,22.0635253625,183.745635973424,174.109281140312,176.912098528672,191.091953636356,197.375547135855
462.5,22.479610605,184.754792144787,170.558561046954,176.021369588884,193.87345919031,197.73931538113
472.5,23.254085855,171.822059529799,147.087665875488,150.087987678247,205.585562737499,227.966920726634
477.5,23.51143875,202.335463470807,148.837977125131,171.528456602129,225.335489455271,228.437015012764
482.5,23.76866502,209.386325500389,175.568717530476,191.234750395299,224.086907563735,227.866282451111
487.5,24.02176054,199.427944058555,151.304219192921,179.688134156589,219.157602896102,226.122390541815
492.5,24.2826237425,184.535981712948,127.731873064043,168.592019775726,209.322208781324,221.823187514686
497.5,24.540160425,168.847716146058,121.781139356177,136.118667768436,188.018949502342,214.327376414461
502.5,24.79468234,154.625781750452,120.780404230221,128.539625849023,183.015675608471,201.748669190069
507.5,25.0548835275,144.799632890018,120.433605328991,126.634869502681,169.086485532542,186.264301740532
512.5,25.3150780475,142.641776320981,120.526800148236,128.50891857917,160.268838103097,182.502519759455
517.5,25.576002935,147.714533962198,121.715761436539,135.39600285015,166.612279667348,176.83537784312
522.5,25.836106275,156.961800754034,126.789139989589,137.958610254636,172.786722423645,178.363300653244
532.5,26.35188456,173.799116359728,141.580776684468,168.886662257726,178.60473079163,178.830377881178
537.5,26.60327617775,178.150004823878,166.481894214406,176.774500915317,178.880390438543,190.459078704132
542.5,26.84879072,181.697072961201,175.617137452818,178.506305918579,187.977278921399,197.033882733372
547.5,27.0845552925,186.124678432727,178.453985895648,178.833649911433,194.176745651529,198.4335810139
