Age [ka BP] SU81,SST SU81,Age [ka BP] M35,SST M35,Diff
0.4,17.6,0.4,27.75349,10.15349
0.968,17.8,0.968,27.7551,9.9551
1.805,17.6,1.805,27.49219,9.89219
2.624,17.3,2.624,27.8683,10.5683
3.426,18,3.426,27.88906,9.88906
4.208,17.5,4.208,27.88583,10.38583
4.97,18.6,4.97,27.64875,9.04875
5.637,18.6,5.637,27.79861,9.19861
6.286,17.9,6.286,27.67568,9.77568
7.054,18,7.054,27.84888,9.84888
7.462,18.6,7.462,27.76704,9.16704
7.729,18.3,7.729,27.74568,9.44568
8.122,18.1,8.122,27.86712,9.76712
8.443,18.6,8.443,27.67124,9.07124
8.759,17.5,8.759,27.43804,9.93804
8.945,18.3,8.945,27.68779,9.38779
9.372,19.1,9.372,27.401,8.301
9.552,18.6,9.552,27.361,8.761
9.846,17.6,9.846,27.26389,9.66389
10.418,18.7,10.418,26.91241,8.21241
10.529,18.8,10.529,26.85488,8.05488
10.804,15.4,10.804,26.95419,11.55419
11.073,13.3,11.073,26.74015,13.44015
11.337,13.4,11.337,26.45809,13.05809
11.595,11.7,11.595,26.48707,14.78707
11.847,11.7,11.847,27.09402,15.39402
12.094,13.5,12.094,27.09511,13.59511
12.336,13,12.336,27.19634,14.19634
12.573,14.5,12.573,27.18333,12.68333
12.804,14.7,12.804,26.52038,11.82038
13.252,15.4,13.252,26.39614,10.99614
13.681,15.5,13.681,26.70211,11.20211
13.888,15.5,13.888,26.27849,10.77849
14.091,15.1,14.091,25.71526,10.61526
14.485,14.8,14.485,25.82015,11.02015
14.675,14.3,14.675,26.19858,11.89858
14.861,14.8,14.861,26.83251,12.03251
15.044,13.2,15.044,26.94759,13.74759
15.223,12.4,15.223,26.96763,14.56763
15.571,12,15.571,27.15229,15.15229
15.74,12.9,15.74,27.24816,14.34816
15.906,12.8,15.906,27.14894,14.34894
16.069,12.3,16.069,27.05152,14.75152
16.229,11.9,16.229,26.74494,14.84494
16.387,11.5,16.387,26.38172,14.88172
16.543,11.9,16.543,26.0249,14.1249
16.604,12.3,16.604,25.92113,13.62113
16.726,11.1,16.726,25.71359,14.61359
16.877,12.1,16.877,25.45671,13.35671
16.967,11.7,16.967,25.30361,13.60361
17.115,11.3,17.115,25.19023,13.89023
17.261,12,17.261,25.08618,13.08618
17.435,11,17.435,25.04735,14.04735
17.578,12.6,17.578,25.43259,12.83259
17.72,13.5,17.72,25.81513,12.31513
17.862,13.7,17.862,26.19767,12.49767
18.003,13.8,18.003,26.25229,12.45229
18.143,14.3,18.143,26.27648,11.97648
18.282,14.1,18.282,26.3005,12.2005
18.422,14.2,18.422,26.36129,12.16129
18.561,13.7,18.561,26.44517,12.74517
18.701,13.8,18.701,26.52966,12.72966
18.841,14.2,18.841,26.56667,12.36667
18.981,13.8,18.981,26.48503,12.68503
19.121,14.1,19.121,26.40339,12.30339
19.263,14,19.263,26.32058,12.32058
19.405,14.9,19.405,26.28961,11.38961
19.548,14.1,19.548,26.25879,12.15879
19.838,13.7,19.838,26.32691,12.62691
20.164,13.7,20.164,26.64376,12.94376
20.436,13.8,20.436,26.07334,12.27334
20.746,13.3,20.746,25.81457,12.51457
21,13,21,26.58095,13.58095
21.195,12.6,21.195,26.90881,14.30881
21.527,12.6,21.527,26.77257,14.17257
21.869,13.3,21.869,26.85515,13.55515
22.187,13.3,22.187,26.87127,13.57127
22.587,12.5,22.587,26.67259,14.17259
22.964,11.1,22.964,26.25009,15.15009
23.353,11.1,23.353,26.43698,15.33698
23.755,12.3,23.755,26.00562,13.70562
24.127,12.5,24.127,26.95838,14.45838
24.552,12.6,24.552,26.84259,14.24259
24.989,12.4,24.989,27.1745,14.7745
25.438,10.6,25.438,27.21053,16.61053
25.945,10,25.945,25.86324,15.86324
26.417,12.7,26.417,26.30968,13.60968
26.802,12.9,26.802,26.54829,13.64829
27.045,13,27.045,26.5225,13.5225
27.34,12.9,27.34,26.73588,13.83588
27.887,13.2,27.887,27.35862,14.15862
28.391,12.9,28.391,27.03956,14.13956
28.899,10.9,28.899,27.06988,16.16988
29.359,12.6,29.359,27.2308,14.6308
29.871,12.7,29.871,26.04363,13.34363
30.382,11.5,30.382,26.17964,14.67964
30.939,9.9,30.939,25.55415,15.65415
31.439,10.2,31.439,25.7377,15.5377
