Median Age [kyrs],Mean d13C [o/oo],Q0.025,Q0.16,Q0.84,Q0.975
1.5634218,0.945019951,0.876166271,0.90302993,0.972729775,1.152953543
2.60355275,1.010686735,0.887132419,0.915560098,1.137646201,1.197419112
3.419939375,1.072600178,0.898481344,0.944968531,1.157427134,1.202851842
4.23323805,1.113700816,0.958364888,1.072920557,1.159432673,1.198839012
5.03643855,1.129518236,1.060731912,1.095794537,1.164453289,1.197208696
5.59260355,1.055656831,0.908974592,1.003757264,1.107504295,1.155242863
5.87298654,0.943464272,0.832618205,0.877004234,1.010529746,1.071212715
6.202390105,0.909004183,0.81884611,0.85603174,0.971594666,1.017152631
6.531922203,0.951508684,0.83179997,0.886996161,1.002321339,1.030406868
6.824443679,0.976044367,0.89519037,0.949739968,1.005101575,1.030541286
7.118407,1.086807287,0.563937465,0.969693507,1.198208569,1.229684437
7.5679314,0.727658436,0.470681459,0.546223876,0.928968076,1.022662823
8.0705724,0.857252487,0.493007452,0.62911384,1.026353134,1.068889287
8.57522855,0.983103638,0.660318317,0.928417161,1.052143585,1.082345714
9.057722875,1.0022922,0.880930164,0.93868029,1.054334855,1.087370198
9.549697675,1.000802885,0.869345523,0.908350516,1.059342849,1.403701827
10.0268116,1.102979297,0.860689409,0.899816996,1.418570467,1.572892601
10.46291183,1.314283816,0.873897341,1.051556801,1.517446695,1.595000652
10.81883538,1.280648958,0.89507022,1.137278589,1.474574005,1.592006997
10.98345123,1.214869766,0.528440466,0.900568669,1.492794463,1.595275887
11.13861283,0.984736208,-0.090192628,0.662291255,1.433185582,1.586522308
11.30193615,0.688911269,-0.172551906,0.142066347,1.081566593,1.541757034
11.45751039,0.528272512,-0.192041203,0.058983048,0.890148625,1.362544699
11.61742466,0.807516679,0.101652999,0.422413161,1.159012161,1.708710808
11.77785765,1.001399265,0.201458667,0.522669471,1.671797908,1.758097947
11.93403498,1.308198404,0.405954738,0.723796235,1.7464562,1.787147003
12.08029213,1.379637603,0.526698492,1.042847028,1.75008573,1.794166506
12.19080761,1.255418838,0.772157666,0.970760293,1.708620864,1.785487328
12.3009197,1.119652318,0.81059225,0.910831999,1.337536921,1.760740928
12.41364403,1.040956965,0.811580589,0.889298321,1.122402649,1.697889901
12.52433443,1.000974466,0.795129993,0.88569611,1.099387023,1.289488497
12.74537922,0.893483011,0.199928165,0.765989588,1.072134829,1.148232786
12.8606083,0.815332563,0.164412057,0.447426901,1.059731868,1.148396016
12.9669434,0.773159694,0.157418605,0.381378514,1.051410225,1.137979682
13.07287421,0.841525994,0.171253048,0.484212144,1.08699674,1.163170517
13.17834522,0.972574435,0.221285872,0.805397323,1.158789184,1.204931365
13.29042753,1.080958659,0.480372053,0.991845183,1.190800438,1.219815852
13.48851785,1.020549335,0.520405863,0.762417779,1.191167025,1.22638428
13.71601805,0.922304647,0.506755338,0.627143467,1.220823337,1.297644353
13.95958139,1.071008902,0.522031053,0.718229747,1.285986356,1.314691452
14.18536445,1.20593249,0.636841786,1.145824824,1.293824712,1.32034562
14.41148115,1.179277306,0.73833296,1.075069663,1.286642307,1.315253818
14.62124718,0.973874089,0.474861966,0.65468106,1.243287477,1.299362352
14.8183369,0.71144847,0.41535789,0.489339491,0.992571907,1.24553519
15.0247398,0.600368207,0.401567865,0.457550537,0.765940928,0.988467899
15.22208038,0.753673132,0.414845866,0.505691027,1.017115593,1.132856769
15.39350232,0.934916914,0.466948787,0.692590908,1.101363921,1.156658182
15.47750942,0.92836735,0.510912384,0.68617352,1.087930219,1.152032705
15.557338,0.89116384,0.521433081,0.646452836,1.060558975,1.149796015
15.6355255,0.895399608,0.523575454,0.638208702,1.057461017,1.621351605
15.7133802,0.993292007,0.533176291,0.676667723,1.291937495,1.772477482
15.7931685,1.17710589,0.561917374,0.777049435,1.717982636,1.798892481
15.89071657,1.384455507,0.628724288,0.979107552,1.769229735,1.816350198
15.98447872,1.415741801,0.724703068,1.10608556,1.770475331,1.8189372
16.08055903,1.321111862,0.734961013,1.049165151,1.740916889,1.813910412
16.17515584,1.201847923,0.711278044,0.875302795,1.461122081,1.799170996
16.26676061,1.19058867,0.711798521,0.856379407,1.497296675,1.817893659
16.36142387,1.286506578,0.727538389,0.927145179,1.649120518,1.845858254
16.4403327,1.368762006,0.763335407,1.028326672,1.686499169,1.859788725
16.5178855,1.371925115,0.798929644,1.053382074,1.659015063,1.848778903
16.59318553,1.343917078,0.809320539,1.003041428,1.640245464,1.84058868
16.67172395,1.332736687,0.818848209,0.995983778,1.645339641,1.84387082
16.74593142,1.338705797,0.824223644,1.026236833,1.668957074,1.853414851
16.8238004,1.348790603,0.859374161,1.142499797,1.669656747,1.852313582
16.90087454,1.323042307,0.923245865,1.169358507,1.599586277,1.841494482
16.97393623,1.291238122,1.042609763,1.181618184,1.402926988,1.805726859
17.04872524,1.279440987,1.140675627,1.197229849,1.323987387,1.711274981
17.1204777,0.942312169,0.822130565,0.882368381,0.979489247,1.228896897
17.19375248,0.943646894,0.841141937,0.902867318,0.975073328,1.032462362
17.27341786,0.943535244,0.8609865,0.913037903,0.972076088,1.00791943
17.39094477,0.944491152,0.884563679,0.915030506,0.972153851,1.004809547
17.51352044,0.947317302,0.887564468,0.916512756,0.978646999,1.012428822
17.64115525,0.957691759,0.893349564,0.923517204,0.991961062,1.028279053
17.76736357,0.968292255,0.899312711,0.930948244,1.004287952,1.046908873
17.89406022,0.984115784,0.905154475,0.94083611,1.028406414,1.075688474
18.02470267,1.01063153,0.912790794,0.9520637,1.05702792,1.19151728
18.15570214,1.058723004,0.92687397,0.978458205,1.146897475,1.306137126
18.28494398,1.125057034,0.956292197,1.018249104,1.268913301,1.327574894
18.41119747,1.18362744,0.99442339,1.055713056,1.286375563,1.333137657
18.55696725,1.192681518,1.036698019,1.114078122,1.268383618,1.320730853
18.86166089,1.136034742,1.045443132,1.0851226,1.189719635,1.248737514
19.25999896,1.182885172,1.062797455,1.115797639,1.240700548,1.271963829
19.68305005,1.207658281,1.081072238,1.163517692,1.249604144,1.279736315
20.10661338,1.165248929,1.029257904,1.084964199,1.23368812,1.270736261
20.50800535,1.10772405,1.01729626,1.056968429,1.161890935,1.232418528
20.86868715,1.20434471,1.043511286,1.107485912,1.312465466,1.479479075
21.24824439,1.303501983,0.38271786,1.229582143,1.465525964,1.518863588
21.65973326,0.907849263,-0.263706517,0.165058911,1.418463742,1.502725826
22.09197893,0.49780312,-0.287046481,-0.079475355,1.088749413,1.406229693
22.50902882,0.610081253,-0.25875841,0.095303883,0.937653603,1.012104631
22.91028247,0.888991156,0.1949225,0.858785167,0.985755739,1.015230546
23.25307564,1.031930572,0.899187002,0.959620968,1.143007645,1.220319364
23.50012301,1.138502011,0.96036863,1.049076291,1.207445489,1.237608999
23.75728179,1.170472277,1.053476785,1.141612062,1.206082002,1.23497616
24.01408737,1.151946151,0.840370249,1.133919317,1.197339145,1.225845422
24.2629268,1.099434551,0.715699318,0.972417461,1.188242018,1.215934493
24.52721852,1.003117003,0.559772398,0.786505112,1.174239516,1.206534189
24.78765569,0.876690627,0.102227823,0.693804157,1.150458678,1.194267374
25.04512366,0.727954838,-0.061605292,0.348597475,1.038481063,1.178175304
25.57489133,0.616065315,-0.112229027,0.075431052,1.134399103,1.234216516
25.83931613,0.784709322,-0.105256698,0.156513548,1.192024566,1.252288687
26.09910392,0.991631838,-0.06634546,0.662380715,1.217598994,1.265123317
26.35525621,1.128090557,0.283402747,1.101792656,1.235200657,1.270298274
26.60009914,1.186598981,1.063703323,1.134485917,1.245760625,1.275011106
26.850584,1.203508049,1.102985522,1.16091289,1.246906095,1.274086591
