Core ,Depth [cm],Age [ka],Time Interval,Benthic Foraminifera Interval,Fisher Alpha Index,Infaunals[%],Epibenthic[%],Trophic Conditions,Calcareous[%],Porcellaneous[%],Agglutinated[%],Stress Species[%],Oxic species [%],Suboxic species[%],Dysoxic species [%],Ehanced Benthic Foraminifera Oxygen Index,Inferred Dissolve Oxygen Concentration [mL/L],Oxygen Conditions,Mean d13C [o/oo],d18O sw [permil],Average Age [kyrs] Dd13C,Dd13C (9512-29JPC),Average Age [kyrs] BFDR,BFDR,Cibicidoides pachyderma,Planulina arimenensis,Cibicidoides robertsonianus,Lobatula lobatula,Bolivina cff. spathulata ,Uvigerina peregrina,Oridorsalis umbonatus,Nonionella turgida/pulchella,Bolivina subaenariensis var. mexicana,Uvigerina mediterranea,Melonis barleeanus ,Pullenia bulloides / quinqueloba,Cassidulina teretis/laevigata,Quinqueloculina spp.,Triloculina spp.,Pyrgo spp.,Pyrgoella sphaera,Cibicidoides spp.
GeoB9512-5,2.5,0.18,late Holocene,8b,12.7,83.3,16.7,Eutrophic,95,0,5,75.8,8.2,68,23.7,7.8,1.8,Low Oxic,,,,,,,4.6,4.2,2.1,0.8,9.2,20,0.8,1.3,0,0.4,0,1.3,9.2,0,0,0,0,11.66666667
GeoB9512-5,7.5,0.72,late Holocene,8b,11.5,78.5,21.5,Eutrophic,96.2,0,3.8,72.2,8.6,72.4,19,9.1,1.8,Low Oxic,,,,,0.45,2.21,3.8,4.3,3.3,1,11.5,18.7,0.5,3.3,0,3.8,1.9,1,11,0,0,0,0,12.44019139
GeoB9512-5,12.5,1.56,late Holocene,8b,8.8,76.1,23.9,Eutrophic,96,0,4,68.7,11.9,63.8,24.4,11.3,1.9,Low Oxic,0.46,-0.28,1.56,-0.4,1.14,3.23,6.5,5,3,1,13.4,14.9,0.5,2.5,2,2,0,0,15.4,0,0,0,0,15.42288557
GeoB9512-5,17.5,2.6,late Holocene,8b,10.4,72.8,27.2,Eutrophic,95.4,0,4.6,63.6,12.3,65.6,22.1,14.9,2,Low Oxic,0.52,-0.6,2.62,-0.36,2.08,-1.54,10.1,0.9,0.9,0.9,10.6,21.7,0,0.5,3.7,3.7,0,0.5,7.4,0,0,0,0,12.90322581
GeoB9512-5,22.5,3.42,late Holocene,8b,8.9,58.2,41.8,Mesotrophic,98.2,0,1.8,57.3,20.8,60.9,18.4,30.6,2.6,Low Oxic,0.58,-0.72,3.45,-0.37,3.01,1.83,18.2,1.4,0.5,0,10,8.6,0,0.5,0.5,9.5,0.9,2.3,9.5,0,0,0,0,20
GeoB9512-5,27.5,4.23,late Holocene,8b,9.9,64.5,35.5,Mesotrophic,97.5,0,2.5,60.3,27,50,23,40.1,3,Low Oxic,0.62,-0.74,4.24,-0.26,3.83,-1.23,21.9,2.5,1.7,0.4,17.8,5.8,1.2,0.4,0,6.6,3.3,2.5,12.8,0,0,0,0,26.44628099
GeoB9512-5,32.5,5.04,late Holocene,8b,9.4,51.6,48.4,Mesotrophic,94.6,0,5.4,46.6,28.1,57.1,14.8,43,3.1,High Oxic,0.64,-0.66,,,4.64,0.62,23.5,0.9,0.9,0,12.2,2.7,0.9,0.5,0,11.3,1.8,0.9,6.3,0,0,0,0,25.33936652
GeoB9512-5,37.5,5.59,late Holocene,8b,7.9,54.5,45.5,Mesotrophic,97,0,3,51.1,18.2,63.6,18.2,27.3,2.5,Low Oxic,0.57,-0.14,,,5.32,2.73,14.3,1.7,1.7,0,14.7,7.8,0.4,1.7,0,9.5,1.7,0.4,6.9,0,0,0,0,18.18181818
GeoB9512-5,42.5,5.87,late Holocene,8b,8.8,56.3,43.7,Mesotrophic,97.8,0,2.2,51.1,16.6,63.6,19.8,24.2,2.4,Low Oxic,0.45,-0.14,,,5.73,-3.21,10.8,0.9,3,1.3,14.3,11.3,1.3,0.9,0,11.3,0.9,0.4,2.6,0,0,0,0,16.01731602
GeoB9512-5,47.5,6.2,late Holocene,8b,12.3,57.5,42.5,Mesotrophic,95.5,0.5,4,50.5,17.7,60.8,21.5,22.2,2.3,Low Oxic,0.42,-0.44,6.24,-0.34,6.04,-10.61,12.5,1,1,1.5,14.5,4.5,0,2,0,12,3.5,0.5,2,0,0,0,0,17
GeoB9512-5,52.5,6.53,early Holocene,8b,11.2,59.9,40.1,Mesotrophic,94.1,1.8,4.1,55.4,20.9,54.2,24.9,27.5,2.5,Low Oxic,0.46,-0.65,6.54,-0.27,6.37,3.33,13.5,0.9,1.8,1.8,17.1,3.2,0.5,0.9,0,19.8,4.1,0.5,0.5,0,0,0,0,19.36936937
GeoB9512-5,57.5,6.82,early Holocene,8b,9.5,68.1,31.9,Eutrophic,93.4,0.5,6.1,62,18.7,48.7,32.6,20.3,2.2,Low Oxic,0.49,-0.67,,,6.68,5.86,13.1,0.5,0,0,25.4,0.5,1.4,0,0,16.9,8.9,0,0.5,0,0,0,0,16.43192488
GeoB9512-5,62.5,7.12,early Holocene,8b,10.5,59.9,40.1,Mesotrophic,93.4,0,6.6,50.9,13.7,65.8,20.5,17.3,2.1,Low Oxic,0.38,-0.64,7.17,-0.44,6.97,-3.33,7.1,2.8,0.5,2.8,15.1,4.7,2.8,0,0,14.6,4.7,1.9,0.9,0,0,0,0,13.20754717
