depth	min	max	median	mean
2.5	-15	411	190	191
3.5	30	779	313	338
4.5	60	1204	431	485
5.5	86	1632	549	632
6.5	106	2062	668	779
7.5	186	2345	808	928
8.5	273	2490	979	1078
9.5	336	2650	1149	1229
10.5	387	2819	1312	1379
11.5	434	3031	1461	1530
12.5	550	3227	1620	1688
13.5	685	3345	1797	1853
14.5	783	3500	1980	2019
15.5	865	3664	2155	2184
16.5	933	3880	2324	2350
17.5	1073	4061	2489	2512
18.5	1233	4160	2660	2671
19.5	1357	4279	2837	2830
20.5	1466	4421	3013	2989
21.5	1558	4578	3181	3148
22.5	1714	4710	3346	3311
23.5	1932	4787	3523	3476
24.5	2105	4877	3707	3641
25.5	2247	4989	3883	3807
26.5	2364	5152	4057	3972
27.5	2579	5277	4211	4130
28.5	2844	5317	4364	4280
29.5	3049	5371	4523	4430
30.5	3213	5434	4691	4580
31.5	3343	5527	4855	4730
32.5	3609	5612	4996	4882
33.5	4034	5643	5122	5036
34.5	4451	5684	5245	5190
35.5	4871	5736	5367	5345
36.5	5237	5812	5492	5499
37.5	5384	5895	5598	5607
38.5	5437	5965	5661	5671
39.5	5470	6065	5721	5734
40.5	5493	6197	5778	5797
41.5	5513	6344	5834	5860
42.5	5555	6439	5893	5922
43.5	5602	6482	5959	5982
44.5	5635	6538	6025	6042
45.5	5660	6608	6090	6102
46.5	5682	6701	6149	6162
47.5	5738	6772	6208	6221
48.5	5809	6804	6269	6281
49.5	5860	6842	6335	6340
50.5	5897	6891	6400	6399
51.5	5928	6956	6463	6458
52.5	5998	7009	6523	6518
53.5	6082	7033	6584	6577
54.5	6152	7066	6647	6637
55.5	6203	7103	6713	6697
56.5	6246	7153	6780	6756
57.5	6336	7196	6835	6815
58.5	6483	7219	6884	6874
59.5	6618	7248	6935	6933
60.5	6732	7284	6988	6992
61.5	6812	7331	7046	7050
62.5	6895	7394	7122	7126
63.5	6960	7533	7209	7218
64.5	6997	7755	7287	7311
65.5	7023	8000	7365	7403
66.5	7044	8264	7439	7495
67.5	7098	8438	7524	7587
68.5	7158	8515	7621	7678
69.5	7199	8618	7720	7769
70.5	7234	8751	7818	7860
71.5	7262	8916	7907	7951
72.5	7329	9032	7999	8043
73.5	7407	9093	8098	8136
74.5	7465	9177	8200	8229
75.5	7511	9293	8296	8323
76.5	7552	9440	8387	8416
77.5	7627	9560	8478	8508
78.5	7723	9623	8575	8600
79.5	7788	9696	8674	8692
80.5	7842	9784	8770	8783
81.5	7888	9890	8867	8875
82.5	7985	9981	8963	8969
83.5	8103	10036	9060	9066
84.5	8191	10102	9165	9163
85.5	8258	10186	9271	9259
86.5	8316	10291	9375	9356
87.5	8421	10383	9471	9452
88.5	8558	10425	9569	9548
89.5	8674	10474	9670	9643
90.5	8761	10538	9772	9739
91.5	8827	10625	9874	9835
92.5	8943	10700	9968	9929
93.5	9089	10735	10061	10022
94.5	9197	10774	10159	10115
95.5	9296	10823	10259	10208
96.5	9369	10891	10363	10301
97.5	9537	10952	10450	10395
98.5	9812	10981	10523	10490
99.5	10076	11020	10599	10585
100.5	10318	11068	10677	10680
101.5	10502	11130	10761	10775
102.5	10579	11190	10824	10839
103.5	10608	11225	10858	10873
104.5	10629	11269	10892	10907
105.5	10647	11322	10925	10940
106.5	10662	11381	10956	10974
107.5	10686	11429	10987	11006
108.5	10716	11461	11019	11038
109.5	10739	11493	11053	11069
110.5	10759	11534	11085	11100
111.5	10777	11578	11116	11131
112.5	10804	11616	11148	11163
113.5	10838	11641	11181	11195
114.5	10863	11671	11215	11227
115.5	10884	11708	11247	11259
116.5	10902	11749	11279	11291
117.5	10933	11783	11310	11323
118.5	10969	11806	11343	11355
119.5	10997	11837	11378	11387
120.5	11019	11868	11412	11419
121.5	11041	11909	11444	11451
122.5	11072	11939	11475	11482
123.5	11112	11963	11506	11513
124.5	11144	11988	11538	11544
125.5	11172	12017	11571	11576
126.5	11194	12054	11603	11607
127.5	11228	12083	11634	11638
128.5	11274	12104	11664	11669
129.5	11307	12131	11697	11700
130.5	11339	12158	11729	11731
131.5	11365	12189	11760	11762
132.5	11404	12218	11790	11794
133.5	11453	12240	11819	11825
134.5	11497	12264	11849	11856
135.5	11531	12293	11881	11887
136.5	11558	12328	11912	11918
137.5	11605	12355	11941	11950
138.5	11668	12374	11968	11980
139.5	11721	12395	11997	12011
140.5	11765	12421	12027	12042
141.5	11802	12451	12057	12073
142.5	11829	12478	12083	12100
143.5	11850	12497	12106	12122
144.5	11867	12518	12129	12144
145.5	11882	12544	12152	12167
146.5	11894	12572	12174	12189
147.5	11912	12602	12195	12211
148.5	11933	12622	12217	12233
149.5	11951	12644	12239	12255
150.5	11967	12668	12262	12277
151.5	11980	12698	12284	12299
152.5	12000	12724	12306	12320
153.5	12023	12743	12328	12342
154.5	12045	12765	12350	12364
155.5	12060	12790	12372	12386
156.5	12073	12818	12394	12407
157.5	12094	12841	12417	12429
158.5	12119	12860	12439	12451
159.5	12138	12882	12462	12473
160.5	12156	12908	12484	12495
161.5	12170	12937	12506	12517
162.5	12190	12960	12528	12539
163.5	12217	12977	12549	12561
164.5	12238	12995	12572	12583
165.5	12258	13017	12595	12605
166.5	12273	13041	12617	12627
167.5	12296	13064	12639	12649
168.5	12323	13080	12661	12670
169.5	12345	13100	12684	12692
170.5	12365	13121	12706	12714
171.5	12381	13143	12729	12736
172.5	12404	13164	12750	12758
173.5	12433	13182	12771	12779
174.5	12458	13200	12793	12801
175.5	12478	13221	12815	12822
176.5	12495	13244	12838	12844
177.5	12520	13263	12859	12866
178.5	12549	13279	12881	12887
179.5	12572	13297	12902	12909
180.5	12593	13319	12925	12931
181.5	12612	13341	12947	12952
182.5	12637	13362	12968	12974
183.5	12671	13377	12988	12995
184.5	12698	13393	13011	13017
185.5	12720	13409	13032	13038
186.5	12739	13429	13054	13060
187.5	12768	13449	13076	13082
188.5	12807	13464	13096	13104
189.5	12840	13481	13117	13126
190.5	12867	13499	13139	13149
191.5	12888	13519	13162	13171
192.5	12923	13536	13183	13193
193.5	12970	13553	13201	13214
194.5	13011	13573	13220	13236
195.5	13045	13592	13240	13258
196.5	13072	13612	13262	13279
197.5	13105	13639	13294	13311
198.5	13139	13673	13337	13353
199.5	13160	13723	13379	13395
200.5	13178	13795	13419	13436
201.5	13192	13879	13457	13478
202.5	13224	13944	13498	13521
203.5	13259	13983	13545	13565
204.5	13286	14027	13591	13608
205.5	13307	14086	13635	13652
206.5	13325	14161	13679	13696
207.5	13359	14217	13722	13740
208.5	13405	14250	13769	13784
209.5	13438	14289	13816	13828
210.5	13461	14338	13863	13872
