"Depth [cm]","Median Age [kyrs]","BWT [deg C]","Q0.025","Q0.16","Q0.84","Q0.975"
5,0.632391855,2.42055446635332,1.83929366538827,2.13334985835118,2.70891286488729,3.01071297273462
7.5,0.93009075,2.62179061921774,2.06956686058888,2.3433063447331,2.90188297198877,3.17746341817257
10,1.5669727,2.76802866820961,2.18305156946905,2.45577669019903,3.0218324572193,3.74057061433923
12.5,2.30305875,3.05954211428972,2.20109496876922,2.49788597468476,3.56593040329128,5.76046410041688
15,3.3529635,3.63142833982867,2.28103304041975,2.66727261699047,4.59657164692165,6.62754492553211
17.5,4.29186305,3.98410462169871,2.44358443723007,2.94213628936902,5.26392113738804,6.74061139339334
18,4.5055435,4.00789346296141,2.49024777396448,2.97933560593034,5.28287251140842,6.71429498928342
20,5.4085133,3.86295251061154,2.5953454826371,2.99035553859093,4.846101130686,6.55080400675678
22.5,6.4775375,3.52380183865577,2.62858764546761,2.9706178076828,3.96200400953323,5.59465809594297
23,6.66429695,3.50157965527923,2.62739767230926,2.97264962268961,3.91720722080887,5.3082476019546
25,7.411048,3.4171756728824,2.64381134343346,3.01729840051014,3.78638631780243,4.21864078290349
27.5,8.237609875,3.36308166465558,2.38742160875228,2.74096685498098,4.10880702311628,4.52115289078151
28,8.304567,3.64856481071045,2.44655170622422,2.87907822582087,4.27939856969165,4.68534206209056
30,8.5619342,4.33985878112863,3.63473476899829,3.94290935929744,4.65367210704021,5.85889355404899
32.5,8.88177005,4.56458341784203,3.76507128678511,4.04707371738677,5.2548977909744,6.00500545656162
33,8.955269,4.57557960201966,3.76310442918089,4.05672652546467,5.24589900896954,5.98193900692591
35,9.27004075,4.52285493262523,3.64942447679143,4.04506310303847,5.04472046425004,5.8469695613924
37.5,9.6163495,4.36856577090735,3.26869586467136,3.89898213102425,4.84374946351668,5.55255710940678
38,9.68389625,4.32783363084924,3.19566363481355,3.83628175614359,4.81236566815947,5.47770778332829
40,9.9749905,4.09065786380723,2.88606344091995,3.41561099061561,4.67275085995226,5.16001003919784
42.5,10.327745,3.58647160700226,2.1703167444221,2.83150254849905,4.36158671176342,4.89958115455266
43,10.3846425,3.46838501979928,2.01575851246916,2.68000912278374,4.27352842690169,4.85055334408458
45,10.6116915,2.79788851159142,1.28607015351258,1.86723321353402,3.75583949824929,4.52512799142323
47.5,10.90798845,1.90190380891232,0.913488227785694,1.31232560845432,2.45230902029366,3.5627860962178
48,10.958148775,1.8969538420839,0.932174964869186,1.33628842305289,2.41957159165799,3.2566133729566
50,11.1408352,2.12403190377504,1.16568718876649,1.68353709054416,2.54811214581599,2.94699275693338
