"Depth [cm]","Median Age [kyrs]","BWT [deg C]","Q0.025","Q0.16","Q0.84","Q0.975"
52.5,6.5319222025,7.21209111509984,4.94654158769434,6.04177450618764,8.37386517613492,9.59036911915608
67.5,7.5679314,6.40363930126781,4.01090697310674,5.23093838860419,7.58476365785145,8.7579161067848
72.5,8.0705724,6.38876060406055,4.08975680199037,5.23444146023439,7.55951559543188,8.72573424188517
87.5,9.549697675,6.40479254256311,4.08353022684905,5.26414063537219,7.55928896526152,8.74459195822086
92.5,10.026811595,6.68191184972873,4.25162623012474,5.47617838690746,7.89530400377709,9.15593964905108
97.5,10.462911825,7.32452045851001,4.79253758144708,6.0558413650167,8.58317967310276,9.81684991159049
117.5,11.3019361525,9.33056641060911,6.74897956936889,8.00388438702114,10.65387873112,11.9958274795628
127,11.6026707,10.2065805456717,7.72030573017097,8.96369237150022,11.4498593165205,12.6232362104724
137.5,11.9340349825,10.3308713279063,8.02234912011713,9.19660430163651,11.4953508463255,12.6965115847966
142.5,12.080292125,10.1004338235407,7.81170772524514,8.96176232233819,11.2492177779543,12.4633628699345
147.5,12.19080761,10.0139801294358,7.76166019030084,8.89466816571119,11.1629151979019,12.2938428586423
152.5,12.3009197,10.0425047950627,7.78364879542016,8.90394938570645,11.1933877287194,12.4344856784434
157.5,12.41364403,10.0988311472255,7.76629566690302,8.92602650658838,11.2606162903824,12.4593445505098
162.5,12.524334425,10.0849278085318,7.63379980639659,8.88365463268521,11.2881821177616,12.4975609074511
167.5,12.6339393,9.8829874382301,7.3598459257463,8.62591114705167,11.1324035284645,12.3360235303933
177.5,12.8606083,9.41415392542058,6.99166294873843,8.21953674091812,10.6329008511705,11.9128674548541
182.5,12.9669434,9.34863757223444,7.12806263511294,8.25414092128927,10.4501457955027,11.6749590226259
192.5,13.1783452175,9.19174554130778,7.28930920941761,8.22701020600823,10.1694565649979,11.1654770977105
192.5,13.1783452175,9.19174554130778,7.28930920941761,8.22701020600823,10.1694565649979,11.1654770977105
257.5,15.557338,9.16494638885971,6.68928446400601,7.85867756029144,10.4437876333473,11.7602057684987
317.5,16.593185525,10.5906281155788,8.10836895310955,9.33612795784273,11.8382083411623,13.0497168984508
327.5,16.745931415,10.6169451343629,8.03016860881844,9.36524429459759,11.9008295884467,13.1225115871861
337.5,16.9008745415,10.095209770451,7.52047204179194,8.76640377705792,11.393745578739,12.7368591347014
372.5,17.513520435,9.54544354961915,6.97549379744585,8.22709888547566,10.8319401299925,12.1331224741901
377.5,17.64115525,9.94058350900044,7.25065385629711,8.615510076935,11.2496700244777,12.5122012764663
387.5,17.894060215,10.5478113233336,8.11820543885081,9.37366334048169,11.7247517643065,12.8509022868856
397.5,18.1557021375,10.7530677912291,8.43460391093875,9.62719840120955,11.8789956480059,13.0458260889723
407.5,18.4111974725,11.1556209888743,8.77144573629536,9.97847704456877,12.3239986218395,13.5498845003941
422.5,19.2599989575,11.6401303218792,9.37075968885543,10.5054970072372,12.785014372755,13.9627943671296
432.5,20.106613375,10.6777512705348,8.29324705485909,9.45524982804782,11.8997323286274,13.1589835189949
437.5,20.508005345,10.1927252747659,7.87423520061229,9.0396340049835,11.3509744885305,12.4898447569621
442.5,20.8686871525,10.1437325795981,7.80890486654522,8.95080102656385,11.3236445867855,12.5197250425676
447.5,21.248244385,10.1989728266822,7.45361517331515,8.9914578490886,11.438201096112,12.636439351804
452.5,21.65973326,9.31309063323882,6.09677393227015,7.70986902024662,10.8816207486575,12.2507898676145
457.5,22.091978925,8.29515524529784,5.61537456836359,6.86069207591248,9.72834249449406,11.3631448636649
462.5,22.5090288175,8.05886540784232,5.60649909604948,6.84208512002748,9.28936815879567,10.4885968663274
467.5,22.91028247,8.42655986898865,5.85347739235025,7.19816500435932,9.67567751842965,10.851597689393
