Depth [cm],BWT [deg-C]
2.5,6.745
7.5,3.513
12.5,6.895
17.5,2.136
22.5,1.939
27.5,2.901
32.5,2.415
37.5,6.851
42.5,6.566
47.5,4.169
52.5,3.200
57.5,3.404
62.5,3.644
67.5,3.905
72.5,3.110
77.5,2.774
82.5,2.638
87.5,7.267
87.5,1.731
92.5,4.141
97.5,3.622
122.5,3.312
132.5,9.810
177.5,8.728
187.5,5.860
192.5,3.272
202.5,3.653
207.5,7.537
212.5,6.581
222.5,4.942
227.5,4.560
227.5,4.983
232.5,3.431
237.5,8.954
242.5,3.891
247.5,4.676
252.5,4.777
257.5,7.179
262.5,2.637
267.5,3.809
287.5,3.741
297.5,9.339
302.5,3.586
307.5,3.637
312.5,4.499
317.5,3.094
322.5,4.225
322.5,4.014
327.5,4.893
332.5,3.798
337.5,3.533
342.5,3.271
347.5,3.061
352.5,5.619
357.5,2.987
357.5,6.933
362.5,3.477
367.5,3.690
372.5,6.177
377.5,4.666
382.5,5.401
387.5,4.726
392.5,5.072
397.5,6.076
402.5,2.699
407.5,5.539
412.5,3.963
417.5,4.488
422.5,2.676
427.5,5.931
432.5,4.012
437.5,10.047
447.5,5.284
452.5,5.613
457.5,2.542
462.5,3.341
472.5,3.054
477.5,4.189
482.5,4.638
487.5,5.379
492.5,5.494
497.5,4.953
522.5,2.898
527.5,5.646
532.5,4.152
537.5,4.735
542.5,3.371
547.5,5.251
