Event,Age [ka BP],CO2 [mmol/mol],CO2 std dev [±],Reference
Mauna_Loa,-0.066,402.185,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.065958,401.85,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.065875,400.16,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.065792,398.29,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.065708,397.63,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.065625,398.93,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.065542,401.31,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.065458,402.8,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.065375,403.96,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.065292,403.28,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.065208,401.54,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.065125,400.28,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.065042,399.98,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.064958,398.85,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.064875,397.27,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.064792,395.95,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.064708,395.35,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.064625,397.1,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.064542,399.04,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.064458,401.2,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.064375,401.88,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.064292,401.34,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.064208,399.62,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.064125,397.93,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.064042,397.81,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.063958,396.81,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.063875,395.11,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.063792,393.66,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.063708,393.51,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.063625,395.15,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.063542,397.2,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.063458,398.58,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.063375,399.76,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.063292,398.35,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.063208,397.31,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.063125,396.8,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.063042,395.54,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.062958,394.28,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.062875,392.81,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.062792,391.01,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.062708,391.06,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.062625,392.41,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.062542,394.3,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.062458,395.82,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.062375,396.78,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.062292,396.18,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.062208,394.45,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.062125,393.6,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.062042,393.12,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.061958,391.83,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.061875,390.24,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.061792,388.96,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.061708,389.04,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.061625,390.19,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.061542,392.42,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.061458,393.72,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.061375,394.21,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.061292,393.34,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.061208,392.49,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.061125,391.82,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.061042,391.25,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.060958,389.73,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.060875,388.65,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.060792,387.2,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.060708,386.83,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.060625,388.26,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.060542,390.22,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.060458,392.15,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.060375,393.04,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.060292,392.52,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.060208,391.09,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.060125,389.94,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.060042,388.5,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.059958,387.31,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.059875,386,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.059792,384.39,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.059708,384.79,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.059625,385.92,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.059542,387.78,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.059458,389.45,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.059375,390.19,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.059292,389.44,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.059208,388.77,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.059125,387.42,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.059042,386.94,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.058958,385.56,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.058875,384.13,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.058792,382.99,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.058708,383.09,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.058625,384.15,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.058542,386.43,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.058458,387.88,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.058375,388.5,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.058292,387.16,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.058208,385.97,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.058125,385.73,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.058042,385.44,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.057958,383.89,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.057875,382.42,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.057792,381.14,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.057708,380.9,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.057625,382,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.057542,384.49,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.057458,386.05,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.057375,386.58,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.057292,386.4,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.057208,384.56,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.057125,383.81,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.057042,382.93,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.056958,381.79,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.056875,380.18,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.056792,379.16,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.056708,378.92,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.056625,380.45,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.056542,382.38,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.056458,384.09,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.056375,384.98,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.056292,384.73,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.056208,382.66,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.056125,382.16,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.056042,381.35,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.055958,379.92,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.055875,378.29,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.055792,376.98,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.055708,376.66,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.055625,378.73,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.055542,380.78,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.055458,382.2,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.055375,382.47,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.055292,382.2,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.055208,381.14,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.055125,379.76,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.055042,378.47,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.054958,377.45,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.054875,375.93,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.054792,374.44,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.054708,374.11,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.054625,376.15,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.054542,377.61,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.054458,379.56,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.054375,380.63,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.054292,380.41,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.054208,378.73,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.054125,377.87,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.054042,377,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.053958,375.93,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.053875,374.64,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.053792,373.1,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.053708,373.2,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.053625,374.31,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.053542,376.72,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.053458,378.18,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.053375,378.5,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.053292,377.74,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.053208,376.48,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.053125,375.62,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.053042,374.87,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.052958,373.71,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.052875,372.2,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.052792,370.51,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.052708,370.66,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.052625,371.83,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.052542,374,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.052458,375.5,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.052375,375.65,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.052292,375,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.052208,373.94,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.052125,373.14,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.052042,372.45,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.051958,371.18,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.051875,369.69,0.3,Dlugokencky et al. 2016-08-30
