"depth_cm","Median Age","Q0.025","Q0.16","Q0.84","Q0.975"
2.5,182.659975,-19.8665275,64.503014,299.02122,421.6897875
3.5,288.14525,18.71572375,138.229164,489.49648,835.2573875
4.5,384.336375,47.1069725,190.089139,706.535832,1293.8899775
5.5,482.44995,72.50695575,236.978694,932.64054,1750.9611775
6.5,581.52335,90.220355125,279.22632,1160.95898,2210.788725
7.5,706.215175,168.60995125,373.89184,1350.476288,2469.8945375
8.5,872.5379,269.40851125,493.931452,1535.289416,2532.233431
9.5,1028.261425,325.20596,596.934428,1704.026536,2613.66578125
10.5,1174.6794,373.91621625,684.958216,1902.394154,2706.7284525
11.5,1317.77525,415.66468625,763.194952,2110.429956,2898.52083125
12.5,1482.08575,511.32605375,883.091608,2303.021688,3077.7035525
13.5,1674.6513,616.8128625,1013.32508,2474.176876,3234.203385
14.5,1864.84885,683.22984875,1117.57292,2696.324078,3455.885835
15.5,2039.13205,736.33898325,1206.77154,2921.641636,3698.0502875
16.5,2195.39965,781.43463125,1296.07429,3176.14148,4004.5214875
17.5,2340.4165175,875.19124325,1428.573116,3357.980784,4209.774215625
18.5,2504.82445,992.336505,1606.16839,3489.29245,4286.9225275
19.5,2672.0288125,1083.443344,1755.0765,3638.376696,4376.4060575
20.5,2845.207325,1154.75821625,1875.435208,3787.7275,4484.91389875
21.5,3007.16345,1212.130192375,1982.93239,3943.67492,4612.10078
22.5,3159.69015,1475.6810625,2177.24892,4074.141492,4734.22445
23.5,3327.271275,1831.06309,2448.825708,4177.125148,4816.20293125
24.5,3522.643425,2005.715175,2709.865636,4300.66711,4899.53165
25.5,3741.414625,2142.700315,2895.098168,4453.805192,4988.7976625
26.5,3950.219915,2245.16729625,3063.18922,4680.872936,5129.32758
27.5,4101.8556,2412.22491625,3237.130532,4846.77316,5278.983421375
28.5,4232.835965,2612.80534125,3422.8526,4925.888134,5316.3220575
29.5,4381.858,2741.88193,3591.89516556,5011.69664,5359.84646625
30.5,4548.534975,2882.9362525,3745.507928,5111.197616,5419.973766375
31.5,4701.173055,3017.4462475,3863.766798,5230.0852,5498.4421075
32.5,4851.35175,3308.9845075,4086.61876,5326.279072,5570.9172497125
33.5,5007.38935,3803.9226875,4412.070476,5383.929722,5597.782248125
34.5,5165.7495,4292.8703375,4735.203038,5444.71696,5635.75439
35.5,5319.549675,4780.62984875,5051.501424,5511.85871,5683.505732625
36.5,5473.13835,5205.09049,5345.541142,5602.215456,5766.2436875
37.5,5592.790975,5382.5774925,5494.45176,5705.857796,5861.56276
38.5,5652.072475,5434.72285875,5544.282124,5776.91842,5930.443445
39.5,5709.128875,5471.9805905,5583.315842,5861.69514,6036.3630475
40.5,5763.603225,5496.65802125,5615.3511704,5951.88084,6170.06366
41.5,5815.98045,5514.63729875,5643.879604,6047.67224,6313.3889175
42.5,5871.328075,5553.95356,5688.451404,6121.570248,6408.042752625
43.5,5935.530175,5598.92482125,5744.264964,6179.25185,6448.2461725
44.5,6002.87085,5634.828625,5791.7753506,6247.1214156,6505.8707225
45.5,6065.04835,5657.63125375,5830.912888,6317.927848,6576.88621
46.5,6125.4039525,5679.514795,5865.927204,6397.47796162,6666.8172225
47.5,6184.3417,5737.4424425,5921.5965884,6460.660976,6730.550412
48.5,6247.14315,5808.218585,5994.077664,6510.4570202,6760.20308375
49.5,6313.856125,5856.15835,6058.0799828,6565.96549,6797.64358625
50.5,6376.4409,5891.62719,6114.171656,6630.368868,6844.7734865
51.5,6439.145775,5922.628379,6164.092892,6701.83154,6916.84537
52.5,6500.680325,5983.84332625,6223.823544,6759.5802308,6969.67423375
53.5,6559.3446,6058.112149375,6306.592332,6799.039548,6993.006080375
54.5,6622.261525,6116.88795625,6379.419088,6841.268576,7026.12913375
55.5,6688.55664,6166.453485,6439.270568,6891.702626,7068.00138125
56.5,6755.2173,6205.416232375,6492.957662,6952.4946032,7118.5846175
57.5,6812.3618965,6302.1505375,6568.19962,6999.3762532,7158.36807375
58.5,6864.4278875,6453.6343875,6666.382918,7027.951854,7183.3216185
59.5,6917.63635,6599.27066875,6762.02886,7060.293734,7213.02684625
60.5,6975.182575,6714.8357975,6848.60463,7098.4965174,7251.52343125
61.5,7037.91048405,6799.597,6922.2403096,7148.327294,7299.65218
62.5,7114.399025,6883.1309,6999.745014,7224.8640056,7369.04635875
63.5,7194.907975,6944.980645,7067.4239976,7338.96592,7517.30330625
64.5,7271.99475,6978.87020875,7115.473368,7471.44919,7718.84904125
65.5,7345.478425,7004.06888975,7155.783498,7616.899606,7952.2828
66.5,7417.689775,7025.75914375,7190.546428,7765.808208,8202.263765
67.5,7500.3447145,7091.580935,7261.775688,7883.493208,8367.23452125
68.5,7609.7974225,7160.470473625,7353.04864,7977.201514,8457.9561604325
69.5,7716.015075,7206.724705,7421.724898,8096.6123,8551.88193375
70.5,7817.802775,7240.9226225,7486.697928,8235.444812,8682.396724625
71.5,7912.925625,7272.39623325,7538.519392,8374.947344,8871.58853625
72.5,8007.131025,7341.46515875,7613.844372,8494.991916,9004.975615
73.5,8107.6365,7417.31028875,7710.467326,8595.194466,9082.48381875
74.5,8205.6065,7467.44686375,7787.289686,8699.41014,9185.3713075
75.5,8299.570275,7509.30009125,7854.43327,8814.271956,9318.23636
76.5,8388.43536,7543.67984875,7912.65729,8939.779108,9492.05880875
77.5,8477.157975,7609.65812,7986.9947858,9041.829802,9623.1746155
78.5,8569.5309225,7702.4348775,8080.3113144,9117.3983304,9674.18057175
79.5,8662.557475,7773.388746,8167.0016788,9203.432054,9738.568215
80.5,8757.376775,7830.743883375,8242.40822,9293.648564,9820.78778
81.5,8848.64852,7882.2990925,8312.119676,9403.17076,9938.683072625
82.5,8943.61434,7980.15966375,8409.3741,9494.516556,10035.75269625
83.5,9046.129125,8083.24950125,8527.0081136,9575.058394,10075.3257175
