"Depth [cm]","Median Age [kyrs]","BWT [deg C]","Q0.025","Q0.16","Q0.84","Q0.975"
2.5,0.182659975,5.86351241478951,3.51745943047372,4.95132432307901,6.72014387742678,7.3028122474032
7.5,0.706215175,4.88178125836124,3.05141998194119,3.89552643290859,5.91405858209982,6.78404390538129
12.5,1.48208575,4.53798285158548,1.62712513748294,2.41448571607086,6.17585013697197,7.01451951625781
17.5,2.3404165175,3.45530550450933,1.43160061322607,1.91780220300581,5.56362926346581,6.80286478966485
22.5,3.15969015,2.68544491983475,1.4366829180689,1.88954907846968,3.30736767110316,6.04483872470139
27.5,4.1018556,2.64481314121779,1.59667498583656,2.08571604491941,3.16185807655904,4.07560064435912
32.5,4.85135175,3.38786755705433,1.89297438744696,2.38117966120703,4.69519623559944,5.58844608070332
37.5,5.592790975,6.33966578388154,3.14762134980963,5.7720434873288,7.04871024561437,7.49346454551109
42.5,5.871328075,5.95565349623104,3.48584076456437,4.7579875071551,6.88403366846029,7.28559118347905
47.5,6.1843417,4.56992387139155,2.82888286347692,3.4095766666016,6.01154687747823,6.94928045216688
52.5,6.500680325,3.64122893278909,2.62662304133182,3.05074404006787,4.15808070121605,5.65462296060559
57.5,6.8123618965,3.44174771543288,2.66594683013498,3.0484537637503,3.82182594146389,4.2438044849949
62.5,7.114399025,3.63733000081595,2.8416761976602,3.23443339973879,4.04312721694502,4.44761639749089
67.5,7.5003447145,3.65361652784178,2.68513840906247,3.22431206903786,4.08848051240585,4.49491965865566
72.5,8.007131025,3.22265167869692,2.22231719123263,2.68688531742334,3.75973605048931,4.30703272451503
77.5,8.477157975,3.04416126008659,2.10441232440607,2.52688893553551,3.56478936646859,4.38207819268188
82.5,8.94361434,3.283544301918,2.11146200592827,2.54471199103605,4.18238252375448,4.69245639583846
87.5,9.45897685,3.77523361753017,2.25501740233148,2.91658374198208,4.4644811963699,4.83033591778593
87.5,9.45897685,3.77523361753017,2.25501740233148,2.91658374198208,4.4644811963699,4.83033591778593
92.5,9.952396425,3.9538499660664,2.71483200907941,3.47015603069676,4.45832223862861,4.83252327092138
97.5,10.438983455,3.72748434402097,2.86139015784904,3.27783875271974,4.1802051662773,4.64994708684113
122.5,11.473423125,4.83620395459286,2.67975544389314,3.14300261831669,7.1516905372643,9.88640845111138
132.5,11.791348855,8.23055693532735,3.08661370647213,5.80439844490383,9.90383986672903,10.4138860782155
177.5,12.8509581325,8.01463357999992,4.70984352960636,6.80435120998936,9.0889352691236,9.57158758824805
187.5,13.0741070875,5.7112936453399,2.86575992303121,3.49436505290334,7.90582086267692,9.17712363088287
192.5,13.17992825,4.54052067907665,2.72681416636305,3.18619707970294,6.4596698997795,8.79537558616526
202.5,13.4918907,4.66644738963531,2.92194101361986,3.36040381107364,6.64480620361284,7.68149943835772
207.5,13.716430225,6.04994660579932,3.22395763658508,4.33270066018728,7.27940628321554,7.86093258173889
212.5,13.9523478875,6.32623988763561,4.33570765422926,5.58222779923913,7.14846147144407,7.74776327950071
222.5,14.40713815,5.16165885508673,4.00082876593851,4.57161306672083,5.78852011074536,6.81109392850159
227.5,14.620564025,4.80862666131992,3.33838147754699,4.06956299097557,5.34752417820853,7.74103906988815
227.5,14.620564025,4.80862666131992,3.33838147754699,4.06956299097557,5.34752417820853,7.74103906988815
232.5,14.821929235,5.25317148896309,3.19679265225013,3.81958051538105,7.27461061139634,8.78590565608567
237.5,15.018398225,5.90958900605666,3.28120977481426,3.97886774176797,7.92284976964529,8.94210479963126
242.5,15.2221697725,5.25071989910833,3.48128724451969,4.01087482178936,7.02073979415473,8.76651575537821
247.5,15.3948915125,4.95229912988919,3.28511320383334,4.11467714499645,5.93676692522522,7.75800617585217
