"Depth [cm]","Median Age [kyrs]","Mean d13C [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
12.5,1.48208575,0.472591708548998,0.387288998364172,0.416318415807863,0.546859830346988,0.660403944359462
17.5,2.3404165175,0.493870258985464,0.378102146875723,0.415208860855512,0.601524706052114,0.68592372350799
18,2.41910825,0.495957700227164,0.37910539973881,0.415993193641433,0.60336672220438,0.686146745015537
22.5,3.15969015,0.51881131918081,0.381568571833236,0.426465395274987,0.620789876850499,0.695832696685383
23,3.23957135,0.520870506871972,0.382395922385598,0.428145874070625,0.619693403332452,0.693312326436395
27.5,4.1018556,0.553684023474428,0.404093943342019,0.47485934190784,0.632310898638842,0.690490480501891
28,4.1637812,0.555895789496733,0.407072937396334,0.482495691925151,0.633217014157526,0.6910397179544
32.5,4.85135175,0.571054335656117,0.472382611619484,0.523041838168374,0.6335352528863,0.6870888590686
33,4.929845625,0.57095351859523,0.477814810155131,0.5239480754753,0.632890920396571,0.686557256521519
37.5,5.592790975,0.557677590600937,0.331261681510882,0.524789454657379,0.603414728433423,0.639807258281111
38,5.62216181,0.548813742717492,0.315209129904236,0.50964188564616,0.601144222688212,0.63705299870924
42.5,5.871328075,0.44499951759517,0.277666166557732,0.316337432334722,0.55718592357841,0.608093780484331
43,5.9037752,0.438623717323211,0.278626727539206,0.315944443841803,0.553779001057861,0.607059300584
47.5,6.1843417,0.444525936317967,0.287825496352996,0.322268983032299,0.563810856468252,0.613285560840276
48,6.2154977,0.448969558732687,0.289200843977077,0.324958136220319,0.564995497805057,0.616886578152233
52.5,6.500680325,0.497643692825784,0.313598544336166,0.40720618071527,0.577759181757044,0.77141258842946
53,6.52865245,0.502182594925891,0.316009762357137,0.413074341496054,0.581973164286933,0.775800730114887
57.5,6.8123618965,0.57127435867136,0.399104973254816,0.452798337006494,0.716513282824335,0.787774659888824
58,6.83867365,0.57581118862664,0.406326394290121,0.457049116153554,0.715513352350439,0.78835014662653
58,6.83867365,0.57581118862664,0.406326394290121,0.457049116153554,0.715513352350439,0.78835014662653
62.5,7.114399025,0.458004288989133,-0.0583451245054362,0.344230868114103,0.576192348415167,0.727468566795738
63,7.156478075,0.416900748506919,-0.107085692366505,0.250815511146526,0.543407490949081,0.702217297398328
63,7.156478075,0.416900748506919,-0.107085692366505,0.250815511146526,0.543407490949081,0.702217297398328
67.5,7.5003447145,0.273472465698082,-0.203484826045916,-0.0194678349883242,0.528587755495734,0.597247763020289
68,7.55473478,0.284604302845286,-0.202891123236757,-0.0143125548914725,0.531143948899448,0.601018542261427
68,7.55473478,0.284604302845286,-0.202891123236757,-0.0143125548914725,0.531143948899448,0.601018542261427
72.5,8.007131025,0.373115890426231,-0.171361631690797,0.280916260517388,0.535721931264437,0.615822961480294
73,8.0565449,0.379688462988148,-0.15872134968017,0.291532772138608,0.53758094729927,0.618889155968872
77.5,8.477157975,0.387341543650475,0.217941461187134,0.309822305916534,0.501121531632385,0.602564478022728
82.5,8.94361434,0.368654981364695,0.216094107753489,0.293076953009996,0.465847411401418,0.565747434342788
83,8.99369665,0.366311593852389,0.209758370836565,0.290708097083268,0.461521491419161,0.569086118495512
87.5,9.45897685,0.362811628208862,0.185109759418633,0.251091690978905,0.475123187132364,0.774427146806745
88,9.5067021,0.365833540849915,0.181666223468537,0.247257961532885,0.484673394418951,0.790409534517115
92.5,9.952396425,0.458992745851846,0.169909147950632,0.234816996229015,0.738290990349124,0.865961906752406
93,9.9995364575,0.476617209407191,0.171169790213047,0.236251026039732,0.756078743835229,0.870462225577019
93,9.9995364575,0.476617209407191,0.171169790213047,0.236251026039732,0.756078743835229,0.870462225577019
97.5,10.438983455,0.639233780841035,0.185958109370995,0.483129898808279,0.817011773336434,0.890601346117726
102.5,10.8186608375,0.504029505814248,0.180710327205468,0.325903707045596,0.702808810270448,0.864554669865508
103,10.8365901,0.496613965000109,0.168887653641496,0.312829201979791,0.700130981937675,0.867929205616165
107.5,10.98723449,0.40816290320182,0.108818022267638,0.184347866212879,0.681914464804106,0.866830632501627
108,11.00461353,0.391939929678497,0.0661872990062319,0.172220934380903,0.677490787046755,0.860877849931171
108,11.00461353,0.391939929678497,0.0661872990062319,0.172220934380903,0.677490787046755,0.860877849931171
112.5,11.151691725,0.246649536149923,-0.59023267902507,0.127427534773013,0.537419142363309,0.848676266175865
113,11.168125255,0.228926890339201,-0.639484644417672,0.121364209422482,0.47993449226824,0.849849129419697
113,11.168125255,0.228926890339201,-0.639484644417672,0.121364209422482,0.47993449226824,0.849849129419697
117.5,11.3125847,0.0964368628706831,-0.817533450228226,-0.187963485856773,0.273213058508882,0.774187791985704
118,11.328006625,0.0889525716597923,-0.795944688854656,-0.219295639599203,0.270908206054974,0.756095769474751
122.5,11.473423125,0.0312432768487686,-0.857002458585901,-0.378296155587765,0.267895365792824,0.500504299354931
123,11.488376305,0.0329594531090142,-0.842877443161558,-0.373729335849839,0.269606151296188,0.505733485728082
127.5,11.62881249,0.0636502246577675,-0.818213186647051,-0.3696798119277,0.33862134910978,0.605361666104597
128,11.6446056,0.0714250517264422,-0.821985557106434,-0.364222192490744,0.364150131403365,0.612555320741597
128,11.6446056,0.0714250517264422,-0.821985557106434,-0.364222192490744,0.364150131403365,0.612555320741597
132.5,11.791348855,0.186955445956042,-0.615142418155948,-0.279417270330139,0.536972479554074,0.686155964487827
133,11.806110065,0.200881466053131,-0.609036632847227,-0.26711230403351,0.550274977537737,0.686151019629332
133,11.806110065,0.200881466053131,-0.609036632847227,-0.26711230403351,0.550274977537737,0.686151019629332
137.5,11.94110185,0.325180999066062,-0.548143836359786,0.106766665771157,0.628886601669935,0.739916309583356
138,11.95472977,0.332609785227843,-0.54479739060642,0.121218434432524,0.633891073420364,0.746711372373618
138,11.95472977,0.332609785227843,-0.54479739060642,0.121218434432524,0.633891073420364,0.746711372373618
142.5,12.082645445,0.312338410439375,-0.325590975626077,0.11473816761339,0.62953016604772,0.75757612653142
143,12.093769,0.303949423388618,-0.303164936617801,0.11089480712712,0.624394133488119,0.759027312966817
147.5,12.1939036525,0.22036343937899,-0.157229528535649,0.050607487267742,0.478521175959884,0.738699804096487
148,12.20549711,0.210718552348171,-0.151312001257479,0.0393355375697448,0.445201847072846,0.729577094798085
152.5,12.3055869,0.166740806499796,-0.160485597956683,-0.0203273502535863,0.357028765285984,0.677114975088553
157.5,12.418170345,0.158141532944869,-0.162992762318245,-0.0486754758290021,0.360904225165977,0.484863178001031
158,12.4295683285,0.158713102982414,-0.159979016711573,-0.049313796708391,0.359594761220172,0.480825819451845
162.5,12.52913883,0.154919332508253,-0.168565329982488,-0.0556932156292274,0.357605016760351,0.473494581589826
163,12.539791725,0.151144863262227,-0.175459934234917,-0.0620223874025127,0.357689270884175,0.474754410545942
172.5,12.7438585525,0.0362942538065859,-0.77480743903776,-0.127864386840813,0.301542710005366,0.535466291369452
177.5,12.8509581325,-0.0689199606475373,-0.820083174677636,-0.48860767338278,0.229491817964067,0.541969804185089
178,12.8621828325,-0.0809876177569608,-0.821411267187749,-0.511604592280818,0.219375948320425,0.533148928911241
178,12.8621828325,-0.0809876177569608,-0.821411267187749,-0.511604592280818,0.219375948320425,0.533148928911241
182.5,12.9606668775,-0.145376236186036,-0.830785449850756,-0.574605410147368,0.129605681193479,0.510549166572823
187.5,13.0741070875,-0.112269831783602,-0.807513022143545,-0.460978878278959,0.115608110926807,0.341321529314301
192.5,13.17992825,0.00514703736056131,-0.728009893748421,-0.137785951543614,0.174164205423965,0.231002754047573
197.5,13.2919258025,0.0963046521387996,-0.48611809516364,0.00677071280709056,0.201094614314384,0.232843500194242
202.5,13.4918907,0.0285398572498437,-0.462396722304698,-0.239319614328367,0.202423752422102,0.24094682803598
207.5,13.716430225,-0.0610002969206934,-0.483372695777536,-0.365555304943631,0.244815007425475,0.308992770281235
