"Depth [cm]","Median Age [kyrs]","Mean d18O [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
12.5,1.48208575,2.15106065952378,2.0215170074169,2.08773661368862,2.20900319258161,2.32993631563355
17.5,2.3404165175,2.16119988904296,2.0171784026733,2.08380825138734,2.23774011967644,2.37399767006834
18,2.41910825,2.16208722877181,2.01911508543126,2.08396938121402,2.24039378557748,2.37672819092066
22.5,3.15969015,2.1545342845971,2.00707624301862,2.07195130681088,2.24268529580221,2.38473441817204
23,3.23957135,2.15174119435753,2.0059647314333,2.06903969167514,2.23860688249608,2.38003196387229
27.5,4.1018556,2.11388337107134,1.94431311218184,2.03389939224785,2.18662033101432,2.34803856879274
28,4.1637812,2.11019121663763,1.93831288333728,2.0278046593336,2.18327292105379,2.34246928929396
32.5,4.85135175,2.03954171959307,1.86061808401343,1.9297708178071,2.13935332803191,2.22425207595123
33,4.929845625,2.0269910794554,1.84875081065351,1.91714885550338,2.13172044298245,2.21322982960102
37.5,5.592790975,1.94827660660618,1.74853566665268,1.82361489028135,2.07853857475194,2.15560318922497
38,5.62216181,1.96625613373937,1.75540103903647,1.83627272292626,2.0863795597618,2.15978030843112
42.5,5.871328075,2.00321708596881,1.86782783070166,1.93945954779027,2.06722054742902,2.12928762202626
43,5.9037752,2.00206862056723,1.87672802717409,1.94103190884965,2.06461560980414,2.1236967442605
47.5,6.1843417,2.01543766552153,1.8969439889986,1.9555980956673,2.07588567867487,2.13519781057487
48,6.2154977,2.01902864382654,1.90208801457527,1.95911379739644,2.07885373566789,2.14338597245258
52.5,6.500680325,2.04526304765481,1.92415476427147,1.98014080720953,2.10935977594903,2.1660088464357
53,6.52865245,2.04648411712757,1.92404471748553,1.98066431918986,2.11080873415424,2.16590046329815
57.5,6.8123618965,2.02808486256886,1.91210256455115,1.95641697602701,2.10371522518193,2.16621074953878
58,6.83867365,2.02364845569605,1.9094346256158,1.95339381105251,2.09983208288946,2.16256988480465
58,6.83867365,2.02364845569605,1.9094346256158,1.95339381105251,2.09983208288946,2.16256988480465
62.5,7.114399025,2.04988364270271,1.90218943029091,1.95793120343474,2.14659669931632,2.22689798429794
63,7.156478075,2.07166173591257,1.90826683003388,1.97116257035351,2.16418861496315,2.24323859846621
63,7.156478075,2.07166173591257,1.90826683003388,1.97116257035351,2.16418861496315,2.24323859846621
67.5,7.5003447145,2.14084414444819,2.00967656322643,2.06567388017066,2.21539909064135,2.28475683029533
68,7.55473478,2.13966258734458,2.01327368958246,2.0640783062043,2.21626597626983,2.28498772137164
68,7.55473478,2.13966258734458,2.01327368958246,2.0640783062043,2.21626597626983,2.28498772137164
72.5,8.007131025,2.14646527074005,2.01701091593879,2.07020993133906,2.21948706517624,2.28109311990029
73,8.0565449,2.14893866301225,2.0196429270888,2.07307920771985,2.22125191555331,2.28073272587233
77.5,8.477157975,2.17248526256008,2.03943829111873,2.10773373494951,2.23450212375184,2.28969881607556
82.5,8.94361434,2.1841710405304,2.05609176759037,2.12578155605038,2.24110357367572,2.31240786059433
83,8.99369665,2.18440899969039,2.05647678845817,2.12511780314715,2.24186775747946,2.31568294197793
87.5,9.45897685,2.19524340674399,2.05040296372346,2.11850710688694,2.26961670992993,2.41172916207907
88,9.5067021,2.19785517895998,2.04732665318462,2.11789249326735,2.27835081135153,2.42394253397332
92.5,9.952396425,2.25866394766236,2.05600428378189,2.12840059009646,2.40386694536772,2.4983795734197
93,9.9995364575,2.26892129850002,2.05791978898278,2.13142877026406,2.4138635702781,2.50341048061852
93,9.9995364575,2.26892129850002,2.05791978898278,2.13142877026406,2.4138635702781,2.50341048061852
97.5,10.438983455,2.37164746965068,2.09993511535862,2.2870429131957,2.45945781052554,2.52100191691846
102.5,10.8186608375,2.27448996077666,2.0215397710883,2.13161124071136,2.40905339678871,2.48500763355004
103,10.8365901,2.26484032343723,2.02228962630375,2.12761777203336,2.40221601663258,2.48095437296795
107.5,10.98723449,2.23161927778705,2.04841850268775,2.14443200427303,2.32663919544492,2.4618010653525
108,11.00461353,2.23182969875757,2.05203948663497,2.14794043692793,2.31914717280034,2.46903049056846
108,11.00461353,2.23182969875757,2.05203948663497,2.14794043692793,2.31914717280034,2.46903049056846
112.5,11.151691725,2.26369106449844,2.1039533014623,2.17148540051179,2.33816197136902,2.6815552034032
113,11.168125255,2.26959640692304,2.10676508118574,2.17349220783133,2.35028542747758,2.69908781023603
113,11.168125255,2.26959640692304,2.10676508118574,2.17349220783133,2.35028542747758,2.69908781023603
117.5,11.3125847,2.31504614823238,2.12204530808876,2.18522886881667,2.48382396708516,2.77246114898579
118,11.328006625,2.31753968420484,2.12168716569803,2.18682890303283,2.49198083890795,2.76347262171024
122.5,11.473423125,2.33687462996355,2.11378888392725,2.18999142390212,2.53953489265395,2.79194452575194
123,11.488376305,2.33484867382767,2.10883420980733,2.18683227531773,2.52991006464313,2.79054055082095
127.5,11.62881249,2.32122568235951,2.10606481391557,2.18044133238953,2.467007484959,2.77094062940769
128,11.6446056,2.31861392025426,2.10453435459665,2.18031390099931,2.45759825061361,2.76994319092998
128,11.6446056,2.31861392025426,2.10453435459665,2.18031390099931,2.45759825061361,2.76994319092998
132.5,11.791348855,2.29357032101752,2.09865390687953,2.16863018004872,2.41080824705627,2.6802708566012
133,11.806110065,2.29063955545634,2.09706852691472,2.16631911205773,2.4068969664285,2.66052113721007
133,11.806110065,2.29063955545634,2.09706852691472,2.16631911205773,2.4068969664285,2.66052113721007
137.5,11.94110185,2.27444285152381,2.09877666503457,2.15981507603085,2.38718762042147,2.61043306047997
138,11.95472977,2.2749163931302,2.09907017324787,2.16033820276422,2.38416980545664,2.65171493133868
138,11.95472977,2.2749163931302,2.09907017324787,2.16033820276422,2.38416980545664,2.65171493133868
142.5,12.082645445,2.30837852250305,2.10430418011851,2.17182155359201,2.4274879370521,2.84640973416189
143,12.093769,2.31515272618145,2.10644900081569,2.17381399226606,2.44252198838933,2.85142046052228
147.5,12.1939036525,2.40093584077477,2.1095819273489,2.19089749647617,2.77279548540292,2.88393652686087
148,12.20549711,2.41061557094695,2.10589660928199,2.19263479327236,2.778723668709,2.88698239731161
152.5,12.3055869,2.48904003718092,2.08955704568203,2.20788083767187,2.81959478435194,2.90421068456555
157.5,12.418170345,2.52847102814054,2.05626326062273,2.21105443145883,2.83192395711011,2.94613722198549
158,12.4295683285,2.53067484603723,2.05192656493478,2.21253896259521,2.83254411110758,2.95552125587596
162.5,12.52913883,2.56432186412909,2.05390232158858,2.22803601720888,2.8579245383002,3.04907980953448
163,12.539791725,2.57179218817257,2.05448385386794,2.23388642391943,2.86206459300579,3.05731350253204
172.5,12.7438585525,2.75250880613851,2.11082215363171,2.42319398362168,3.04004010392223,3.14570936990386
177.5,12.8509581325,2.85754222123449,2.20754992334649,2.62306725273813,3.07170975245281,3.15581075382305
178,12.8621828325,2.86936936054291,2.23070396512699,2.6390219302573,3.07501133716025,3.1606716081876
178,12.8621828325,2.86936936054291,2.23070396512699,2.6390219302573,3.07501133716025,3.1606716081876
182.5,12.9606668775,2.94146181799609,2.3994454681105,2.77549983826324,3.09505876628489,3.19008033289627
187.5,13.0741070875,3.02237712316084,2.61990298582333,2.91130340754029,3.16821326364366,3.26552145953356
192.5,13.17992825,3.11932234155847,2.7631784483828,2.97658666896647,3.2690394193663,3.37240037237174
197.5,13.2919258025,3.23737956048899,2.9116940271594,3.09492535690578,3.36237172222383,3.45947482739514
202.5,13.4918907,3.38080407766858,3.10987534829492,3.29882981973886,3.47615319999732,3.54984378588783
207.5,13.716430225,3.45183908334745,3.29472991921252,3.38634376576575,3.51919472291999,3.58333422190537
212.5,13.9523478875,3.46970047168207,3.2956497093771,3.40879822540421,3.53625386304473,3.6029771940373
217.5,14.1810501225,3.4331737901592,3.20522315478078,3.30567138683511,3.53848284856383,3.60829987968479
222.5,14.40713815,3.28544473756398,2.39017806295379,3.21580853219555,3.48645985159018,3.58725243255555
227.5,14.620564025,3.06727261397089,2.31006750989344,2.68197416739392,3.3357257715568,3.51563331643988
228,14.64146685,3.04592521949835,2.30921190823985,2.65744631212997,3.32829723296086,3.50347877055602
