"Depth [cm]","Median Age [kyrs]","Mean d18O [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
532.5,26.35188456,3.50165550329822,3.36568615701296,3.43703699410566,3.56694415213122,3.62843698301907
537.5,26.60327617775,3.46135416535557,3.31106699792487,3.38140583022754,3.53882884984185,3.60583417272491
542.5,26.84879072,3.41719298928314,3.28804319321716,3.34696124703626,3.49217715562,3.56925426405365
547.5,27.0845552925,3.39105346776542,3.28237134809202,3.33668963487016,3.4462972166643,3.5189928183791
22.5,3.15969015,2.68844541747065,2.4482138513153,2.62261747320407,2.76163496439847,2.81021475480219
27.5,4.1018556,2.61411973236223,2.39338155029685,2.47494082756652,2.73517790609304,2.79587314557876
32.5,4.85135175,2.54215233173406,2.38577874025097,2.45003188057817,2.66522859934625,2.76713602008987
37.5,5.592790975,2.58601214419613,2.43773753350791,2.5052558783791,2.66754043359292,2.77124794411543
42.5,5.871328075,2.67413404714274,2.50715361565381,2.59114628101685,2.75539425738298,2.82619763467188
47.5,6.1843417,2.64056640999006,2.49268886763774,2.56257842551395,2.7205793410912,2.80388949730196
52.5,6.500680325,2.63543427278096,2.51032322407401,2.57468271118165,2.69589698203998,2.76170573782587
57.5,6.8123618965,2.63673694742242,2.5290950417855,2.58473676831209,2.68967181732038,2.74459532413288
62.5,7.114399025,2.6785784950167,2.55977321053752,2.61874384233893,2.74041501828683,2.79891756303136
227.5,14.620564025,3.20806940011414,2.9875891264195,3.05259158967215,3.41980083763905,3.58459015653137
232.5,14.821929235,3.33910348744126,3.03120121683658,3.13535071404209,3.51809367458232,3.70518916145866
237.5,15.018398225,3.45639889374784,3.07782904139128,3.20140303137155,3.77461014037255,3.97295053674245
242.5,15.2221697725,3.71268468171352,3.11616216011324,3.34590241389096,3.95488507828963,4.01896233882836
347.5,17.05144673925,3.99910724320852,3.88512945993081,3.94191135964777,4.0553416216554,4.11506315624097
352.5,17.124308965,3.98546630685569,3.85698356679431,3.92756427050211,4.04395313707831,4.10321593357552
357.5,17.19646526,3.96599485216473,3.81938332230735,3.89905567256228,4.03040518497326,4.08914457096521
362.5,17.275190025,3.93655172512499,3.78734547589569,3.86098407892802,4.01144524744392,4.07375553651719
367.5,17.390886555,3.8961165289729,3.75634308577411,3.82353931979574,3.96936452033695,4.04004117666078
372.5,17.51298804,3.88122333251467,3.74813172376353,3.81298186404852,3.94955050765004,4.01717956105105
377.5,17.635112725,3.88752858087275,3.75455230608418,3.82140769266609,3.95266693335569,4.01330038843988
382.5,17.7615902025,3.88655073893531,3.74398500685128,3.8206803394027,3.95029327959874,4.00966802508869
387.5,17.8911374925,3.86829631706096,3.70943270619364,3.78917743732576,3.94326325701035,4.00298084268185
392.5,18.022448195,3.83602683805119,3.68692862242353,3.75402557430697,3.91978555380116,3.98875380755072
