"Depth [cm]","Median Age [kyrs]","BWT [deg C]","Q0.025","Q0.16","Q0.84","Q0.975"
2.5,0.180981175,5.90694471361538,3.61524916041712,4.99730213140353,6.7406113094554,7.28615842990536
7.5,0.7248611,4.83763666933894,3.15731411510176,3.89633847956317,5.80095131104798,6.77180441184877
12.5,1.5634218,4.88561956112583,1.80060634403191,3.27163545430115,6.33484291102056,7.08798211348211
17.5,2.60355275,3.32758266304848,1.47742148263551,1.91829173176527,5.21132668430092,6.76375930987528
22.5,3.419939375,2.51769728167936,1.43180149891837,1.87360878800743,3.05243064267768,4.62470750548716
27.5,4.23323805,2.57073180717787,1.56991967273588,2.05416635254859,3.05931710987077,3.67902938055046
32.5,5.03643855,3.40251458891349,1.8778657987315,2.37688498878674,4.78230258259952,5.72096310696421
37.5,5.59260355,6.26485346338326,2.84278276474177,5.62020820534208,7.02983274616545,7.48048129459051
42.5,5.87298654,5.98657891996955,3.51689836391033,4.90641443884983,6.87896099619257,7.29205845842965
47.5,6.202390105,4.55068148063886,2.83859465966692,3.40411689011886,5.87598125341031,6.93284680695877
52.5,6.5319222025,3.62846941850913,2.65032180836533,3.06444958726159,4.12545233127422,5.47264683758565
57.5,6.8244436785,3.45306111236439,2.66416046969993,3.05720335307159,3.83284474057588,4.28546335178414
62.5,7.118407,3.63042372290699,2.84405766704797,3.23398136287782,4.02401086971228,4.43766291092953
67.5,7.5679314,3.64881026542944,2.63737628986074,3.21050957444406,4.08876203460529,4.50255915336593
72.5,8.0705724,3.23832826026286,2.25084930536816,2.69943267010706,3.78439540938611,4.32594281725778
77.5,8.57522855,3.0318103597738,2.09738104482164,2.51525155166024,3.53494720500426,4.3702592651317
82.5,9.057722875,3.28108653866192,2.11423605944542,2.55180007822788,4.18219825136938,4.7310638003776
87.5,9.549697675,3.76529038856455,2.26382394701318,2.90131947634426,4.45951404876929,4.84743596204536
87.5,9.549697675,3.76529038856455,2.26382394701318,2.90131947634426,4.45951404876929,4.84743596204536
92.5,10.026811595,3.96065941689433,2.7704361654141,3.47413513687938,4.45660197317606,4.83597457065224
97.5,10.462911825,3.73600752902432,2.88951716143221,3.28871025705727,4.18898411862376,4.66075471707354
122.5,11.45751039,4.77716464145127,2.6783230350932,3.1521093021299,6.96988809005091,9.84281914533244
132.5,11.77785765,8.24355488826862,3.12795271163555,5.87995173976038,9.89631066403707,10.3970870595793
177.5,12.8606083,7.93514517979381,4.37157834143516,6.64125670468384,9.07829607081695,9.55703804606795
187.5,13.072874205,5.72279482051347,2.83185537650985,3.51342630816365,7.99786662207608,9.16702304598224
192.5,13.1783452175,4.55737845574236,2.74103799920726,3.18004083130345,6.48699598167738,8.73746716342437
202.5,13.48851785,4.62596947143517,2.88884769250829,3.33741251819704,6.55566045495557,7.69416290791067
207.5,13.71601805,6.05858172460518,3.23505384354845,4.27571805930285,7.30313948864765,7.86948709805229
212.5,13.959581385,6.35608383317108,4.41031445578845,5.60882445947727,7.17548620610025,7.76208213912893
222.5,14.41148115,5.17067594865166,4.02553256828591,4.56941041848769,5.80323362990065,6.82178387606575
227.5,14.621247175,4.79039438697336,3.38582702106543,4.08900705453666,5.32772746707063,7.34727491077537
227.5,14.621247175,4.79039438697336,3.38582702106543,4.08900705453666,5.32772746707063,7.34727491077537
232.5,14.818336895,5.19359736482403,3.18939481407614,3.83335510444177,7.073549087391,8.7892403670223
237.5,15.0247398,5.89316752453861,3.2970089293049,3.95811698680096,7.92125865606018,8.94361483859978
242.5,15.2220803825,5.25488260097875,3.47350045357466,4.01650180537949,7.01331139137473,8.68631128934765
247.5,15.393502315,4.94943328657247,3.27304750192016,4.10307046627366,5.92369713242625,7.78104461738542
252.5,15.4775094175,4.91066930745898,2.70351923154621,3.87847818849192,6.14560529170282,7.33197666188787
257.5,15.557338,4.71772568331684,2.55381974417913,3.35720044361235,6.18712493441009,7.24849921964684
262.5,15.6355255,4.35878873548643,2.52231852329975,3.2197112334882,5.83650577388658,7.0838671067431
267.5,15.7133801975,4.05911576971774,2.61580953759573,3.22652941818827,4.86070205375514,6.93908152335296
287.5,16.080559025,5.00928075971898,3.09388878881118,3.5604903856993,7.08373062467636,8.94380941208929
297.5,16.26676061,5.83264532600638,3.11897364187247,3.66768936711911,8.24518505321928,9.3491098752874
302.5,16.36142387,5.1083549491,2.97986521080206,3.50038069821091,7.65297704807872,9.18355747564894
307.5,16.4403327,4.50205190911332,2.88302963165502,3.41301609331322,5.7410182414895,8.91910827929393
312.5,16.5178855,4.19526855041203,2.84326762739743,3.37347336207352,4.67535222589438,8.26260597500583
317.5,16.593185525,4.10097955513927,2.85573239828838,3.39693262300213,4.64264591359729,6.86001375583918
322.5,16.67172395,4.05903217229527,2.89671758045257,3.40098703681705,4.63291358076126,5.40916150559934
322.5,16.67172395,4.05903217229527,2.89671758045257,3.40098703681705,4.63291358076126,5.40916150559934
327.5,16.745931415,4.0160214116268,2.80284034147228,3.36984521149324,4.61868320058934,5.29478156909737
332.5,16.8238003975,3.8844918297516,2.75867617990723,3.24990047446143,4.5276002281626,5.2031928702307
337.5,16.9008745415,3.74093012202613,2.67014587311164,3.10949318658221,4.40247351293543,5.298102062432
342.5,16.973936225,3.76215227358292,2.59600380923874,3.03941488724677,4.57527205620071,5.62369845471282
347.5,17.0487252375,4.03779014201924,2.6263138116285,3.10932638408405,5.13983945285812,5.83400668688323
352.5,17.1204777,4.30070619442538,2.71155178596384,3.29435852627761,5.31725657803242,5.89496460971546
357.5,17.19375247825,4.31754536915068,2.82221515614928,3.38953951725749,5.26428400675558,5.84537531983858
357.5,17.19375247825,4.31754536915068,2.82221515614928,3.38953951725749,5.26428400675558,5.84537531983858
362.5,17.273417855,4.21369753103229,2.8777748658089,3.38130953989478,5.15198619968847,5.97648814161599
367.5,17.390944773,4.43823866263244,2.97874162129733,3.47008314823843,5.47948271803089,6.24282639250595
372.5,17.513520435,4.87714969771651,3.17330465935258,3.86885345114196,5.71299917638858,6.37419276031261
377.5,17.64115525,5.06833751210079,3.5167413426506,4.49343817901004,5.6805817975686,6.30593934933458
382.5,17.767363565,5.08541919917176,3.89823517177537,4.60130372432108,5.59401118315775,6.18226263548803
387.5,17.894060215,5.06904419571914,3.77199619904811,4.58689739816002,5.59448255973378,6.15436124361756
392.5,18.024702667,4.98903581623057,2.99926479283753,4.40238839240993,5.67213499017374,6.24374014003817
397.5,18.1557021375,4.79648530461557,2.6555343982875,3.76666025814089,5.66971120459931,6.27908729836048
402.5,18.2849439825,4.60855921888715,2.67599204571399,3.54013542208646,5.58490089143281,6.21942024712977
407.5,18.4111974725,4.4900611430702,2.70928170786239,3.64378053519077,5.34332413815579,6.05030956005539
412.5,18.5569672525,4.33821845004818,3.11634388658697,3.75905877750215,4.94162157989164,5.70774632712419
417.5,18.86166089,4.04277183142455,2.67779230979662,3.45889357875161,4.59483174820141,5.12296649488633
422.5,19.2599989575,3.9980059242216,2.41786493871894,3.04857950396132,4.99879297507165,6.01119941547373
427.5,19.68305005,4.79911937298606,2.60892320351617,3.57556873279557,5.73157663865162,7.8452930524137
432.5,20.106613375,6.03763852544176,3.47113787182892,4.37512632638763,8.57397197239797,10.0701911470711
437.5,20.508005345,7.97164970919191,4.03619446780057,5.81393892477766,9.57733920680918,10.3138283715587
447.5,21.248244385,5.8695667932278,3.82241474696292,5.06477948456265,6.92224229437607,8.08609040997155
452.5,21.65973326,4.75440920553886,2.34844949124857,3.21086836745951,5.79525268002393,6.50117334059145
457.5,22.091978925,3.68236520197044,2.19735745381131,2.70610546622451,5.08851674322764,5.94334846767383
462.5,22.5090288175,3.241314372464,2.30719145872703,2.75570037239932,3.65541656841097,4.82012368551602
472.5,23.25307563625,3.39218001045578,2.40072716785312,2.84494741725969,3.95191661131238,4.76437738596476
477.5,23.50012301075,4.07972128411966,2.73149797983928,3.33381871747022,4.80690338384187,5.55635062722899
482.5,23.7572817875,4.67568907612753,3.28780709917853,4.00727375608869,5.36823447541803,5.88760658194691
487.5,24.014087365,5.0134490743321,3.80927259393388,4.43304815316958,5.57508900306802,6.00005789611756
