"Depth [cm]","Median Age [kyrs]","Mean d18O [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
22.5,3.419939375,2.69561908731734,2.52767578498037,2.63097103023534,2.75979437270361,2.80881750090651
27.5,4.23323805,2.62629835102861,2.40457373330874,2.4971272902301,2.73759228515279,2.79973483797837
32.5,5.03643855,2.52421490784974,2.38227696649574,2.44537245632068,2.60733535460884,2.74648721967847
37.5,5.59260355,2.58289733700126,2.43727454802471,2.50120464270481,2.66662593501288,2.77430390276703
42.5,5.87298654,2.67643836544118,2.50254609072503,2.59312824142282,2.75775854226215,2.82980345253886
47.5,6.202390105,2.63870410272643,2.4937204585005,2.56179429360739,2.71600845008917,2.79923006399433
52.5,6.5319222025,2.63458287118823,2.511402725742,2.57426099562173,2.69463772000834,2.75419396413163
57.5,6.8244436785,2.63659391195462,2.52404177817913,2.58287650068299,2.68998898683232,2.74478471523315
62.5,7.118407,2.67733277626292,2.5594990408804,2.61783753751772,2.73773755588684,2.80060366095211
227.5,14.621247175,3.20711898531813,2.98367201563715,3.05137334263575,3.41174499377781,3.58459638956988
232.5,14.818336895,3.34155187419943,3.02577997220956,3.13346885326305,3.52402175714569,3.71263342851346
237.5,15.0247398,3.46337239162531,3.08102751571933,3.20503274411535,3.81007016047469,3.97919599150873
242.5,15.2220803825,3.71250044804989,3.12058566623172,3.34170573678088,3.954868604623,4.01928943643548
347.5,17.0487252375,3.99849217275456,3.8866938026185,3.94207046177049,4.05550579497897,4.11316894379692
352.5,17.1204777,3.98583532428595,3.86223455529158,3.92897151575204,4.04411676196686,4.10349198679621
357.5,17.19375247825,3.96620564937829,3.82080888937653,3.90151999666728,4.03133381597853,4.08880250622643
362.5,17.273417855,3.93691790508587,3.78799688368611,3.8609809431741,4.00991691909689,4.07281389259667
367.5,17.390944773,3.8959571256712,3.76022080980284,3.82286706407277,3.96750589626398,4.04085745678788
372.5,17.513520435,3.88184257334421,3.74901993146615,3.81302990111023,3.94881416638907,4.02103246157452
377.5,17.64115525,3.88760808515064,3.75320733293127,3.82195900402328,3.95158081410186,4.01479320379135
382.5,17.767363565,3.88951644276705,3.75753718538648,3.82557129914635,3.95263320850689,4.0112172372215
387.5,17.894060215,3.8795159173546,3.74500238614358,3.81492768547671,3.94419418199531,4.00051719566876
392.5,18.024702667,3.86900129486788,3.74449484371082,3.80548448580011,3.93322199003194,3.99591587577042
397.5,18.1557021375,3.86840317792731,3.74729862522067,3.80682005507218,3.92986961664364,3.99457768966129
402.5,18.2849439825,3.87754023476723,3.75513921748447,3.81415614792135,3.94167552236112,4.00977221242526
407.5,18.4111974725,3.88794185680054,3.75874141096866,3.82183500702112,3.95331970426067,4.02043472990863
412.5,18.5569672525,3.87890241905699,3.74827825001023,3.80913827343535,3.94741854737973,4.01553410061682
