"Depth [cm]","Median Age [kyrs]","Mean d13C [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
12.5,1.5634218,0.455089782577083,0.388426507030022,0.412762710006281,0.482613325148204,0.659024004031794
17.5,2.60355275,0.520870844237172,0.397929088302691,0.426474779728874,0.648060180692577,0.705034978981425
22.5,3.419939375,0.581883686444954,0.40812346670481,0.454611524868114,0.666743389785669,0.712115082320608
27.5,4.23323805,0.623515574440571,0.466552876472398,0.583383781159158,0.670640173801927,0.710894363739626
32.5,5.03643855,0.639572130560143,0.568979131864318,0.605536036683136,0.674062269205083,0.706960218644581
37.5,5.59260355,0.565326032187179,0.420085781601263,0.513627319052702,0.617869053385282,0.665244659344174
42.5,5.87298654,0.45343914005749,0.343345555692144,0.387245353407506,0.519950740122952,0.581182023468818
47.5,6.202390105,0.419349376561592,0.329406443798051,0.366828139748411,0.481200007691383,0.527557909336725
52.5,6.5319222025,0.461528712125241,0.341471758570002,0.39823854695329,0.512382920035138,0.53966287210002
57.5,6.8244436785,0.485608466177318,0.404672112459445,0.458852229245437,0.515955238540131,0.542116402110109
62.5,7.118407,0.376060775130187,-0.144610379274098,0.257852867902795,0.487605815684562,0.519601391984919
67.5,7.5679314,0.0175352457511474,-0.237147065998026,-0.162790307764201,0.218447443365415,0.314172847580611
72.5,8.0705724,0.147279581091635,-0.215705975081109,-0.0807527180562981,0.316783312211637,0.358432845114123
77.5,8.57522855,0.272873061495259,-0.0513083376895451,0.216467402519516,0.342427760882339,0.372656292001709
82.5,9.057722875,0.292504548094048,0.17133899817396,0.230035046935438,0.34375221072266,0.379301948164196
87.5,9.549697675,0.29139065252672,0.160902066487349,0.199001648391909,0.349879467543318,0.692174853442276
92.5,10.026811595,0.392904819111995,0.151176091904654,0.189585164643779,0.70768975293371,0.863955417454799
97.5,10.462911825,0.604543429887965,0.165933885688798,0.340665581372072,0.805541670482158,0.886417780676508
102.5,10.818835375,0.571061425240335,0.184395121866436,0.427102345279846,0.762537592760374,0.88114518723523
107.5,10.983451225,0.505034924104057,-0.185167743886603,0.189094532459994,0.784436547358284,0.88599262117466
112.5,11.138612825,0.274326737689808,-0.800878576822014,-0.0421974341062543,0.723523302372115,0.876934272931892
