"Depth [cm]","Median Age [kyrs]","Mean d18O [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
12.5,1.5634218,2.16804769715288,2.05792636226078,2.10737399849988,2.22451798812648,2.34240649440206
17.5,2.60355275,2.21709451451631,2.0704514597438,2.12578623348255,2.32111207918848,2.41385800281711
22.5,3.419939375,2.23905027604877,2.06845431262624,2.13799114702053,2.34134119047248,2.42378799307471
27.5,4.23323805,2.19641325821917,2.02347590770614,2.10128170664679,2.30455457314713,2.40614550035825
32.5,5.03643855,2.07344630793337,1.87892879570101,1.9581807217867,2.17242635154598,2.26055664129272
37.5,5.59260355,1.88170145737993,1.74023882628506,1.80569374019827,1.9551115119922,2.09347525050267
42.5,5.87298654,1.94867816536983,1.80860707212841,1.87720655145899,2.01819323315255,2.07664071453205
47.5,6.202390105,2.00174905917074,1.88233179610839,1.94582201892036,2.05792389701727,2.1121159016812
52.5,6.5319222025,2.03279874125068,1.92267755893668,1.97727126654392,2.08788052709814,2.14351609116878
57.5,6.8244436785,2.04932563414005,1.94204896341226,1.99591791636496,2.10291635833535,2.15834461447649
62.5,7.118407,2.03326138222499,1.90513970694706,1.96357605950938,2.09831003966067,2.2119558313165
67.5,7.5679314,2.16361291482434,2.02212263017406,2.09188347798588,2.23571619157771,2.30220914264462
72.5,8.0705724,2.16290531522894,2.03975605937922,2.10060860971101,2.2256931453909,2.28725089089937
77.5,8.57522855,2.16243252848897,2.04212481062109,2.10319564346529,2.22135249011578,2.28081742128493
82.5,9.057722875,2.15751429372774,2.03101902339633,2.09252607055396,2.22143141006216,2.279877226879
87.5,9.549697675,2.15457481945396,2.01700845676581,2.07596689262409,2.22926816423031,2.38012346042685
92.5,10.026811595,2.21502402486118,2.0217397000184,2.08334851649508,2.38737877640392,2.49444837973868
97.5,10.462911825,2.35097988659952,2.06511851858018,2.206048502261,2.4564338143155,2.52457835412424
102.5,10.818835375,2.34444699781879,2.20061761187502,2.27508468233067,2.41411945681098,2.48633214854799
107.5,10.983451225,2.31361884890209,2.17532711572247,2.23921699785256,2.3786345983354,2.50000878916217
112.5,11.138612825,2.33184994997566,2.1715170571821,2.22719729858106,2.41866159142612,2.76165100845767
117.5,11.3019361525,2.41019259100297,2.17479771199731,2.23825645018191,2.646935092161,2.81527170257274
122.5,11.45751039,2.47326871142837,2.19600100309543,2.27380601268255,2.69048009248619,2.82847840630567
127.5,11.6174246575,2.4854332725228,2.23707591853365,2.35219313943497,2.64049394340935,2.81773125242588
132.5,11.77785765,2.45762720873486,2.26442386441507,2.36094177308994,2.53736288668963,2.75773592753321
137.5,11.9340349825,2.4072036281799,2.21528391285959,2.2969279468004,2.50075307525738,2.67723720612458
142.5,12.080292125,2.41030646340935,2.19577712835463,2.26175242426755,2.54893612801819,2.8606658422933
147.5,12.19080761,2.50543682903417,2.20144925054785,2.2689437957707,2.82062294639453,2.92219088442644
152.5,12.3009197,2.64685760779684,2.21807635955141,2.31025929940932,2.88027042815292,2.96826510202321
157.5,12.41364403,2.77313984828841,2.25293444480174,2.57279975517313,2.92836532697189,3.01210408867122
162.5,12.524334425,2.85504468450601,2.30697748737297,2.77973827793419,2.96374012691803,3.11291524821983
172.5,12.74537922,2.97340727538732,2.77701231776287,2.86940410194091,3.10931398327874,3.19158536150583
177.5,12.8606083,3.01756259492465,2.81607992376784,2.90308495861592,3.13353779410913,3.19999968785093
182.5,12.9669434,3.04182661766841,2.84293901059879,2.93343952313466,3.14505795734927,3.21669651008951
187.5,13.072874205,3.06783204556031,2.86554452607261,2.95726526303645,3.17946040752473,3.27303070155231
192.5,13.1783452175,3.13734775633337,2.88949448931527,2.99742297749189,3.27196649492799,3.37703148313739
197.5,13.2904275275,3.24298381279614,2.93482782157121,3.10937596100753,3.36422205645318,3.46413554255485
202.5,13.48851785,3.38200615259096,3.12539347060744,3.29819664318188,3.47808421497036,3.54642074409866
207.5,13.71601805,3.45302231053633,3.29723444014733,3.38834671292964,3.51975632312365,3.58029006249141
212.5,13.959581385,3.46944051887529,3.29789441509973,3.40807230355008,3.53549030535339,3.59986181629946
217.5,14.18536445,3.43475973885394,3.20816756390436,3.30749706304191,3.53823727010556,3.61139056854727
222.5,14.41148115,3.35631560150878,3.18756655545206,3.24703393787224,3.49039811589506,3.59513614120443
227.5,14.621247175,3.32148291493795,3.16115561857121,3.24789406174195,3.39432126876575,3.52131586082635
232.5,14.818336895,3.28983405383601,3.04926034537445,3.16417273017717,3.39228481010585,3.46303689391373
237.5,15.0247398,3.17985080127883,2.89991572324988,3.05488398765251,3.34063178572494,3.43858889534528
242.5,15.2220803825,3.03247943566217,2.70588705071974,2.84447320812067,3.17895593195324,3.38087154633817
247.5,15.393502315,3.05643739509066,2.67067699254517,2.78021732603624,3.36580681500461,3.45017660394943
252.5,15.4775094175,3.17358205890738,2.68489217861789,2.83482648665528,3.41141964240148,3.47211651681258
257.5,15.557338,3.27558700345686,2.715213296871,3.02345298352317,3.43073943461733,3.48462507248397
262.5,15.6355255,3.3204432875755,2.7737840958712,3.21940282231863,3.4369905662383,3.49004912472106
267.5,15.7133801975,3.29892611382647,2.78046847849723,3.10291015323124,3.43544133188145,3.4906171013002
272.5,15.7931685,3.20556058291622,2.73855183359395,2.87603665535132,3.42193300156293,3.48268476663058
277.5,15.8907165675,3.04136728353142,2.70949905406859,2.78499644912155,3.37999016716507,3.46435907831737
282.5,15.98447872,2.91835257680692,2.68838594505315,2.75494976469391,3.13733027593482,3.43147320625011
