labID,age,error,depth,cc,dR,dSTD
90178,638.7027657,45.09525748,2.5,2,0,0.0052
90185,5382.689122,47.53083633,37.5,2,0,0.0030
90190,6732.29326,48.32310003,62.5,2,0,0.0026
90198,9980.02698,54.36465662,102.5,2,0,0.0020
90206,10839.87093,57.56896914,142.5,2,0,0.0019
90217,11848.033,58.04821638,197.5,2,0,0.0017
90223,12905.29142,61.36165761,227.5,2,0,0.0015
90227,13605.92434,63.71474543,247.5,2,0,0.0015
90232,13680.52366,65.39709891,272.5,2,0,0.0015
90238,14228.64398,67.4525345,302.5,2,0,0.0014
90247,14733.34477,68.69606713,347.5,2,0,0.0014
90250,14752.21755,69.93902891,362.5,2,0,0.0014
90260,15813.19775,73.26006585,412.5,2,0,0.0013
90266,18003.69734,56.04029368,442.5,2,0,0.0007
90272,20110.73195,60.45899636,472.5,2,0,0.0006
90286,23404.4905,142.8424579,542.5,2,0,0.0010
