depth	min	max	median	mean
2.5	-15	404	186	186
3.5	28	749	295	319
4.5	59	1139	396	453
5.5	81	1534	501	586
6.5	103	1935	607	720
7.5	185	2195	740	860
8.5	262	2331	908	1007
9.5	316	2498	1071	1154
10.5	360	2739	1218	1301
11.5	398	3015	1357	1449
12.5	497	3231	1505	1599
13.5	620	3363	1669	1751
14.5	703	3494	1831	1904
15.5	771	3659	1991	2057
16.5	833	3867	2145	2209
17.5	958	4032	2299	2364
18.5	1127	4128	2470	2520
19.5	1259	4240	2646	2677
20.5	1367	4383	2814	2833
21.5	1456	4558	2978	2990
22.5	1625	4704	3139	3153
23.5	1843	4775	3309	3322
24.5	2003	4856	3494	3491
25.5	2119	4964	3681	3660
26.5	2219	5120	3865	3829
27.5	2388	5247	4036	3994
28.5	2627	5295	4215	4156
29.5	2817	5351	4400	4317
30.5	2959	5416	4589	4478
31.5	3072	5514	4774	4640
32.5	3356	5598	4930	4805
33.5	3832	5628	5069	4976
34.5	4307	5664	5207	5146
35.5	4781	5715	5343	5316
36.5	5214	5791	5482	5486
37.5	5385	5875	5595	5603
38.5	5440	5942	5660	5668
39.5	5473	6050	5720	5732
40.5	5498	6192	5777	5796
41.5	5518	6344	5832	5861
42.5	5561	6446	5890	5923
43.5	5614	6490	5956	5982
44.5	5650	6543	6021	6042
45.5	5680	6610	6085	6101
46.5	5703	6699	6146	6161
47.5	5754	6764	6205	6220
48.5	5816	6798	6269	6279
49.5	5859	6837	6335	6338
50.5	5897	6886	6402	6398
51.5	5928	6949	6465	6457
52.5	5995	7000	6523	6515
53.5	6079	7025	6582	6573
54.5	6145	7057	6643	6631
55.5	6197	7095	6707	6689
56.5	6238	7145	6769	6747
57.5	6330	7185	6824	6806
58.5	6475	7207	6875	6865
59.5	6610	7235	6926	6924
60.5	6720	7269	6979	6984
61.5	6800	7317	7038	7043
62.5	6890	7380	7114	7119
63.5	6955	7525	7200	7211
64.5	6991	7751	7279	7303
65.5	7016	8016	7354	7396
66.5	7036	8289	7427	7488
67.5	7095	8468	7511	7580
68.5	7154	8550	7612	7672
69.5	7196	8654	7709	7764
70.5	7230	8787	7801	7855
71.5	7257	8953	7887	7947
72.5	7332	9087	7978	8040
73.5	7412	9159	8079	8134
74.5	7470	9248	8180	8228
75.5	7518	9350	8282	8323
76.5	7556	9474	8377	8417
77.5	7630	9579	8471	8511
78.5	7722	9634	8573	8605
79.5	7789	9700	8676	8698
80.5	7846	9784	8780	8792
81.5	7890	9896	8878	8886
82.5	7989	9986	8975	8981
83.5	8118	10036	9073	9077
84.5	8211	10095	9179	9174
85.5	8289	10171	9286	9270
86.5	8348	10275	9391	9367
87.5	8458	10361	9485	9461
88.5	8594	10404	9576	9553
89.5	8705	10453	9670	9646
90.5	8788	10519	9768	9738
91.5	8858	10600	9867	9830
92.5	8981	10668	9961	9922
93.5	9149	10708	10050	10015
94.5	9289	10747	10146	10108
95.5	9382	10799	10247	10201
96.5	9455	10874	10350	10294
97.5	9611	10936	10438	10389
98.5	9861	10967	10516	10484
99.5	10103	11001	10593	10580
100.5	10324	11046	10673	10675
101.5	10495	11108	10758	10771
102.5	10573	11167	10822	10836
103.5	10605	11204	10858	10871
104.5	10627	11248	10893	10905
105.5	10646	11303	10926	10940
106.5	10662	11371	10959	10975
107.5	10686	11424	10990	11008
108.5	10716	11452	11023	11039
109.5	10739	11488	11057	11071
110.5	10760	11531	11089	11102
111.5	10777	11578	11119	11134
112.5	10804	11615	11150	11165
113.5	10836	11640	11182	11197
114.5	10862	11670	11215	11228
115.5	10883	11706	11248	11260
116.5	10901	11748	11280	11291
117.5	10929	11782	11311	11323
118.5	10964	11806	11343	11354
119.5	10992	11828	11375	11385
120.5	11015	11860	11407	11416
121.5	11035	11897	11439	11447
122.5	11065	11928	11471	11478
123.5	11106	11951	11503	11510
124.5	11138	11976	11535	11541
125.5	11165	12009	11568	11572
126.5	11187	12043	11600	11604
127.5	11221	12072	11631	11635
128.5	11263	12094	11661	11665
129.5	11300	12119	11692	11695
130.5	11329	12145	11724	11726
131.5	11354	12178	11755	11756
132.5	11396	12204	11784	11787
133.5	11448	12223	11814	11818
134.5	11490	12246	11845	11849
135.5	11521	12272	11876	11880
136.5	11547	12301	11908	11911
137.5	11594	12328	11937	11943
138.5	11660	12347	11964	11974
139.5	11716	12371	11993	12006
140.5	11762	12395	12022	12038
141.5	11799	12426	12054	12069
142.5	11827	12452	12080	12096
143.5	11848	12471	12103	12119
144.5	11866	12495	12127	12141
145.5	11881	12523	12150	12163
146.5	11894	12556	12173	12186
147.5	11913	12585	12194	12208
148.5	11934	12605	12216	12229
149.5	11953	12628	12238	12251
150.5	11968	12655	12259	12273
151.5	11981	12687	12281	12295
152.5	11999	12715	12302	12316
153.5	12024	12733	12324	12338
154.5	12043	12754	12347	12360
155.5	12060	12777	12370	12382
156.5	12075	12805	12392	12404
157.5	12095	12829	12413	12426
158.5	12119	12849	12435	12447
159.5	12138	12867	12457	12469
160.5	12153	12888	12480	12490
161.5	12168	12915	12502	12512
162.5	12190	12938	12524	12533
163.5	12215	12955	12545	12555
164.5	12236	12975	12568	12577
165.5	12252	12997	12590	12598
166.5	12268	13020	12611	12620
167.5	12291	13044	12632	12641
168.5	12316	13061	12655	12663
169.5	12340	13079	12678	12685
170.5	12359	13102	12700	12707
171.5	12376	13125	12723	12729
172.5	12399	13146	12744	12751
173.5	12428	13163	12766	12773
174.5	12451	13180	12789	12795
175.5	12470	13201	12812	12817
176.5	12488	13223	12835	12839
177.5	12513	13243	12856	12861
178.5	12542	13260	12878	12883
179.5	12568	13278	12900	12905
180.5	12590	13298	12923	12926
181.5	12607	13320	12945	12948
182.5	12636	13339	12966	12970
183.5	12670	13355	12987	12992
184.5	12700	13374	13009	13015
185.5	12724	13392	13031	13037
186.5	12743	13416	13054	13059
187.5	12772	13436	13075	13081
188.5	12808	13451	13095	13103
189.5	12839	13468	13116	13124
190.5	12865	13485	13137	13146
191.5	12886	13504	13159	13167
192.5	12921	13523	13179	13189
193.5	12968	13539	13198	13211
194.5	13009	13554	13218	13233
195.5	13044	13571	13239	13254
196.5	13069	13592	13260	13276
197.5	13104	13616	13292	13308
198.5	13134	13650	13335	13349
199.5	13156	13704	13376	13390
200.5	13174	13780	13415	13431
201.5	13187	13872	13452	13473
202.5	13219	13940	13493	13516
203.5	13257	13979	13540	13560
204.5	13283	14025	13587	13605
205.5	13306	14085	13634	13649
206.5	13325	14156	13677	13694
207.5	13361	14211	13720	13738
208.5	13406	14243	13766	13783
209.5	13440	14282	13815	13827
210.5	13465	14331	13862	13871
211.5	13488	14391	13908	13915
212.5	13530	14438	13953	13960
213.5	13584	14469	13998	14005
214.5	13626	14505	14046	14050
215.5	13658	14548	14093	14095
216.5	13683	14602	14140	14140
217.5	13734	14649	14184	14184
218.5	13800	14673	14228	14229
219.5	13848	14703	14273	14274
220.5	13889	14741	14319	14318
221.5	13920	14788	14364	14363
