Depth [cm],Median Age [kyrs],Genus species,Mg/Ca  [mmol/mol],Sr/Ca [mmol/mol],Mn/Ca   [mmol/mol],Fe/Ca   [mmol/mol],Ba/Ca   [mmol/mol],Al/Ca   [mmol/mol],Duplicates
52.5,6.54136255,Melonis barleeanus,1.822,1.344,0.0231,0.1349,0.00302,0.125,
52.5,6.54136255,Melonis barleeanus,1.598,1.322,0.0182,0.8403,0.00447,0.541,Duplicate
67.5,7.51806845,Melonis barleeanus,1.549,1.316,0.0153,0.1973,0.00357,0.14,
72.5,7.998910525,Melonis barleeanus,1.596,1.329,0.0201,0.2117,0.00383,0.135,
87.5,9.481819045,Melonis barleeanus,1.558,1.322,0.0146,0.1845,0.00339,0.093,
92.5,9.950790025,Melonis barleeanus,1.606,1.323,0.0138,0.4305,0.00339,0.119,
97.5,10.43299198,Melonis barleeanus,1.79,1.324,0.0169,0.4599,0.00352,0.16,
117.5,11.31534045,Melonis barleeanus,2.315,1.41,0.0202,0.2922,0.00242,0.148,
127,11.6179291,Melonis barleeanus,2.799,1.387,0.0269,0.1152,0.00182,0.061,
137.5,11.93889498,Melonis barleeanus,2.826,1.411,0.0277,0.2563,0.00233,0.12,
142.5,12.08168279,Melonis barleeanus,2.522,1.417,0.0241,0.2271,0.00184,0.053,
147.5,12.19331048,Melonis barleeanus,2.582,1.405,0.0294,0.1388,0.00234,0.067,
152.5,12.29757714,Melonis barleeanus,2.49,1.377,0.0222,0.3425,0.00211,0.062,
157.5,12.4118779,Melonis barleeanus,2.674,1.398,0.0212,0.4788,0.00202,0.077,
162.5,12.5239988,Melonis barleeanus,2.793,1.408,0.0333,0.1728,0.00227,0.078,
167.5,12.63249195,Melonis barleeanus,2.714,1.42,0.0247,0.1645,0.00199,0.077,
177.5,12.8538965,Melonis barleeanus,2.659,1.375,0.0271,0.224,0.00234,0.11,
177.5,12.8538965,Melonis barleeanus,2.113,1.369,0.01,0.6918,0.00383,0.297,Duplicate
182.5,12.96264205,Melonis barleeanus,2.522,1.376,0.025,0.1252,0.00223,0.069,
192.5,13.17934299,Melonis barleeanus,2.469,1.379,0.0236,0.267,0.00229,0.081,
192.5,13.17934299,Melonis barleeanus,2.103,1.389,0.0188,3.3259,0.00331,0.129,Duplicate
257.5,15.56298236,Melonis barleeanus,2.287,1.381,0.0141,0.3949,0.00365,0.234,
317.5,16.59467468,Melonis barleeanus,2.77,1.452,0.035,0.4458,0.00296,0.187,
327.5,16.75010848,Melonis barleeanus,3.131,1.455,0.0325,0.3716,0.0027,0.12,
337.5,16.90340166,Melonis barleeanus,2.501,1.432,0.0324,0.2621,0.00309,0.109,
372.5,17.5175514,Melonis barleeanus,2.354,1.413,0.0265,0.2059,0.00285,0.063,
372.5,17.5175514,Melonis barleeanus,2.236,1.385,0.0244,1.7827,0.0031,0.172,Duplicate
377.5,17.64412078,Melonis barleeanus,2.682,1.442,0.0303,1.341,0.00293,0.124,
387.5,17.89990956,Melonis barleeanus,2.921,1.475,0.0525,0.2933,0.00238,0.191,
397.5,18.15655717,Melonis barleeanus,2.784,1.477,0.0378,0.2831,0.00278,0.08,
407.5,18.40916852,Melonis barleeanus,3.079,1.464,0.0346,0.4811,0.00206,0.069,
422.5,19.25804506,Melonis barleeanus,3.367,1.409,0.0279,0.1813,0.00268,0.178,
432.5,20.09625727,Melonis barleeanus,2.843,1.49,0.0218,0.1852,0.00243,0.062,
437.5,20.49509535,Melonis barleeanus,2.577,1.428,0.0194,0.2441,0.00222,0.061,
442.5,20.86513929,Melonis barleeanus,2.615,1.468,0.0202,0.1021,0.00224,0.057,
447.5,21.2462468,Melonis barleeanus,2.839,1.457,0.0233,0.1381,0.00203,0.08,
452.5,21.65652051,Melonis barleeanus,2.478,1.405,0.016,0.1946,0.0024,0.057,
457.5,22.09748164,Melonis barleeanus,1.819,1.396,0.0107,0.2446,0.00285,0.099,
462.5,22.51211749,Melonis barleeanus,1.899,1.409,0.0113,0.1214,0.00296,0.075,
467.5,22.92013153,Melonis barleeanus,2.337,1.402,0.0143,0.2645,0.00281,0.104,
