"Depth in core, composite depth [cm]",Age [kyrs BP (2000)],Genus species,Mg/Ca  [mmol/mol],Sr/Ca [mmol/mol],Mn/Ca   [mmol/mol],Fe/Ca   [mmol/mol],Ba/Ca   [mmol/mol],Al/Ca   [mmol/mol],Duplicates
2.5,0.186468,Uvigerina mediterranea,1.461,1.206,0.0063,0.0747,0.00233,0.061,
7.5,0.738682375,Uvigerina mediterranea,1.162,1.151,0.0043,0.3242,0.00203,0.013,
12.5,1.48585775,Uvigerina mediterranea,1.471,1.094,0.0054,0.0585,0.00214,0.028,
17.5,2.228257695,Uvigerina mediterranea,1.037,1.107,0.0045,0.0408,0.0021,0.015,
22.5,3.21444435,Uvigerina mediterranea,1.019,1.106,0.0092,0.0816,0.00278,0.019,
27.5,4.11404555,Uvigerina mediterranea,1.106,1.124,0.0077,0.1083,0.00199,0.019,
32.5,4.9595813,Uvigerina mediterranea,1.062,1.153,0.0081,0.0932,0.0022,0.053,
37.5,5.59274125,Uvigerina mediterranea,1.467,1.152,0.0118,0.0688,0.00232,0.01,
42.5,5.9056316,Uvigerina mediterranea,1.441,1.152,0.0109,0.0941,0.00235,0.048,
47.5,6.229430858,Uvigerina mediterranea,1.222,1.129,0.0083,0.0717,0.00222,0.011,
52.5,6.54136255,Uvigerina mediterranea,1.134,1.145,0.0076,0.0316,0.00219,0.014,
57.5,6.8330538,Uvigerina mediterranea,1.152,1.133,0.0059,0.0369,0.00222,0.052,
62.5,7.117725283,Uvigerina mediterranea,1.174,1.146,0.0051,0.0353,0.0022,0.017,
67.5,7.51806845,Uvigerina mediterranea,1.201,1.222,0.0074,0.0622,0.00242,0.069,
72.5,7.998910525,Uvigerina mediterranea,1.126,1.112,0.0056,0.0386,0.00222,0.013,
77.5,8.46700794,Uvigerina mediterranea,1.095,1.119,0.0053,0.0426,0.00232,0.019,
82.5,8.958132125,Uvigerina mediterranea,1.082,1.131,0.0049,0.0647,0.00217,0.02,
87.5,9.481819045,Uvigerina mediterranea,1.505,1.159,0.0066,0.0329,0.00271,0.126,
87.5,9.481819045,Uvigerina mediterranea,1,1.185,0.0044,0.0424,0.00214,0.032,Duplicate
92.5,9.950790025,Uvigerina mediterranea,1.223,1.166,0.0035,0.189,0.00257,0.054,
97.5,10.43299198,Uvigerina mediterranea,1.172,1.147,0.0051,0.0447,0.0024,0.018,
122.5,11.47061778,Uvigerina mediterranea,1.144,1.181,0.0106,0.0581,0.00248,0.035,
132.5,11.78749717,Uvigerina mediterranea,1.742,1.161,0.0997,0.4003,0.00347,0.141,
187.5,13.07288889,Uvigerina mediterranea,1.377,1.214,0.0111,0.0715,0.00253,0.019,
192.5,13.17934299,Uvigerina mediterranea,1.143,1.165,0.0027,0.168,0.00204,0.111,
202.5,13.5016945,Uvigerina mediterranea,1.178,1.17,0.0018,0.2774,0.00214,0.054,
207.5,13.7234414,Uvigerina mediterranea,1.613,1.163,0.0168,0.1802,0.00317,0.406,
212.5,13.9528699,Uvigerina mediterranea,1.446,1.176,0.0017,0.1569,0.00254,0.067,
222.5,14.40835756,Uvigerina mediterranea,1.293,1.186,0.0036,0.1201,0.00248,0.042,
227.5,14.62363698,Uvigerina mediterranea,1.258,1.196,0.0027,0.0473,0.00225,0.024,
227.5,14.62363698,Uvigerina mediterranea,1.297,1.152,0.0031,0.0436,0.00222,0.026,Duplicate
232.5,14.82619325,Uvigerina mediterranea,1.155,1.185,0.0032,0.0306,0.00225,0.022,
237.5,15.0279252,Uvigerina mediterranea,1.659,1.194,0.0119,0.0478,0.00277,0.019,
242.5,15.22799901,Uvigerina mediterranea,1.197,1.168,0.0024,0.0743,0.0021,0.034,
