Depth [cm],d18O [per mil PDB] - Cibicidoides spp.,d13C [per mil PDB] - Cibicidoides spp.,sp.,Source
12.5,2.15,0.43,C. pachyderma,This Study
17.5,2.15,0.44,C. pachyderma,This Study
18,2.05,0.5,C. pachyderma,Völpel
22.5,2.39,0.7,C. pachyderma,This Study
23,2.09,0.38,C. pachyderma,Völpel
27.5,2.16,0.58,C. pachyderma,This Study
28,2.05,0.54,C. pachyderma,Völpel
32.5,2.12,0.68,C. pachyderma,This Study
33,2.03,0.52,C. pachyderma,Völpel
37.5,1.82,0.58,C. pachyderma,This Study
38,2.1,0.6,C. pachyderma,Völpel
42.5,1.97,0.44,C. pachyderma,This Study
43,1.95,0.3,C. pachyderma,Völpel
47.5,2.01,0.35,C. pachyderma,This Study
48,2.05,0.6,C. pachyderma,Völpel
52.5,2.02,0.5,C. pachyderma,This Study
53,2.09,0.41,C. pachyderma,Völpel
57.5,2.09,0.5,C. pachyderma,This Study
58,2.09,0.59,C. pachyderma,Völpel
58,1.85,1.01,C. pachyderma,Völpel
62.5,1.98,0.46,C. pachyderma,This Study
63,2.12,0.24,C. pachyderma,Völpel
63,2.08,0.81,C. pachyderma,Völpel
67.5,2.25,-0.24,C. pachyderma,This Study
68,2.2,0.43,C. pachyderma,Völpel
68,1.93,0.74,C. pachyderma,Völpel
72.5,2.1,0.25,C. pachyderma,This Study
73,2.18,0.63,C. pachyderma,Völpel
77.5,2.18,0.33,C. pachyderma,This Study
82.5,2.21,0.34,C. pachyderma,This Study
83,2.24,0.52,C. pachyderma,Völpel
87.5,2.08,0.23,C. pachyderma,This Study
88,2.22,0.34,C. pachyderma,Völpel
92.5,2.12,0.17,C. pachyderma,This Study
93,2.21,0.64,C. pachyderma,Völpel
93,2.32,0.24,C. pachyderma,Völpel
97.5,2.47,0.89,"C. robertsonianus, C. pachyderma",This Study
102.5,2.34,0.4,C. pachyderma,This Study
103,2.04,0.3,C. pachyderma,Völpel
107.5,2.31,0.9,C. pachyderma,This Study
108,2.26,0.13,C. pachyderma,Völpel
108,2.1,0.51,C. pachyderma,Völpel
112.5,2.23,0.2,C. pachyderma,This Study
113,2.27,0.03,C. pachyderma,Völpel
113,2.11,0.3,C. pachyderma,Völpel
117.5,2.28,0.13,C. pachyderma,This Study
118,2.29,0.33,C. pachyderma,Völpel
122.5,2.83,-0.95,C. pachyderma,This Study
123,2.17,0.23,C. pachyderma,Völpel
127.5,2.34,0.26,C. pachyderma,This Study
128,2.25,0.26,C. pachyderma,Völpel
128,1.95,0.37,C. pachyderma,Völpel
132.5,2.51,-0.6,C. pachyderma,This Study
133,2.16,0.19,C. pachyderma,Völpel
133,2.13,0.46,C. pachyderma,Völpel
137.5,2.43,0.71,"C. robertsonianus, C. pachyderma",This Study
138,2.05,0.14,C. pachyderma,Völpel
138,2.18,0.33,C. pachyderma,Völpel
142.5,2.26,0.79,C. robertsonianus,This Study
143,2.21,0.23,C. pachyderma,Völpel
147.5,2.29,0.14,C. pachyderma,This Study
148,2.13,0.16,C. pachyderma,Völpel
152.5,2.85,0.08,C. robertsonianus,This Study
157.5,2.79,-0.18,C. robertsonianus,This Study
158,2.12,0.42,C. pachyderma,Völpel
162.5,2.93,0.14,C. robertsonianus,This Study
163,2.01,0.48,C. pachyderma,Völpel
172.5,2.9,-0.13,C. robertsonianus,This Study
177.5,3.14,0.17,C. robertsonianus,This Study
178,2.18,0.58,C. pachyderma,Völpel
178,2.99,0.76,C. pachyderma,Völpel
182.5,3.12,-0.88,C. robertsonianus,This Study
187.5,2.92,-0.08,C. robertsonianus,This Study
192.5,3.14,0.06,C. robertsonianus,This Study
197.5,3.28,0.19,C. robertsonianus,This Study
202.5,3.39,0.19,C. robertsonianus,This Study
207.5,3.51,-0.5,C. pachyderma,This Study
212.5,3.43,0.28,C. robertsonianus,This Study
217.5,3.57,0.29,C. robertsonianus,This Study
222.5,3.25,0.28,C. robertsonianus,This Study
227.5,3.3,0.05,C. robertsonianus,This Study
228,2.25,0.59,C. pachyderma,Völpel
232.5,3.41,-0.38,C. robertsonianus,This Study
233,2.85,0.04,C. pachyderma,Völpel
233,2.74,0.33,C. pachyderma,Völpel
237.5,3.13,-0.58,C. robertsonianus,This Study
242.5,3.08,-0.28,C. robertsonianus,This Study
247.5,2.69,0.16,C. robertsonianus,This Study
252.5,3.34,0.03,C. robertsonianus,This Study
253,3.13,0.3,C. pachyderma,Völpel
257.5,3.39,0.02,"C. robertsonianus, C. pachyderma",This Study
262.5,3.42,-0.48,C. robertsonianus,This Study
263,3.13,0.55,C. pachyderma,Völpel
267.5,3.38,-0.15,C. robertsonianus,This Study
