Depth [cm],BWT [deg-C]
2.5,6.754098361
7.5,3.486338798
12.5,6.863387978
17.5,2.120218579
22.5,1.923497268
27.5,2.87431694
32.5,2.393442623
37.5,6.819672131
42.5,6.535519126
47.5,4.142076503
52.5,3.180327869
57.5,3.37704918
62.5,3.617486339
67.5,3.912568306
72.5,3.092896175
77.5,2.754098361
82.5,2.612021858
87.5,7.234972678
87.5,1.715846995
92.5,4.153005464
97.5,3.595628415
122.5,3.289617486
132.5,9.825136612
187.5,5.836065574
192.5,3.278688525
202.5,3.661202186
207.5,8.415300546
212.5,6.590163934
222.5,4.918032787
227.5,4.535519126
227.5,4.961748634
232.5,3.409836066
237.5,8.918032787
242.5,3.868852459
247.5,4.655737705
252.5,4.786885246
257.5,7.147540984
262.5,2.644808743
267.5,3.825136612
287.5,3.74863388
297.5,9.355191257
302.5,3.595628415
307.5,3.617486339
312.5,4.469945355
317.5,3.071038251
322.5,4.196721311
322.5,3.989071038
327.5,4.863387978
332.5,3.770491803
337.5,3.540983607
342.5,3.245901639
347.5,3.038251366
352.5,5.595628415
357.5,2.961748634
357.5,6.907103825
362.5,3.453551913
367.5,3.672131148
372.5,6.153005464
377.5,4.644808743
382.5,5.37704918
387.5,4.699453552
392.5,5.049180328
397.5,6.043715847
402.5,2.677595628
407.5,5.508196721
412.5,3.93442623
417.5,4.459016393
422.5,2.68852459
427.5,5.901639344
432.5,4.021857923
437.5,10.06557377
447.5,5.300546448
452.5,5.628415301
457.5,2.557377049
462.5,3.322404372
472.5,3.038251366
477.5,4.163934426
482.5,4.612021858
487.5,5.355191257
492.5,5.508196721
497.5,4.928961749
522.5,2.907103825
527.5,5.617486339
532.5,4.131147541
537.5,4.710382514
542.5,3.344262295
547.5,5.224043716
