Age [ka],delta O-18,error [+],error [-]
0.5,0.00,0.00,0.00
2,0.00,0.00,0.00
3.5,0.01,0.01,0.01
5,0.02,0.01,0.01
6.5,0.04,0.02,0.02
8,0.08,0.05,0.05
9.5,0.21,0.11,0.11
11,0.38,0.11,0.11
12.5,0.57,0.16,0.11
14,0.75,0.11,0.14
15.5,0.89,0.11,0.19
17,0.97,0.11,0.16
18.5,1.02,0.17,0.11
20,1.04,0.13,0.11
21.5,1.02,0.11,0.12
23,1.00,0.13,0.11
24.5,0.96,0.21,0.11
26,0.90,0.22,0.11
27.5,0.84,0.11,0.11
29,0.75,0.11,0.23
30.5,0.69,0.11,0.22
32,0.67,0.11,0.14
33.5,0.67,0.11,0.11
35,0.68,0.11,0.12
36.5,0.66,0.11,0.11
38,0.57,0.19,0.11
39.5,0.53,0.20,0.11
41,0.57,0.11,0.12
42.5,0.62,0.11,0.18
44,0.64,0.11,0.19
45.5,0.62,0.11,0.14
47,0.62,0.16,0.11
48.5,0.63,0.18,0.11
50,0.61,0.12,0.11
51.5,0.58,0.11,0.12
53,0.49,0.15,0.11
54.5,0.44,0.20,0.11
56,0.47,0.20,0.11
57.5,0.51,0.16,0.11
59,0.48,0.17,0.11
60.5,0.41,0.25,0.11
62,0.46,0.20,0.11
63.5,0.63,0.11,0.19
65,0.72,0.11,0.30
66.5,0.71,0.11,0.32
68,0.66,0.11,0.26
69.5,0.65,0.11,0.23
71,0.62,0.11,0.22
72.5,0.57,0.11,0.22
74,0.38,0.11,0.11
75.5,0.34,0.11,0.16
77,0.31,0.11,0.22
78.5,0.22,0.11,0.17
80,0.17,0.11,0.13
81.5,0.16,0.11,0.14
83,0.19,0.11,0.14
84.5,0.27,0.11,0.18
86,0.35,0.11,0.21
87.5,0.41,0.11,0.23
89,0.41,0.11,0.20
90.5,0.40,0.11,0.18
92,0.36,0.11,0.16
93.5,0.29,0.11,0.13
95,0.23,0.13,0.11
96.5,0.23,0.12,0.11
98,0.24,0.11,0.12
99.5,0.20,0.12,0.11
101,0.18,0.16,0.11
102.5,0.18,0.15,0.11
104,0.24,0.11,0.11
105.5,0.27,0.12,0.11
107,0.32,0.11,0.14
108.5,0.38,0.11,0.18
110,0.38,0.11,0.15
111.5,0.35,0.12,0.12
113,0.23,0.20,0.11
114.5,0.14,0.20,0.11
116,0.10,0.17,0.11
117.5,0.05,0.15,0.11
