Age [yr BP],NGRIP Depth [m],NGRIP d18O [o/oo]
20,7.35,-35.16
40,14.15,-35.82
60,20.4,-35.11
80,26.1,-34.65
100,31.53,-34.53
120,36.83,-35.29
140,42.05,-35.02
160,46.95,-35.02
180,51.75,-35.78
200,56.33,-35.16
220,60.83,-35.61
240,65.13,-35.12
260,69.35,-35.79
280,73.6,-35.82
300,77.6,-35.36
320,81.75,-36.05
340,85.65,-35.39
360,89.55,-36.14
380,93.48,-35.33
400,97.43,-35.35
420,101.4,-35.72
440,105.28,-35.03
460,109.1,-35.61
480,112.88,-35.82
500,116.7,-34.93
520,120.43,-35.07
540,124.05,-35.87
560,128.18,-35.13
580,131.88,-34.98
600,135.73,-35.05
620,139.4,-35.53
640,143.18,-34.86
660,146.93,-35.25
680,150.7,-36.43
700,154.33,-35.07
720,157.73,-35.2
740,161.38,-35.49
760,165.13,-35.67
780,168.63,-35.4
800,172,-35.15
820,175.6,-35.8
840,179.23,-35.34
860,182.83,-35.62
880,186.55,-35.37
900,190.18,-35.59
920,193.98,-35.14
940,197.35,-35.45
960,200.75,-35.61
980,204.3,-35.92
1000,207.85,-34.96
1020,211.48,-35.24
1040,215.08,-35.02
1060,218.68,-35
1080,222.2,-34.98
1100,225.8,-35.41
1120,229.38,-35.73
1140,232.98,-35.35
1160,236.38,-35.75
1180,239.98,-35.45
1200,243.35,-35.34
1220,247,-35.38
1240,250.6,-35.27
1260,254.2,-35.15
1280,257.73,-35.33
1300,261.18,-35.33
1320,264.53,-35.27
1340,268.1,-35.14
1360,271.55,-34.69
1380,274.98,-35.44
1400,278.7,-35.26
1420,282.23,-35.14
1440,285.55,-35.28
1460,289.23,-34.43
1480,292.7,-35.78
1500,296.25,-35.33
1520,299.7,-35.83
1540,303.28,-35.39
1560,306.7,-35.35
1580,310.13,-35.74
1600,313.55,-34.46
1620,316.98,-34.64
1640,320.4,-35.27
1660,323.78,-35.86
1680,327.23,-35.49
1700,330.78,-35.27
1720,334.05,-35.8
1740,337.43,-34.93
1760,340.7,-35.55
1780,344.13,-35.9
1800,347.68,-35.44
1820,351,-35.47
1840,354.04,-35.37
1860,357.49,-35.04
1880,360.91,-35.39
1900,364.34,-34.49
1920,367.72,-35.07
1940,370.57,-34.43
1960,373.97,-34.71
1980,377.78,-35.1
2000,381.49,-35.32
2020,384.6,-35.11
2040,388.47,-34.79
2060,391.47,-35.35
2080,395.05,-34.95
2100,398.38,-34.89
2120,401.53,-35.07
2140,405.18,-35.46
2160,408.51,-35.18
2180,411.73,-36.07
2200,414.83,-35.76
2220,418.06,-35.2
2240,421.46,-35.26
2260,424.47,-34.84
2280,427.77,-34.57
2300,431.03,-34.81
2320,434.32,-35.11
2340,437.76,-34.94
2360,440.88,-35.09
2380,444.21,-35.26
2400,447.57,-35.08
2420,450.97,-34.68
2440,454.01,-34.86
2460,457.23,-35.32
2480,460.43,-35.88
2500,463.51,-35.48
2520,466.55,-35.71
2540,469.85,-34.83
2560,472.87,-35.24
2580,476.1,-34.84
2600,479.35,-35.43
2620,482.6,-35.06
2640,485.8,-35.41
2660,489.17,-35.14
2680,492.12,-35.14
2700,495.41,-35.43
2720,498.71,-35.32
2740,501.78,-35.12
2760,505.33,-35.1
2780,508.48,-34.83
2800,511.93,-34.91
2820,514.9,-34.99
2840,517.85,-34.92
2860,520.77,-34.63
2880,524.12,-35.49
2900,527.42,-35.2
2920,530.64,-34.98
2940,533.83,-34.81
2960,537.17,-34.38
2980,540.47,-34.81
3000,543.62,-34.85
3020,546.74,-34.79
3040,549.87,-35.45
3060,552.82,-35.14
3080,555.91,-34.94
3100,558.87,-35.14
3120,562.1,-34.97
3140,564.9,-34.87
3160,567.71,-35.04
3180,570.64,-35.26
3200,573.67,-34.54
3220,576.95,-35.25
3240,579.97,-35.28
3260,583.19,-34.76
3280,586.34,-35.54
3300,589.48,-35.25
3320,592.26,-35.24
3340,595.5,-34.89
3360,598.44,-34.29
3380,601.36,-34.98
3400,604.69,-35.42
3420,607.89,-34.66
3440,610.92,-34.8
3460,613.93,-34.67
3480,616.92,-35.19
3500,619.98,-35.28
3520,622.86,-34.75
3540,625.87,-35.1
3560,628.99,-35.42
3580,632.01,-34.77
3600,634.92,-34.63
3620,637.89,-35.09
3640,640.99,-35.18
3660,644.05,-34.93
3680,647.02,-34.28
3700,650,-34.71
3720,653.05,-34.68
