"depth_cm","Median Age","Q0.025","Q0.16","Q0.84","Q0.975"
2.5,186.468,-12.39184375,69.07349,295.05364,406.355625
3.5,294.07375,35.6307775,145.169532,486.27552,754.6532375
4.5,396.91875,65.964601875,200.074,697.12124,1145.10703
5.5,502.062175,91.37132575,245.795638,915.30122,1548.6110875
6.5,607.17124,110.526270125,288.20675,1137.573092,1951.21831
7.5,738.682375,191.48942525,384.529554,1313.23168,2208.8590175
8.5,898.977625,273.600802875,518.588784,1444.793904,2359.8805375
9.5,1057.244775,331.29160875,624.75949,1626.36405,2548.5013145
10.5,1208.3475,374.71949,724.214706,1855.284522,2813.2751575
11.5,1346.1885,409.685852,805.589412,2091.334462,3108.23597
12.5,1485.85775,511.49074375,929.01412,2265.4639012,3333.0437975
13.5,1640.19295,632.251925,1079.14324,2401.702416,3464.9533375
14.5,1793.753,712.9866465,1215.50176,2558.723544,3610.68812375
15.5,1937.49385,786.360965,1337.254526,2748.7471,3760.99035375
16.5,2074.6842,855.346703,1442.565526,2965.08208,3945.3741925
17.5,2228.257695,994.5211975,1608.550836,3151.170426,4074.31181125
18.5,2435.8931,1210.37378,1807.18616,3308.845356,4175.8615575
19.5,2644.1912,1389.80541625,1978.6851512,3480.457516,4263.9498875
20.5,2838.1337,1530.1394425,2124.8810728,3700.591776,4391.8214625
21.5,3032.47705,1643.967305,2251.113178,3932.807624,4583.31735
22.5,3214.44435,1807.215245,2429.341084,4106.250656,4762.94730375
23.5,3389.99942,2007.5939,2663.5025,4235.494528,4821.40919
24.5,3570.82905,2164.806015,2866.90992,4367.21334,4903.969405
25.5,3761.95635,2294.10808225,3044.611324,4510.150012,5000.3642925
26.5,3938.967825,2402.40931625,3194.7662808,4682.382544,5150.677143
27.5,4114.04555,2600.3096,3381.0991,4815.163248,5275.23602
28.5,4275.6139,2864.305565,3600.827956,4898.117388,5311.875407625
29.5,4450.45285,3130.1360125,3787.26331,4994.412136,5365.0824875
30.5,4637.36365,3324.14773625,3951.177076,5105.25674,5426.7781075
31.5,4812.568,3493.6670175,4110.315414,5240.6981024,5532.294627
32.5,4959.5813,3767.771535,4333.259112,5346.436624,5614.2675725
33.5,5091.77825,4144.2576565,4596.569388,5405.13416,5640.1528525
