"Depth [cm]","Median Age [kyrs]","BWT [deg C]","Q0.025","Q0.16","Q0.84","Q0.975"
52.5,6.54136255,7.22212247493896,4.93638738302578,6.04912803732258,8.39105462412833,9.65421156765878
67.5,7.51806845,6.45400434975069,4.09855053378436,5.2899895375931,7.60797699188409,8.73957706972158
72.5,7.998910525,6.42044534580439,4.13923112766754,5.26444501473206,7.58575407053108,8.68546969816915
87.5,9.481819045,6.44568527530382,4.16100816319076,5.28148940333244,7.57948786738869,8.78181988767622
92.5,9.950790025,6.71188777399295,4.26487557413344,5.48564133856654,7.92720859383965,9.15592188345855
97.5,10.432991975,7.32352884203897,4.82798730870991,6.08928425246776,8.57941444436226,9.77261294531865
117.5,11.3153404545,9.37427710845841,6.71639290323339,8.0101511377245,10.7383502341656,12.0277409377407
127,11.6179291,10.2161773108464,7.62980737026149,8.97758924862495,11.4583412235262,12.6299855262406
137.5,11.938894975,10.3654744723868,8.06217909770357,9.20014990519309,11.5364157481722,12.7331994959209
142.5,12.081682785,10.1118925437003,7.8216457511893,8.94947450881041,11.2795388101083,12.5289435402969
147.5,12.193310475,10.0189079922794,7.69227544426707,8.8693216345085,11.1765270322395,12.373017650465
152.5,12.297577135,10.0463099568208,7.73157288731889,8.89270459310363,11.2085520444684,12.3129217976599
157.5,12.4118779,10.1623766215891,7.88629928869377,9.00824656652845,11.2969460958679,12.4687514972015
162.5,12.5239988,10.2450082857316,7.93625799857476,9.12813541781548,11.3829801786036,12.55468415302
167.5,12.63249195,10.2716294331544,7.94529041070189,9.13446827705763,11.4198243207357,12.5088123750885
177.5,12.8538964975,10.082673418923,7.78744414291546,8.92474334227971,11.2565567427287,12.4489468828067
182.5,12.9626420525,9.93400817247153,7.67291208770701,8.74978392296767,11.0888596004529,12.2779806521894
192.5,13.1793429925,9.68102473640048,7.19573544197773,8.42876823433939,10.9216215885158,12.1457615381032
257.5,15.56298236,9.15812418097691,6.57414351884004,7.87072145085596,10.438412274942,11.7325922360603
317.5,16.594674675,10.5901641023413,8.08291225249321,9.33750616190649,11.8206802909993,13.1159431497003
327.5,16.750108475,10.6139194339839,7.96928128578507,9.33724161882054,11.8650929273936,13.0998210052357
337.5,16.903401655,10.1063982912755,7.52185862570334,8.81190611743952,11.4086239874528,12.693633052746
372.5,17.5175514,9.74719500992104,7.23717562331253,8.49747990899517,11.0007800296818,12.2199385157164
377.5,17.644120775,10.0948452281828,7.53954538032073,8.82422481593004,11.372926272582,12.6050156183552
387.5,17.8999095625,10.5966640767859,8.20337898319725,9.43956710334813,11.7708744981468,12.8807562971448
397.5,18.1565571675,10.7496451347803,8.4057387227576,9.59527979782182,11.897647719809,13.0510721368558
407.5,18.4091685175,11.1446651536646,8.74889826559135,9.91986897343007,12.3571215862611,13.5685495037908
422.5,19.2580450625,11.6497027865597,9.3558291402169,10.4906396612522,12.813512743293,14.0006322767012
432.5,20.096257265,10.6749779397746,8.22988789967978,9.45013274935823,11.8989045278998,13.0890503902033
437.5,20.4950953525,10.1892179480967,7.90912942805308,9.01923635584445,11.3265080724201,12.5452735186701
442.5,20.8651392935,10.1637323420818,7.86770755072075,9.00682843996796,11.347838575394,12.4885616258622
447.5,21.2462468,10.2008028926968,7.47883350471894,9.00121654380935,11.4041642275912,12.5865694219031
452.5,21.6565205075,9.30007376577333,6.10823470906928,7.70938611419963,10.8712650778894,12.2169341053447
457.5,22.097481635,8.28912121067745,5.62075570099439,6.8782643720803,9.7034795035203,11.3447590399542
462.5,22.51211749,8.08646467119315,5.62632117494146,6.82595444390905,9.32530950577228,10.6660279862488
467.5,22.9201315325,8.42916307976297,5.83608051552709,7.11351692823708,9.71390076459294,11.0011416676404
