"Depth [cm]","Median Age [kyrs]","BWT [deg C]","Q0.025","Q0.16","Q0.84","Q0.975"
2.5,0.186468,5.93435668051713,3.4986994212189,4.98459549635761,6.90468752274999,7.67219745639051
7.5,0.738682375,4.78805496554488,2.76328299218422,3.72172677167208,5.87019550813348,6.94719571557469
12.5,1.48585775,4.73059099945024,1.58611309072091,3.02489984191505,6.24399609499935,7.29874336798091
17.5,2.228257695,3.32766995556183,1.10873604894044,1.7938446200014,5.34975911138372,6.84544379225398
22.5,3.21444435,2.54130210870283,1.05887091201905,1.67057566795863,3.16861073039952,6.24437611010072
27.5,4.11404555,2.56000736140875,1.2277878677576,1.89202984333188,3.21543486223601,4.01263198923376
32.5,4.9595813,3.31929056401139,1.52806653280403,2.2195877998296,4.63829501143841,5.68470610158855
37.5,5.59274125,6.24303559845531,2.8460985542897,5.44948752574155,7.16410681293102,7.83519790563887
42.5,5.9056316,5.94231983036814,3.28459769194161,4.79139881748477,6.97269125583992,7.57497979113286
47.5,6.2294308575,4.55889064399061,2.51241006759754,3.29117328903694,6.02937341872521,7.1696919220181
52.5,6.54136255,3.6454520585379,2.25514864219646,2.88471061594941,4.37070123191679,5.83367035767443
57.5,6.8330538,3.42796427586847,2.27731110552315,2.84509714600507,3.99835354455713,4.66497833705516
62.5,7.1177252825,3.61302717415103,2.41192326647986,3.01165429206554,4.21531728269052,4.82760298220856
67.5,7.51806845,3.64482772036561,2.3618370267319,3.03553831854636,4.25599258124167,4.84146876837153
72.5,7.998910525,3.21666115500437,1.9007020077133,2.52107634277678,3.90942156895777,4.55649992194652
77.5,8.46700794,3.00373504302102,1.68869499736285,2.32440027400201,3.68688103735276,4.48308371033082
82.5,8.958132125,3.24321596419435,1.73892054158419,2.39144890569775,4.16639964511749,4.89969087981143
87.5,9.481819045,3.78147136976467,2.0301875660011,2.94146126903291,4.56470788997596,5.11594651725482
87.5,9.481819045,3.78147136976467,2.0301875660011,2.94146126903291,4.56470788997596,5.11594651725482
92.5,9.950790025,3.95059483613908,2.53830692216189,3.32630583024158,4.57911350767295,5.13431915695787
97.5,10.432991975,3.71328620478497,2.47204511057657,3.08062945812099,4.35270832149847,4.9838905605797
122.5,11.470617775,4.83457472437556,2.2865828042542,3.00836675785205,7.30302323741807,9.92184195816657
132.5,11.7874971675,8.03018185625885,2.89269922432272,5.59543279178032,9.82568826388816,10.6204952611479
187.5,13.072888885,5.15992068266101,2.60065991451493,3.53660312544973,6.58288353449058,7.4342632250457
192.5,13.1793429925,4.32979202781675,2.41314508341754,3.06839361900654,5.98417251470351,7.12948227907205
202.5,13.5016945,4.90768637734329,2.60711394052105,3.25016300619782,7.17255129746158,8.58039996020195
207.5,13.7234414,6.3709676479694,2.99908458968332,4.39822336014168,7.92374633604418,8.88598671586115
212.5,13.9528699,6.54261509407429,4.1165445939161,5.50917433086879,7.71394597422236,8.68179306931877
222.5,14.4083575625,5.15309456408848,3.75708597877856,4.40974210408866,5.90445456630219,6.98256804999671
227.5,14.6236369775,4.77340725549016,3.14283743885096,3.96106030216934,5.46717295871274,7.53135552472786
227.5,14.6236369775,4.77340725549016,3.14283743885096,3.96106030216934,5.46717295871274,7.53135552472786
232.5,14.82619325,5.21928236249195,2.90406364820877,3.75571892464552,7.22232605691295,8.85583295478472
237.5,15.0279252025,5.84867396665148,3.00192752418537,3.9178298476222,7.8496957856537,9.12573367526899
242.5,15.2279990125,5.17339734554932,3.13365185612438,3.85054307217161,6.89513115184755,8.74995130226368
247.5,15.401478085,4.93838585338996,3.03920403407395,3.92574241218858,5.97831897313766,7.7913537381055
252.5,15.48291664925,4.9477771644743,2.61008204416871,3.81340318753768,6.18422713810386,7.52594608445228
257.5,15.56298236,4.71477442973343,2.32140236100748,3.31741187595636,6.19604243001454,7.47260782156273
262.5,15.6412588375,4.35062279789927,2.28720010304501,3.10796190935377,5.78101027100376,7.31901862380104
267.5,15.717691545,4.0583067365359,2.34457272026897,3.10942360216775,4.96035789233298,6.90925562608977
287.5,16.08383297,5.03013223516607,2.71499659390994,3.43662794414273,7.13231530255991,9.12306435095585
297.5,16.26950795,5.807669100733,2.82399257106938,3.6102165936019,8.20440374772229,9.51845827297972
302.5,16.3610160825,5.08153346047278,2.68198767749989,3.38852235813798,7.58192596166033,9.34047469835985
307.5,16.44063449,4.48124934629189,2.60965751697504,3.28342583694382,5.72544573658961,8.84840887808006
312.5,16.519397921,4.20511510617719,2.54447846816487,3.24454361992784,4.87307840489127,8.29033385745048
317.5,16.594674675,4.07937521778697,2.5343038737992,3.26125585680795,4.74400973484999,6.99954229526465
322.5,16.67228272,4.05858337885954,2.6047155178071,3.29366580513709,4.74397193348275,5.80249564527187
322.5,16.67228272,4.05858337885954,2.6047155178071,3.29366580513709,4.74397193348275,5.80249564527187
327.5,16.750108475,4.01448819539135,2.53900912752583,3.24073948892666,4.73067840048134,5.60133282308084
332.5,16.826716232,3.87382611848804,2.43644273680133,3.09999743676692,4.61395880782451,5.42340857226334
337.5,16.903401655,3.72895286603893,2.30039985921774,2.9577986841774,4.47607262230425,5.47462450355786
342.5,16.9786533475,3.76157570285375,2.24769895531891,2.91767124426302,4.65193178705495,5.75056120674675
347.5,17.053791252,4.02235244635185,2.28895395693814,3.00273045802523,5.13258600426363,6.06446496429377
352.5,17.126023075,4.2661958106775,2.42781160126003,3.20214152541919,5.31368529461028,6.09947950284655
357.5,17.19859838925,4.2852390397996,2.53412956390666,3.2940941102982,5.27916938093829,6.07987259584712
357.5,17.19859838925,4.2852390397996,2.53412956390666,3.2940941102982,5.27916938093829,6.07987259584712
362.5,17.27641102,4.20377120994333,2.55248511392145,3.26070441624407,5.18616363571716,6.13281684270994
367.5,17.39116149,4.42558453738591,2.6489193598131,3.37403306126756,5.5050443615045,6.47523619934521
372.5,17.5175514,4.87351254186079,2.94778403519006,3.84069613202163,5.80723569727709,6.62724018044123
377.5,17.644120775,5.03619820995667,3.3085604181314,4.30109083036873,5.7759841626576,6.50522638605858
382.5,17.7696544425,5.05677991493214,3.5731438250058,4.38866343668433,5.73572223680786,6.42176094176573
387.5,17.8999095625,5.04229722002175,3.51804680932815,4.38834265555085,5.73296728815235,6.41874681650363
392.5,18.0280887925,4.96625240007441,2.86750534828431,4.20048153025143,5.77555410817487,6.52460403034353
397.5,18.1565571675,4.78868926775179,2.49177538210011,3.73725778053032,5.77652845994338,6.55322652751803
402.5,18.28555662,4.57597343517587,2.43641137063684,3.49021661893739,5.61223566167507,6.4476108819001
407.5,18.4091685175,4.47421210794146,2.53544963075071,3.52830817483627,5.40219235370577,6.28468936410317
412.5,18.5564772375,4.31621125410677,2.83661518520912,3.57937823104892,5.05549771624776,5.9012513745942
417.5,18.86748833,4.02174563207736,2.4420522589219,3.30759832523175,4.72559781427752,5.43921834518441
422.5,19.2580450625,4.00217771335904,2.14937626878714,3.00232962443421,5.08946074320389,6.15349664020229
427.5,19.6720751175,4.78213287349194,2.35904020541867,3.51836602177429,5.85388098026792,7.72475816405184
432.5,20.096257265,6.04909458259892,3.24840479154537,4.30706974209229,8.54205549609553,10.2129411251469
437.5,20.4950953525,7.95846577415619,3.86759154940695,5.71967076838253,9.64554096470324,10.5765660037058
447.5,21.2462468,5.88250468089213,3.70661823842301,4.92105912877678,6.9981803136437,8.24580560400162
452.5,21.6565205075,4.75978256502847,2.20147984768115,3.30615761538022,5.90866823840027,6.75773346380703
457.5,22.097481635,3.69009239964514,1.87772232021122,2.61029652434008,5.03558583526053,6.1762659364595
462.5,22.51211749,3.24496165641634,1.96784099365651,2.57730590525854,3.85626456015883,5.05583455361202
472.5,23.259780245,3.38525307417202,2.03337141239068,2.66270159878968,4.08971987262485,4.98012699452483
477.5,23.5108324725,4.05712341468847,2.43331646235321,3.20516383314298,4.90947874051022,5.71394737709626
482.5,23.7721564625,4.65162001173964,3.05532066872932,3.8489558863554,5.45692562758428,6.19089360036298
487.5,24.030324815,4.98800705815927,3.49978619453171,4.25664869468605,5.70856280906234,6.3114084993318
492.5,24.27838778,5.05425521852969,3.62372618234724,4.3537104571234,5.74355935604635,6.34990065050751
497.5,24.540791225,4.87117900010936,3.41733001064553,4.10745235479018,5.63746465148421,6.26049711671426
522.5,25.8443192325,3.92185951302386,2.17230634464969,2.93104555585078,4.96387013408614,5.9624880696814
527.5,26.10070556,4.23077149720661,2.28766970867422,3.19682025124402,5.20546617030673,6.04094081480593
532.5,26.352995525,4.38335578617251,2.56765032268243,3.59691900916708,5.17062360086634,5.99764917448831
537.5,26.6064217775,4.27054864665214,2.75028906926957,3.55769082466552,4.99882474012269,5.76221218578222
542.5,26.85394912,4.1341536544174,2.63171382701928,3.40856240037048,4.8529707137089,5.61898165236732
547.5,27.0849382102,4.18188906375433,2.65416433518904,3.43045373366997,4.93234616448843,5.75453561535494
