"Depth [cm]","Median Age [kyrs]","Mean d13C [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
12.5,1.48585775,0.45560453744302,0.386224670450611,0.413490691298425,0.493493180161462,0.614340112066128
17.5,2.228257695,0.499238095910454,0.388913956874969,0.422202451789663,0.591809292621419,0.678212180945798
18,2.3299408,0.506265399027918,0.387065996552237,0.423695288423045,0.600910675477839,0.682955316407192
22.5,3.21444435,0.530323688197727,0.380566443025682,0.429575146719086,0.634392778502226,0.699097849774878
23,3.29908915,0.531311344110399,0.379386866487681,0.430247177938821,0.63289240372631,0.698314429257189
27.5,4.11404555,0.560208442057146,0.404658488185731,0.482787267856634,0.638410118231272,0.694223434528316
28,4.1929671,0.562827721517056,0.407339988553898,0.490634382861107,0.638521736401301,0.696361157270501
32.5,4.9595813,0.57802423698233,0.481720629666259,0.523872526102598,0.64556551345048,0.69381345795882
33,5.0259775,0.577002054444274,0.485452743451373,0.525622682500181,0.643393489014381,0.693588537907473
37.5,5.59274125,0.560742663559791,0.349652417410553,0.528106965086493,0.603913133761155,0.644559751552849
38,5.62737065,0.552113640240802,0.320247248180217,0.512943911173536,0.603052418262331,0.640610062783257
42.5,5.9056316,0.440868559562531,0.278423626265826,0.314594055981464,0.552085864501059,0.606352014713874
43,5.93907785,0.434738096580472,0.278173148847509,0.313115150915944,0.548055363452567,0.605646271645648
47.5,6.2294308575,0.442427033573096,0.286725040320134,0.322208736266973,0.561053152024655,0.61284133719427
48,6.25994165,0.447581822945955,0.288189899859552,0.324880431193806,0.563313536328202,0.615076056376993
52.5,6.54136255,0.494235435366292,0.312139327741302,0.397446471103741,0.575744531518817,0.770325290073684
53,6.568725095,0.500686158270766,0.315351162841178,0.407302926078443,0.58224982420893,0.776668235602324
57.5,6.8330538,0.570360739842606,0.387708883683461,0.451501611967008,0.718189905025278,0.790325428111118
58,6.85672785,0.573241196304352,0.393128431453033,0.455391893149595,0.716506732484328,0.788347246326021
58,6.85672785,0.573241196304352,0.393128431453033,0.455391893149595,0.716506732484328,0.788347246326021
