"Depth [cm]","Median Age [kyrs]","Mean d18O [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
12.5,1.48585775,2.14794099658468,2.02616685490901,2.09229783743248,2.20305637333724,2.27204799667122
17.5,2.228257695,2.15755704838162,2.0112453946679,2.08097172061438,2.23091222348769,2.3624385748497
18,2.3299408,2.1612340901894,2.01062251894372,2.080420071185,2.23846518316299,2.3777746220748
22.5,3.21444435,2.16853905876034,2.01008387897405,2.07570314446663,2.2776621006719,2.4007505670291
23,3.29908915,2.16446599228723,2.01017607870963,2.07248292364204,2.27260289950539,2.39679732959678
27.5,4.11404555,2.12492263304051,1.97052356439231,2.04287177573929,2.20127987269369,2.36960372557956
28,4.1929671,2.12008710853622,1.96256242173455,2.03750410833582,2.19468277559968,2.37068242206513
32.5,4.9595813,2.03894606824051,1.85863956292712,1.93096076086246,2.13393952242907,2.2076739149418
33,5.0259775,2.02723745657594,1.84843929001649,1.91738585235821,2.12779028125295,2.20599577312465
37.5,5.59274125,1.95368998344669,1.75662496522198,1.82862878454325,2.08140164690771,2.16063569067977
38,5.62737065,1.97395785199077,1.76262512317112,1.84404343429271,2.09171812753989,2.16373015398296
42.5,5.9056316,2.00291281608041,1.87108885708242,1.94141003188916,2.06705514492329,2.12435886647195
43,5.93907785,2.00164658614238,1.875867230284,1.94203943923546,2.0644927458588,2.12212336776866
47.5,6.2294308575,2.01636590615141,1.89820532399563,1.95484647905271,2.077649633508,2.14084034379899
48,6.25994165,2.01940207267535,1.89908391305177,1.95753826297101,2.08109786856744,2.14349961682343
52.5,6.54136255,2.04310982666515,1.92333253228353,1.97712566049523,2.10763355565236,2.16599097943658
53,6.568725095,2.04394084609803,1.92450851348143,1.97713865213502,2.10831622965371,2.16638040580042
57.5,6.8330538,2.02550581082,1.91022030029498,1.95487070623443,2.10176004392075,2.16104914281207
58,6.85672785,2.0226783169026,1.90930534517064,1.95277805608421,2.09961776220599,2.16193799297966
58,6.85672785,2.0226783169026,1.90930534517064,1.95277805608421,2.09961776220599,2.16193799297966
62.5,7.1177252825,2.04851753911115,1.90231807110939,1.95724916326591,2.14384989721857,2.2235091838042
63,7.1633473,2.07206432782926,1.91235793509678,1.97271757114747,2.16255372325572,2.23873757576221
63,7.1633473,2.07206432782926,1.91235793509678,1.97271757114747,2.16255372325572,2.23873757576221
67.5,7.51806845,2.1410396554717,2.01455671930587,2.06832304877645,2.21332101828878,2.28167139801109
68,7.570944875,2.14096884470507,2.01430582320066,2.06607808753483,2.21576139569164,2.28443291103487
68,7.570944875,2.14096884470507,2.01430582320066,2.06607808753483,2.21576139569164,2.28443291103487
72.5,7.998910525,2.14858104511921,2.01999898587774,2.07315615523536,2.22205607404935,2.28321948907613
73,8.047068575,2.15106565840266,2.02270914359053,2.07624771621621,2.222221902825,2.28038700108904
77.5,8.46700794,2.17343771444335,2.04275962574836,2.10982352770205,2.23425448155028,2.28881056839059
82.5,8.958132125,2.18218571602814,2.05164468398871,2.12172356354557,2.24205643593359,2.30394006343219
83,9.009250945,2.18230139704707,2.05169085502435,2.12179095798063,2.24256465333977,2.30637893234469
87.5,9.481819045,2.19280378115785,2.04869718622956,2.11441880224596,2.26700507952138,2.41553800017872
88,9.5242421,2.19640355572606,2.04599645464841,2.1157694239947,2.27529057769456,2.42735103909442
92.5,9.950790025,2.2604390491243,2.05391448117665,2.12853930328528,2.40783870762601,2.50332368932252
93,9.994845325,2.26979924480738,2.0555860819027,2.13322031789036,2.41840591491065,2.50428379200204
93,9.994845325,2.26979924480738,2.0555860819027,2.13322031789036,2.41840591491065,2.50428379200204
97.5,10.432991975,2.37034137374061,2.1038514626457,2.28466126034786,2.45952624584142,2.52058557892858
102.5,10.825135825,2.27508479166965,2.02480559180089,2.13196273197492,2.4105453079194,2.48517592233282
103,10.843051125,2.26630668570016,2.02445119664313,2.12887040187106,2.40353872872729,2.48190692802938
107.5,10.99384435,2.23436720250166,2.04364725400086,2.14552217407763,2.33156797236523,2.4772208826928
108,11.01023235,2.23478979855024,2.05027100721516,2.14690689693977,2.32648192649781,2.48718012317549
108,11.01023235,2.23478979855024,2.05027100721516,2.14690689693977,2.32648192649781,2.48718012317549
112.5,11.1535463975,2.26517725805186,2.09892514925948,2.17137377908169,2.34716979105237,2.69063728527606
113,11.168606175,2.26905353480428,2.10343728231696,2.17338637852787,2.35433964479641,2.70274216490188
