"Depth [cm]","Median Age [kyrs]","Mean d18O [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
532.5,26.352995525,3.50201554330479,3.36773332354118,3.43961014262483,3.56641452212005,3.62637087522583
537.5,26.6064217775,3.46090463615283,3.31173767502094,3.38082168796883,3.53783776302174,3.6022192300301
542.5,26.85394912,3.41779015231719,3.29104727785191,3.34786209979432,3.49205285726464,3.57165873097281
547.5,27.0849382102,3.39019154973758,3.283445413469,3.33447338888777,3.4454388052021,3.52094392846923
22.5,3.21444435,2.70126033559061,2.53412264785354,2.64164465649894,2.76294849228705,2.81041220276581
27.5,4.11404555,2.62836726138611,2.39844974186312,2.49952161096938,2.73593525313537,2.79625388200313
32.5,4.9595813,2.52634055224759,2.3825221550564,2.44430439534398,2.61429583067549,2.75454554480469
37.5,5.59274125,2.58119171269724,2.43701708316773,2.50078401560055,2.66169347417889,2.76418536556091
42.5,5.9056316,2.67699225278354,2.50954213074718,2.59664310452087,2.75719101131171,2.8269214473009
47.5,6.2294308575,2.64302467843444,2.49421378869545,2.5634894567933,2.72338799263863,2.80774723324227
52.5,6.54136255,2.63352103336454,2.50699611286007,2.57073132977201,2.69475724190516,2.76354357131693
57.5,6.8330538,2.63564017143717,2.52513400518128,2.58218357180512,2.6890292953704,2.74370079355187
62.5,7.1177252825,2.67623302474054,2.55646785074237,2.61580966680183,2.73689981053495,2.79883948321966
227.5,14.6236369775,3.2092054529253,2.98538333225301,3.05263539660745,3.41857314261619,3.58407793373576
232.5,14.82619325,3.33810888768466,3.02894547091398,3.13470815678323,3.51900784478256,3.70786467423821
237.5,15.0279252025,3.45916588772258,3.07634179023929,3.20169711271129,3.78998077672091,3.97365512396251
242.5,15.2279990125,3.71400041061352,3.11734074959868,3.34878670416433,3.95465744440949,4.01805602701867
347.5,17.053791252,3.99972779958134,3.88770051788188,3.94387064473437,4.05487999002547,4.1125122772843
352.5,17.126023075,3.98550708868127,3.85947494444308,3.92772448673702,4.04383497059681,4.09947459002626
357.5,17.19859838925,3.9653633244287,3.82178163707926,3.89841816143135,4.0282650632735,4.08717333684592
362.5,17.27641102,3.93616423441999,3.78737706391436,3.86054388847856,4.00930784575545,4.06986841502071
367.5,17.39116149,3.89612201503842,3.76323380823879,3.82320940459194,3.96935423103484,4.04264086316546
372.5,17.5175514,3.8818386878008,3.75139730297307,3.8122310045993,3.95017560656425,4.01946282674998
377.5,17.644120775,3.88793175632761,3.75338447646682,3.82226966219113,3.95301974409305,4.01617710823435
382.5,17.7696544425,3.88712698407777,3.73727072641622,3.81974934153035,3.95243807798629,4.0085370256189
387.5,17.8999095625,3.86674246757341,3.70426262679396,3.78417272662876,3.94317034978713,4.0025188454654
392.5,18.0280887925,3.83397760033852,3.68511371247795,3.75125407999631,3.91787361590931,3.98800143909477
