"Median Age [kyrs]","Depth (cm)","Ti/Ca","Fe/Ca","Fe/K","Mn","Total Counts"
0.5537775,6,0.108276734,2.59650924,28.36669543,47.3,4904.5
0.81687785,8,0.090718152,2.691655223,29.6969697,41.2,4911.1
1.1361116,10,0.086567595,2.537873323,30.53819444,46.3,5274.2
1.41136735,12,0.119033975,2.786410151,33.14118793,39.9,4994.2
1.7212801,14,0.112789527,2.829137294,30.84354986,37.7,4921.9
2.00814995,16,0.116795817,2.854915507,34.05233853,34.9,4471.2
2.3299408,18,0.101216594,3.376545672,39.64871194,35.6,4690.4
2.7416486,20,0.122254974,2.792557111,32.95217391,48.8,5563.1
3.1296861,22,0.0951417,2.906966937,34.88360324,37.2,4958.5
3.48123415,24,0.105339762,3.325479851,38.72563559,40.9,5091
3.850495,26,0.123753033,3.149995506,37.36673774,40.9,4967.3
4.1929671,28,0.132301131,3.221490821,37.36236559,42.1,4914.8
4.543505,30,0.121729651,3.091388081,39.02522936,40.4,4839.6
4.893014,32,0.082700576,2.987283872,38.41647059,32.2,4645.9
5.15884805,34,0.085575758,2.660363636,35.43810549,40.5,4854.2
5.4170255,36,0.088678242,2.881378455,40.4539801,33.2,4678.2
5.62737065,38,0.08151109,2.577317972,40.00486618,38.8,4877.2
5.75869505,40,0.070926569,2.665239519,43.81540505,39.7,4834.5
5.874974,42,0.082827301,2.597198607,39.0243309,36.4,4750.7
6.010536225,44,0.090866698,2.346545866,36.46376812,26.3,5375.4
6.1381732,46,0.095103275,2.261823563,31.32887701,57,5469.2
6.25994165,48,0.074748011,1.736923077,30.34383689,37.4,5523.6
6.39132355,50,0.07686166,1.829509767,32.27323944,40.8,5680.7
6.51433348,52,0.06886608,1.376930596,24.90893015,33.4,5237.4
6.626982725,54,0.049580439,1.129342236,23.70549242,27,5057.9
6.75058365,56,0.061672819,1.137976051,22.00087032,30.8,5118.4
6.85672785,58,0.064060462,1.221782356,23.80280456,26.3,5315.9
6.9584398,60,0.06288005,1.28913112,24.25423729,30,5456
7.06919425,62,0.060941828,1.128215275,22.84861977,30.8,5208.7
7.24546405,64,0.055410306,1.102091591,22.78552746,31.4,5349.8
7.397185475,66,0.0606382,1.18449691,22.51270815,25,5081.3
7.570944875,68,0.067894713,1.08636134,18.46135831,33.9,4954.5
7.77153285,70,0.073952715,1.230377577,19.87540717,32.5,4810.9
7.95349745,72,0.074163255,1.253647965,21.54966887,30.1,5070.5
8.1433106,74,0.080750911,1.279686187,19.99649737,31.9,4431.4
8.3306138,76,0.078526719,1.279188868,18.70499244,35.2,4805.9
8.514787075,78,0.087612129,1.346155963,18.26811053,35.9,4651.6
8.71093732,80,0.081758559,1.346098266,19.48431215,34.7,4607.6
8.909322825,82,0.062300671,1.34774002,21.53778559,37.4,4596.1
9.11527325,84,0.091710649,1.408444582,18.21927711,34.8,4263.4
9.33781215,86,0.078662734,1.502327106,19.63838903,21,4139.6
9.5242421,88,0.100006274,1.414643328,17.78233438,33.3,4248.9
9.71056825,90,0.096311608,1.470512241,20.52750225,34.1,4190.4
9.90709955,92,0.093627385,1.415370045,17.07918367,32,3925.4
10.0873999825,94,0.095333703,1.617280532,18.88439774,29.8,4135.8
10.29125095,96,0.104073334,1.580122682,17.96708464,22.4,4126.1
10.4725150525,98,0.091988526,1.548462411,18.65996785,37.6,4188.7
10.63045155,100,0.102291901,1.585770529,18.51888342,14.2,4031.2
10.8070711,102,0.112810429,1.771538854,18.66845741,32.8,4195.4
10.87938115,104,0.087109054,1.763006643,19.96534235,35.8,4037.8
10.94601725,106,0.106977875,2.146689359,20.75862069,34.2,4238.6
11.01023235,108,0.127831841,2.029427793,19.25258493,38.2,4307.3
11.07672475,110,0.101276662,2.094737662,22.29411765,29.8,4323.3
11.137161675,112,0.100301075,2.128258065,21.31007752,34.3,3967.1
11.201357725,114,0.131506621,2.116098942,19.78816199,33.1,4146.5
11.26801445,116,0.117392981,1.936752796,18.8372093,20.5,4192.4
11.33074565,118,0.127415949,2.109468897,18.75523466,39.1,4234.4
11.3931687,120,0.135132944,2.129458495,18.72344975,34,4271.8
11.45454875,122,0.106760453,1.994998046,20.37190742,36,4211.4
11.51821355,124,0.119827645,1.876479037,20.33802817,36.1,4612.3
11.58481015,126,0.125563375,1.971613821,18.08194344,30.2,4154
11.64669075,128,0.11507192,2.080764764,19.09016393,26.1,3799.1
11.709991375,130,0.116841743,1.893146203,17.38102767,13.9,3716
