"Depth [cm]","Median Age [kyrs]","Mean d13C [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
2.5,0.4440572,0.713454295980168,0.620696402471314,0.643439081783648,0.782340180152347,1.00805823799608
3,0.4798105,0.717946059734913,0.622189347868938,0.646830293283657,0.787161983267677,0.991760865951389
5,0.632391855,0.751190327265656,0.630027969698614,0.669866440072945,0.830103548530599,0.979723081164095
8,1.04861995,0.932257854030078,0.792100832192147,0.862870541684358,0.979879686469158,0.991856929182837
13,2.50710575,0.980310178274679,0.87384329176705,0.952105170890648,1.02483726170252,1.10096308628637
17.5,4.29186305,0.980983268583206,0.721037276743135,0.862289770457906,1.08353128479957,1.11885552859475
18,4.5055435,0.977016501406501,0.720056864401046,0.845732224225114,1.08646332438034,1.11983860605733
20,5.4085133,0.947162468277688,0.711300399123162,0.788249862072949,1.0876999680874,1.12213842273775
22.5,6.4775375,0.909293721448667,0.710820990123935,0.775774244991413,1.04838134859014,1.11655072751797
23,6.66429695,0.90315756874556,0.711485485462475,0.777856174220983,1.01216626499292,1.11335410804162
25,7.411048,0.903622033629438,0.720573268939246,0.807131510930137,0.956779705306483,1.02245676550642
27.5,8.237609875,0.878223788543609,0.592344416776921,0.80815250194514,0.9389470893656,0.950841750510138
28,8.304567,0.831739052356478,0.585213420910149,0.670462605316616,0.931572242665294,0.946195378670605
30,8.5619342,0.659764443615014,0.417447894120845,0.588234846487292,0.787983392736473,0.88032230954285
33,8.955269,0.563994609645711,0.344377257857914,0.459118660259789,0.620343033370584,0.764835025163402
35,9.27004075,0.553639101922654,0.33691471525491,0.424968827118731,0.639786349251581,0.817480446105906
35,9.27004075,0.553639101922654,0.33691471525491,0.424968827118731,0.639786349251581,0.817480446105906
37.5,9.6163495,0.590747292855702,0.339976992037131,0.458522326116171,0.766314522200375,0.854607801661398
38,9.68389625,0.603010203305314,0.343283254295623,0.468250156025348,0.790775037141733,0.859575932490189
40,9.9749905,0.668412596590735,0.377384137236691,0.513776982297319,0.82704904983821,0.870665120414071
42.5,10.327745,0.759488025781125,0.485779031184569,0.620061628213725,0.848895286464915,0.875097629965587
43,10.3846425,0.771913518044497,0.497395641539468,0.656905398383606,0.850026358144917,0.875642925589966
45,10.6116915,0.796164638998064,0.575556658059849,0.749689594189808,0.849261864775751,0.874118729411321
48,10.958148775,0.674376403043882,0.477244049590806,0.56119595027211,0.764264387089702,0.845132722250305
50,11.1408352,0.589155376352755,0.419336351083848,0.539116298221001,0.669957025688812,0.747465839307314
52.5,11.35272925,0.541242094477083,0.368509395451544,0.459164028519596,0.60994453043111,0.648752775286756
53,11.40382175,0.534546328300483,0.355251365284781,0.448078331362491,0.607883384446711,0.637585100297036
55,11.6077546,0.508129760459693,0.181143874493133,0.405246038190963,0.607545820278288,0.630982500940806
57.5,11.8405569625,0.471752416415922,0.112375552012794,0.357506560081058,0.607880103795613,0.631282752026689
58,11.89114485,0.463150452177389,0.105773709013407,0.336380544652103,0.607486719497772,0.631650528689357
60,12.0999916,0.430398632169812,0.0905500352839222,0.251755125166997,0.603215543939908,0.634294770175682
63,12.3936098,0.410556239155987,0.0858851333443029,0.219262900117123,0.598987159695664,0.647378745648757
65,12.6015227,0.419717640378137,0.0879530729892627,0.239890075919112,0.600829218730845,0.655163268766118
67.5,12.849403725,0.439559020854072,0.101427848971846,0.279281367169955,0.606979848859139,0.658455449815749
68,12.895918225,0.442832051031508,0.108311062835557,0.286055313211894,0.607972368983958,0.659147189965921
70,13.09361515,0.447528119609873,0.156056877176468,0.298231763026275,0.609623816442816,0.658668013186999
72.5,13.337197575,0.428325927593543,0.245269468812215,0.303556098116742,0.595316130986026,0.655836098298661
73,13.374596765,0.423996342424017,0.247997835085846,0.306402781757586,0.591295360217556,0.655297993136113
75,13.5262531,0.406337383362033,0.257437429061825,0.330819988153357,0.548650811642346,0.652738336834383
78,13.787489225,0.509572473044073,0.314797053066334,0.373579400685732,0.735787279570259,0.895456569894781
80,13.960551725,0.61075726365863,0.108104110601165,0.396395940437206,0.836822101143972,0.908195370765155
82.5,14.16287855,0.542239089129788,-0.126350955647959,0.2769457437649,0.831504270944904,0.906564085056731
83,14.210242915,0.507080421886152,-0.129324618207104,0.16667876717927,0.820837106760948,0.904178346941216
85,14.40651825,0.354431449844125,-0.134836468733245,-0.063847794486104,0.73344160788555,0.886819154711465
87.5,14.63170165,0.25059034361599,-0.135304325895936,-0.0816788810015999,0.613817703002927,0.852198782673727
88,14.67631825,0.243448244179481,-0.13499515730995,-0.080119747154115,0.590010674865081,0.852001251856372
90,14.8697168,0.253316349782912,-0.131157174048344,-0.059533937979086,0.591065075583831,0.877432220198205
92.5,15.098951375,0.271328608552492,-0.115195666975947,-0.00718092605834783,0.617869200035422,0.892623360826882
93,15.13609725,0.262966282050805,-0.109358783274819,-0.00661373865976036,0.612763910969956,0.893232097999368
95,15.28830485,0.180684586905588,-0.0567063900669189,-0.0131142551423918,0.511088662965492,0.883798098764663
100,15.63866925,-0.000102743464723225,-0.0444998426851322,-0.0348582420010509,-0.0066700816043772,0.391764190334618
107.5,16.072409375,0.175810133211645,-0.0432352202352456,-0.0335890790892583,0.517648150004181,0.549003256211237
108,16.10042395,0.199721483864128,-0.0430114636113146,-0.0329736622037178,0.523801796539807,0.54969118260516
110,16.21958355,0.295239205618147,-0.0411277550093097,-0.0285534629190543,0.532149190634005,0.551229544518137
112.5,16.3632181575,0.346917626163691,-0.0374554339878436,0.0514878218331103,0.530713869521948,0.549599122702122
115,16.49099215,0.303147978364322,-0.0302162393113846,0.0760871739506968,0.518353400670843,0.545009106846696
118,16.64409115,0.218992925346973,0.0087594875872447,0.0623872662422181,0.413772775878575,0.535076518036256
120,16.72805525,0.203271497782654,0.0162825962502693,0.0731067010664938,0.268740917764623,0.523814705201771
123,16.84616374,0.217103645702081,0.0293208803400956,0.121500567911244,0.263786151399054,0.443460264297335
133,17.2445845,0.337697386041298,0.18714037262549,0.241723581913638,0.525803237404996,0.647259321202687
135,17.31811125,0.337114532528119,0.185554903891618,0.21148451067251,0.525700891486155,0.647136342576262
138,17.458110925,0.296812413659296,0.183491971884894,0.198871830663691,0.442449836076396,0.630831870601444
143,17.76066685,0.284864726231161,0.191994380776475,0.208705790976119,0.387114507539812,0.449964386420444
145,17.8927123,0.303222986602668,0.200237071942043,0.219826601066266,0.39399899945695,0.444798917652615
148,18.076257755,0.317739409215762,0.213412759066476,0.25905627721347,0.379303997985637,0.440803034222509
152.5,18.3597591975,0.329379051268053,-0.307539554255664,0.27971662124733,0.451256234123584,0.555099493448111
153,18.39489705,0.314302522612536,-0.494816099069876,0.267715896351479,0.464754538178556,0.558711948524112
155,18.5485674,0.185808468502668,-0.78976514437494,-0.201810008434216,0.496589390770045,0.566985635944935
157.5,18.729701725,0.0123121762270076,-0.842106659923209,-0.446111829395389,0.334949519708582,0.554336273667149
158,18.774544425,-0.00123966032511959,-0.841015074695792,-0.440555774152711,0.27763525074854,0.539776080424567
160,18.945469275,0.049610040321951,-0.80912946907827,-0.103625777397666,0.250709933130623,0.323762103467651
162.5,19.144702225,0.121060257721777,-0.550629749949285,-0.0179405761229649,0.269393607816376,0.33150856030913
163,19.189756925,0.128600018081783,-0.290134352112709,-0.0184831859877486,0.273808706437246,0.345468936763004
165,19.382139275,0.153579691395475,-0.0994646970393053,-0.0248971213723498,0.29979685767684,0.381792066589662
167.5,19.60223625,0.197008814168932,-0.0934839340070028,0.00253493676589876,0.341092186528598,0.392345906134762
168,19.645345025,0.207874191672158,-0.0914318821360881,0.0167941870203777,0.348380837923212,0.393808296544294
170,19.82774025,0.248789395707302,-0.0727774581231847,0.133280055025269,0.360680111170506,0.395504520341968
172.5,20.046844825,0.265851182894218,0.0304101983722616,0.207635445466592,0.351420246242114,0.392186458282965
173,20.083678525,0.264347538200122,0.0629456083151495,0.208060041109601,0.346739616183033,0.391022274603469
175,20.236029525,0.250919056524539,0.144825672375908,0.208147031490263,0.316255321118231,0.381185326469413
178,20.52256535,0.215840644164304,0.100070650084337,0.15986978903488,0.254204825833711,0.319186118825683
180,20.755133675,0.191489897318122,0.09311961852272,0.125271031369128,0.246110864197546,0.3201075412898
182.5,21.0299381,0.210537221076621,0.0943107872521586,0.130501278999503,0.294367391011899,0.331134328974596
183,21.0944894,0.220347828060119,0.0966015188403092,0.138223919169942,0.310537991368,0.332500172502486
185,21.3750988,0.262793626768727,0.124198525961675,0.200795815401784,0.325172002981247,0.339545481328215
187.5,21.69233995,0.291152454211958,0.167149255549528,0.227333687334186,0.335977522328527,0.380053207507059
188,21.746651425,0.290475938803049,0.129747608677792,0.22673819737597,0.338130339347811,0.381968244974746
190,21.966920725,0.249299232951485,-0.0507631251165262,0.126308109324284,0.342136668802272,0.39033072285894
192.5,22.235758325,0.215079968457559,-0.0929395832756038,0.00217967446849335,0.370034184638051,0.577623677895683
193,22.2677465,0.225762460407903,-0.0925509109044429,0.00600454653250707,0.388269069270664,0.58897449615888
195,22.387203975,0.285094582888845,-0.0843666752625166,0.10654720312717,0.483434341390411,0.614235175118699
197.5,22.52425069,0.339905382636008,-0.0296014927568769,0.173058868385975,0.532080758147999,0.623796415386127
198,22.554792275,0.348494287124673,0.00359608586981739,0.178674959754038,0.53827565108924,0.625376628036583
200,22.67679672,0.371717743999431,0.0879790755991794,0.189426510354013,0.554363254592822,0.631180483569388
202.5,22.8196996875,0.388760474651589,0.0975993145170016,0.199242892275773,0.560907929566444,0.637302947014316
203,22.850174775,0.391731358660548,0.0961704273160355,0.202614433690844,0.562281025608499,0.636734334556713
205,22.97335885,0.39891200398221,0.0977116294467947,0.210458260385483,0.563181605844453,0.641746881043432
207.5,23.1190715,0.401615725592032,0.101268927140479,0.216780777685058,0.559986790495762,0.64412216565997
208,23.1492091,0.40050026667025,0.101537107556139,0.215797617087815,0.559498775814825,0.645629659423232
210,23.2715319,0.390447586197446,0.109187189980261,0.209224023065355,0.551641338859148,0.645559052709863
212.5,23.4195268,0.368168488295651,0.115668379601136,0.197084062925849,0.534965012315998,0.640317061777004
213,23.449228475,0.363095936314245,0.119957583993544,0.194831957940713,0.530786351723939,0.640451369071173
215,23.57098015,0.33976181182764,0.110172368088687,0.18427109346967,0.514061406297295,0.632783129190753
217.5,23.7195234,0.311385309321424,0.0601320035617508,0.171639919564792,0.490487027050318,0.620200182179634
223,24.0477348,0.271604116307716,-0.0274024498498293,0.147821246774928,0.443465965862607,0.607740004776733
225,24.167687175,0.267703774102338,-0.0352894022336861,0.137437548452811,0.434783244433299,0.605977011825462
228,24.34343465,0.271469771222966,-0.0384286540033707,0.104648621126342,0.440821357046296,0.609383043779285
230,24.460265025,0.274690247910283,-0.0376775026941663,0.0886210081063545,0.448568740328594,0.611145779240722
232.5,24.6050857,0.269601831608562,-0.0359450439143591,0.0774257798440977,0.449953696667768,0.610719429087501
233,24.631368145,0.266963009744578,-0.0378580565263221,0.0761702540099559,0.450181995263368,0.610701398123804
235,24.743371325,0.24584909288756,-0.059220896330573,0.0705507614946409,0.436716821899883,0.607334577458401
237.5,24.897979018,0.184705561498765,-0.20622777222501,0.0455380864526502,0.403689290594626,0.594594731199756
238,24.936371425,0.164214658897386,-0.23119922884567,0.0155273193072093,0.393257618793704,0.590026983399765
240,25.1018639,0.0652647594832756,-0.270627684028409,-0.144903577331961,0.238385445354614,0.540373395717484
243,25.41478335,-0.0671822111867237,-0.283377672503068,-0.235462589161552,0.0982114575956347,0.350838884536268
247.5,26.056646625,0.110443796435542,-0.227360539493514,-0.0648884231927081,0.33358586713245,0.406658970741891
248,26.141148375,0.138786537245695,-0.19181912225834,-0.0180550191546788,0.372514800997808,0.407842112626847
250,26.493945,0.211105476915868,-0.0287596305763689,0.0401775268958736,0.391876971773459,0.411522929838577
252.5,26.901681325,0.182164446058446,-0.0369994523078734,-0.00341379452716057,0.390121126983027,0.4094695763655
253,26.972576325,0.167624029187516,-0.0388190340560662,-0.00874694273734932,0.388291078999304,0.408636455990153
255,27.259785575,0.110182445851109,-0.0506401092349699,-0.0148898257440351,0.371777132955507,0.40143690831051
257.5,27.6238596125,0.103057053991165,-0.212821365263393,-0.0305426218021987,0.292679291982025,0.434326798571953
258,27.6757257,0.109885431669764,-0.214949041948572,-0.0342726374644898,0.31089422657612,0.439977126841993
260,27.87010385,0.147201272310118,-0.213991884631175,-0.0326074318768618,0.364197589998818,0.452621097296366
263,28.14935135,0.201055533723358,-0.171973730954072,0.0414271201895911,0.383898011724857,0.456034105846427
