"Depth [cm]","Median Age [kyrs]","Mean d13C [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
5.5,0.561368625,0.873240650088515,0.573753201991279,0.828996023926152,0.942489962840192,0.987777565621118
10.5,0.94253525,0.808025640710474,0.536721063926353,0.628908706897621,0.943054414855657,1.00033286240194
13,1.14404375,0.780173860135321,0.535440257906105,0.623383762884604,0.929205176249309,0.995277395522085
20.5,1.855117375,0.78143997782755,0.438626716068396,0.671874523901817,0.902918971748519,0.993371626161212
23,2.074779175,0.78297008469334,0.364288819293857,0.668274568364928,0.912301161544361,1.01994966157716
25.5,2.3276433,0.783910461335341,0.316528701142639,0.646583009301634,0.936225660558429,1.06055983365902
28,2.56106725,0.797958130817908,0.308577315332902,0.629479407823862,0.978582601700936,1.08274322198003
30.5,2.800427625,0.820874181981704,0.303860583889274,0.637649975832242,1.00951557803639,1.10037414468665
33,3.043972,0.849903249678285,0.303119253071432,0.663821965904924,1.03173091722134,1.10875163813082
35.5,3.277994525,0.883039749850346,0.320174393303179,0.709951285806195,1.04808417250725,1.12010994885736
38,3.5175481,0.915131975031775,0.355787032273158,0.770090703525443,1.05944003910646,1.13177922429219
45.5,4.26488075,0.959144451247454,0.695855957089783,0.860108514705862,1.06608087095789,1.13447715417566
48,4.5243944,0.954708934350727,0.747304444290358,0.861288477111115,1.05723253455219,1.13217707259221
50.5,4.7641063,0.950149471795777,0.773895251734817,0.862785133448793,1.04335731240107,1.12608733938172
53,4.9938917,0.944976140340694,0.780491853172876,0.863898899100023,1.02794285780239,1.11249018404313
55.5,5.2456515,0.94347888915834,0.792065317869198,0.868004089416475,1.01918106640886,1.09232923680949
58,5.4884274,0.947507355418457,0.810476572806404,0.875751490025264,1.01854879626605,1.07503363007799
60.5,5.702739125,0.947634667954469,0.803389429964267,0.87330675977382,1.01929985248885,1.06989971837014
63,5.957772375,0.930636582560356,0.788463868080303,0.846961501790988,1.01061724331572,1.06274665697771
65.5,6.148135025,0.896909450449463,0.767005164344093,0.819828310505571,0.985207018055778,1.04816899080459
68,6.351376875,0.858003489153106,0.743560223104094,0.799871212258083,0.916054275289539,1.00583515453112
70.5,6.600618025,0.85314763288644,0.694995094999931,0.773411415129837,0.92446294927474,0.979138839881275
73,6.8376008,0.814172603152594,0.669346911220665,0.728351537223699,0.901620223369803,0.966192785803318
75.5,7.136658,0.781151474174666,0.659445783926134,0.716311151437875,0.847573521108509,0.92131495855275
78,7.4032307,0.771139708353967,0.65459447855587,0.712937200475301,0.82927678372338,0.891676251853773
80.5,7.71489384,0.763184992688373,0.643932794914743,0.708508603435547,0.818245080747694,0.878182888875938
83,8.01203825,0.752072406640411,0.62870168255883,0.694199959992698,0.807257025741685,0.857539819404117
85.5,8.317249875,0.739905030462665,0.615493211063142,0.680664156020443,0.797044737124678,0.849519331016017
88,8.631855425,0.733653395214745,0.611655586784593,0.674529643220287,0.791044513891483,0.840130467182698
90.5,8.9446826,0.736237505052008,0.616335927401452,0.681883892061915,0.790022268502128,0.837474865103366
93,9.277416425,0.74424555777722,0.632833891406075,0.696491399037463,0.79266439631092,0.834699185074458
95.5,9.522137225,0.753274410149138,0.658364406262348,0.710632109309281,0.796251025806715,0.836936056490372
98,9.78554455,0.761552900733312,0.670988090758664,0.720862629215189,0.804927302681132,0.84667304909808
100.5,9.962210575,0.741347512801538,0.434144834747293,0.704814043610037,0.797949867626417,0.843644761213148
105.5,10.320928675,0.614683494726537,0.309131507391329,0.419928485758885,0.758714391380007,0.808547423663545
108,10.5039515,0.551262904227671,0.29656257910105,0.387067606257099,0.725090799268452,0.790066986091704
110.5,10.69486975,0.49160233583437,0.266995550652244,0.362856676568648,0.636189292110741,0.75929709795604
113,10.890948475,0.440992257976347,0.226374150245067,0.324562180320435,0.561582259773046,0.702845617804188
115.5,11.067433325,0.39691858364258,0.196211194301877,0.27328284829686,0.503163115235216,0.638620372036816
118,11.255482325,0.366898768965183,0.182401105262614,0.250250563620222,0.476725156707716,0.592622465776379
120.5,11.399540125,0.365619984433678,0.135884500597157,0.241779923627845,0.491578191996969,0.600862904778223
123,11.5611537,0.34127112172019,0.0609698420107094,0.189396846771496,0.495064072666741,0.604462374851895
125.5,11.65173789625,0.319179774956165,0.0520412672641909,0.158772137557344,0.474279740941648,0.597061434638358
128,11.73798455,0.299833148958543,0.04525062728182,0.146793873596388,0.435476639618467,0.583390042524258
130.5,11.8252021,0.287902466536336,0.0471054568469206,0.146098798985489,0.417886527277308,0.56488875727377
133,11.909700975,0.293209094046109,0.0518170975910386,0.158177457301616,0.414219713375091,0.599723587661288
135.5,11.992862025,0.305451986811114,0.0719094000650299,0.170677456545681,0.427800469640223,0.650008420579886
138,12.074343475,0.322766399017906,0.0915759002143669,0.178842377870736,0.462898647244236,0.68493803613686
140.5,12.1566034725,0.341292455692342,0.101724070653045,0.183395263919746,0.528424388917162,0.706152272560342
143,12.24108655,0.366008300211119,0.111640766162825,0.193713555694363,0.576219532920957,0.719103496240103
145.5,12.3235888375,0.380614413152531,0.119983237489755,0.203898292156071,0.589307921653683,0.72124861113617
148,12.40670645,0.38899114367427,0.120264600947716,0.210050805275699,0.587763380210092,0.712612823814212
150.5,12.487916275,0.391127094596018,0.122865664458354,0.213927063230518,0.5783785361656,0.703759882986873
153,12.5742515,0.390100771833597,0.119875711093137,0.21938069438794,0.559889262174617,0.67963357337105
155.5,12.649719625,0.402543230190097,0.127870612202694,0.232380438077541,0.560825101084936,0.661450586990816
158,12.733358,0.427523619959386,0.145561691629031,0.267588708360366,0.560816676289498,0.635524410644748
160.5,12.801008025,0.44732091308302,0.159417077227618,0.310962035369058,0.557698751097896,0.624633148515123
163,12.876295625,0.46125926806394,0.189945385792102,0.363567893169649,0.557886933512146,0.632509109634626
165.5,12.98555445,0.472267883463844,0.226723968094782,0.38370618944438,0.570150237308445,0.652513511629655
168,13.0803744,0.470424786650013,0.207610971215737,0.370341412214408,0.582797125375439,0.671381180166663
170.5,13.19149715,0.455873043482366,0.184635605477991,0.321314531717914,0.589567925069191,0.672571644362342
173,13.295836175,0.434401463325956,0.164384647540854,0.288199213674416,0.575793985308605,0.670577160761545
175.5,13.4076880625,0.41050977297011,0.121823634871624,0.268004881306164,0.539909515255107,0.657992502747017
178,13.510212825,0.389431413860653,0.0324956289990141,0.250205268343943,0.504971314195895,0.633827195259708
180.5,13.626333275,0.365119177915038,-0.0217865553216714,0.211874296825504,0.487522949349948,0.611721180848417
183,13.73621085,0.336690387621099,-0.0476140104067786,0.117909848995251,0.479689589020631,0.560834764611407
185.5,13.849834425,0.29616262812614,-0.0796290179974931,0.0361881063372521,0.470294610772725,0.535025164246488
188,13.9601640475,0.251303090799708,-0.108473720906221,0.00890828285985651,0.463627611077028,0.524148467838457
190.5,14.07106525,0.201950312313442,-0.198701068655428,-0.0171469915565469,0.453639219249052,0.515528844356578
193,14.1851476825,0.150906338793039,-0.296763335132066,-0.038262620283993,0.438429379279427,0.508915705232088
195.5,14.2946028,0.101269629675662,-0.340492131067903,-0.0675897930571922,0.411443901534887,0.500877589006323
198,14.39963675,0.0588790417127001,-0.366318614973199,-0.0995758495545362,0.284718576258453,0.489276748916102
200.5,14.51796185,0.0177286908825543,-0.378411612982765,-0.169289009687926,0.151806774411602,0.472679619588581
205.5,14.7396775,-0.0471710264847023,-0.388085495551525,-0.263711318472951,0.100175071285871,0.42428643628902
