Age min (kyrs BP),5th,10th,20th,30th,40th,50th,60th,70th,80th,90th,95th
0,-0.304,-0.233,-0.133,-0.052,0.011,0.055,0.113,0.181,0.238,0.327,0.398
200,-0.381,-0.291,-0.200,-0.150,-0.092,-0.051,-0.006,0.045,0.106,0.190,0.255
400,-0.366,-0.301,-0.204,-0.156,-0.099,-0.050,-0.010,0.034,0.082,0.152,0.194
600,-0.318,-0.225,-0.151,-0.097,-0.047,-0.001,0.035,0.080,0.122,0.191,0.230
800,-0.219,-0.139,-0.064,-0.009,0.043,0.090,0.132,0.185,0.237,0.314,0.374
1000,-0.238,-0.174,-0.093,-0.044,0.008,0.052,0.093,0.143,0.199,0.267,0.316
1200,-0.303,-0.239,-0.127,-0.060,-0.012,0.020,0.067,0.108,0.156,0.243,0.299
1400,-0.317,-0.216,-0.106,-0.051,-0.008,0.026,0.077,0.127,0.171,0.211,0.247
1600,-0.359,-0.279,-0.176,-0.117,-0.069,-0.025,0.017,0.058,0.101,0.163,0.227
1800,-0.441,-0.344,-0.225,-0.150,-0.094,-0.046,-0.001,0.044,0.086,0.165,0.214
2000,-0.435,-0.359,-0.232,-0.166,-0.122,-0.066,-0.017,0.033,0.090,0.165,0.233
2200,-0.454,-0.357,-0.254,-0.179,-0.124,-0.075,-0.025,0.028,0.071,0.146,0.207
2400,-0.407,-0.347,-0.224,-0.151,-0.104,-0.052,0.002,0.062,0.112,0.195,0.254
2600,-0.454,-0.378,-0.279,-0.217,-0.161,-0.112,-0.052,0.006,0.050,0.150,0.212
2800,-0.507,-0.439,-0.334,-0.256,-0.190,-0.127,-0.082,-0.033,0.019,0.086,0.136
3000,-0.524,-0.461,-0.361,-0.289,-0.218,-0.147,-0.092,-0.036,0.024,0.083,0.160
3200,-0.607,-0.512,-0.419,-0.327,-0.266,-0.214,-0.159,-0.103,-0.043,0.033,0.106
3400,-0.608,-0.506,-0.384,-0.311,-0.228,-0.178,-0.122,-0.073,-0.020,0.052,0.111
3600,-0.579,-0.486,-0.400,-0.329,-0.280,-0.233,-0.186,-0.147,-0.075,0.010,0.086
3800,-0.613,-0.518,-0.426,-0.349,-0.289,-0.220,-0.181,-0.132,-0.058,0.015,0.089
4000,-0.556,-0.503,-0.403,-0.340,-0.289,-0.220,-0.164,-0.117,-0.069,0.021,0.105
4200,-0.570,-0.497,-0.390,-0.318,-0.262,-0.215,-0.156,-0.094,-0.031,0.070,0.148
4400,-0.531,-0.461,-0.359,-0.290,-0.218,-0.162,-0.117,-0.052,0.016,0.109,0.165
4600,-0.490,-0.439,-0.326,-0.259,-0.205,-0.143,-0.090,-0.042,0.043,0.161,0.230
4800,-0.524,-0.421,-0.315,-0.253,-0.180,-0.132,-0.073,-0.005,0.061,0.145,0.207
5000,-0.524,-0.407,-0.293,-0.206,-0.139,-0.095,-0.037,0.004,0.071,0.157,0.232
5200,-0.568,-0.470,-0.352,-0.280,-0.229,-0.166,-0.110,-0.052,0.027,0.128,0.207
5400,-0.581,-0.498,-0.406,-0.333,-0.262,-0.200,-0.142,-0.079,-0.019,0.066,0.134
5600,-0.566,-0.469,-0.388,-0.315,-0.244,-0.182,-0.131,-0.069,-0.012,0.076,0.139
5800,-0.543,-0.474,-0.383,-0.308,-0.242,-0.174,-0.118,-0.053,0.037,0.132,0.210
6000,-0.569,-0.467,-0.364,-0.286,-0.215,-0.149,-0.098,-0.033,0.030,0.130,0.203
6200,-0.534,-0.463,-0.356,-0.288,-0.212,-0.152,-0.088,-0.028,0.052,0.165,0.268
6400,-0.542,-0.458,-0.342,-0.279,-0.213,-0.149,-0.096,-0.013,0.051,0.150,0.207
6600,-0.573,-0.476,-0.379,-0.302,-0.237,-0.185,-0.138,-0.071,0.007,0.106,0.149
6800,-0.687,-0.588,-0.493,-0.411,-0.332,-0.269,-0.202,-0.152,-0.077,0.017,0.117
7000,-0.752,-0.652,-0.508,-0.429,-0.340,-0.262,-0.215,-0.173,-0.100,-0.007,0.074
7200,-0.786,-0.684,-0.596,-0.513,-0.440,-0.383,-0.324,-0.244,-0.170,-0.082,0.016
7400,-0.802,-0.722,-0.587,-0.506,-0.443,-0.384,-0.336,-0.274,-0.184,-0.083,0.004
7600,-0.800,-0.706,-0.615,-0.549,-0.495,-0.421,-0.356,-0.287,-0.205,-0.086,-0.018
7800,-0.768,-0.677,-0.563,-0.489,-0.427,-0.381,-0.318,-0.253,-0.185,-0.090,-0.014
