Age [ka],Depth [cm],FAI,Infaunals[%],Epibenthic[%],Calcareous[%],Porcellaneous[%],Agglutinated[%],Stress Species[%],Oxic[%],Suboxic[%],Dysoxic[%],EBFOI,DO3[mL/L],OM,TR,Salinty,Time,DO3[umol/kg],BFI,Uvig_BWT [deg C],Mel_BWT [deg C],Mean d13C [o/oo],Mean d18O [o/oo],(2) porcentage - C. robertsonianus,Current Velocities (2)
0.18,2.5,12.7,83.3,16.7,95,0,5,75.8,8.2,68,23.7,7.8,1.8,LO,EU,0-5,late Holocene-2,78.426,8c,5.9,NaN,NaN,NaN,9.58,0.09
0.72,7.5,11.5,78.5,21.5,96.2,0,3.8,72.2,8.6,72.4,19,9.1,1.8,LO,EU,0-5,late Holocene-2,78.426,8c,4.83,NaN,NaN,NaN,9.09,0.09
1.56,12.5,8.8,76.1,23.9,96,0,4,68.7,11.9,63.8,24.4,11.3,1.9,LO,EU,0-5,late Holocene-2,82.783,8c,4.89,NaN,0.45,2.17,12.44,0.10
2.6,17.5,10.4,72.8,27.2,95.4,0,4.6,63.6,12.3,65.6,22.1,14.9,2,LO,EU,0-5,late Holocene-2,87.14,8c,3.32,NaN,0.52,2.22,11.98,0.10
3.42,22.5,8.9,58.2,41.8,98.2,0,1.8,57.3,20.8,60.9,18.4,30.6,2.6,LO,MS,0-5,late Holocene,113.282,8b,2.52,NaN,0.58,2.24,19.55,0.14
4.23,27.5,9.9,64.5,35.5,97.5,0,2.5,60.3,27,50,23,40.1,3,LO,MS,0-5,late Holocene,130.71,8b,2.58,NaN,0.62,2.2,24.79,0.17
5.04,32.5,9.4,51.6,48.4,94.6,0,5.4,46.6,28.1,57.1,14.8,43,3.1,HO,MS,0-5,late Holocene,135.067,8b,3.4,NaN,0.64,2.07,24.43,0.17
5.59,37.5,7.9,54.5,45.5,97,0,3,51.1,18.2,63.6,18.2,27.3,2.5,LO,MS,0-5,early Holocene,108.925,8b,6.26,NaN,0.57,1.88,16.45,0.12
5.87,42.5,8.8,56.3,43.7,97.8,0,2.2,51.1,16.6,63.6,19.8,24.2,2.4,LO,MS,0-5,early Holocene,104.568,8b,5.98,NaN,0.45,1.95,12.99,0.11
6.2,47.5,12.3,57.5,42.5,95.5,0.5,4,50.5,17.7,60.8,21.5,22.2,2.3,LO,MS,0-5,early Holocene,100.211,8b,4.55,NaN,0.42,2,16.00,0.12
