Age [ka],Infaunals[%],Epibenthic[%],Calcareous[%],Porcellaneous[%],Agglutinated[%],Stress Species[%],Oxic[%],Suboxic[%],Dysoxic[%],EBFOI,Elevated Epifauna
0.18,83.3,16.7,95,0,5,75.8,8.2,68,23.7,7.8,23
0.72,78.5,21.5,96.2,0,3.8,72.2,8.6,72.4,19,9.1,19
1.56,76.1,23.9,96,0,4,68.7,11.9,63.8,24.4,11.3,25
2.6,72.8,27.2,95.4,0,4.6,63.6,12.3,65.6,22.1,14.9,26
3.42,58.2,41.8,98.2,0,1.8,57.3,20.8,60.9,18.4,30.6,43
4.23,64.5,35.5,97.5,0,2.5,60.3,27,50,23,40.1,60
5.04,51.6,48.4,94.6,0,5.4,46.6,28.1,57.1,14.8,43,54
5.59,54.5,45.5,97,0,3,51.1,18.2,63.6,18.2,27.3,38
5.87,56.3,43.7,97.8,0,2.2,51.1,16.6,63.6,19.8,24.2,30
6.2,57.5,42.5,95.5,0.5,4,50.5,17.7,60.8,21.5,22.2,32
6.53,59.9,40.1,94.1,1.8,4.1,55.4,20.9,54.2,24.9,27.5,39
6.82,68.1,31.9,93.4,0.5,6.1,62,18.7,48.7,32.6,20.3,35
7.12,59.9,40.1,93.4,0,6.6,50.9,13.7,65.8,20.5,17.3,27
7.57,57.7,42.3,91.9,2.7,5.4,50.5,25,48.9,26.1,30.3,37
8.07,63.9,36.1,94.1,1.8,4.1,55.3,13.8,62.6,23.6,15.2,39
8.58,67.4,32.6,93.3,1.3,5.4,61.1,13.6,48.2,38.2,10.9,36
9.06,61.8,38.2,92.9,1.8,5.3,50.2,21.6,49.4,29,24.1,40
9.55,63.2,36.8,91.8,0.9,7.3,48.6,22.2,53.2,24.6,26.2,47
10.03,52.8,47.2,92.1,4.4,3.5,42.8,30.1,44.3,25.6,36.7,56
10.46,65.5,34.5,93.3,2.4,4.4,55.2,16.5,50.5,33,16.7,40
10.82,61.2,38.8,94.9,2.3,2.8,49.5,22.7,54,23.3,28,20
10.98,43,57,96.3,1.2,2.5,34.8,44.6,35.8,19.7,61.3,72
11.14,43.1,56.9,96.7,1.7,1.7,31.8,45.5,37,17.5,65.4,75
11.3,42.5,57.5,96,1.6,2.4,27.8,45.9,39.2,14.9,66.1,78
11.46,53.7,46.3,96.3,2,1.6,42.7,36.9,39.9,23.2,51.4,58
11.62,40,60,95.7,3.5,0.9,30,47.9,31.1,21,58.3,73
11.78,60.9,39.1,95.7,2.7,1.6,50.8,18,47.9,34.1,20.4,33
11.93,50.8,49.2,89.1,8.4,2.5,37,39.1,42,19,50.9,42
12.08,59.2,40.8,94.8,4.7,0.5,49.8,30.7,54,15.3,40.5,38
12.19,39.1,60.9,94.5,5.5,0,28.2,54.9,37.7,7.4,77.7,82
12.3,63.4,36.6,95.5,4.5,0,49,25,53.8,21.3,30,32
12.41,0,0,0,0,0,0,0,0,0,0,0
12.52,69,31,93.5,6.5,0,54,23.4,53.9,22.8,28.1,22
12.63,69.2,30.8,91.3,8.3,0.4,48.2,23.8,54.5,21.7,31.7,18
12.75,62.9,37.1,85,14.6,0.4,45.4,31.3,45.8,22.9,41.9,25
12.86,58.9,41.1,89.4,5.3,5.3,43,29.7,46.5,23.9,33.8,35
12.97,63.6,36.4,90,9.2,0.8,47.7,27.4,56.3,16.3,39.4,30
13.07,65.6,34.4,83,10.9,6.2,43.5,28.4,59,12.6,47.2,26
13.18,69.4,30.6,92.2,4.9,2.9,48.2,15.7,67.5,16.8,22.4,17
13.29,84,16,97.4,2.6,0,63.5,8,70.2,21.8,11.2,18
13.49,74.8,25.2,93.1,5.3,1.6,44.3,15.7,75.6,8.6,25.6,25
13.72,81.5,18.5,96.7,2.2,1.1,43.1,9.8,85.5,4.7,18.8,27
13.96,70.5,29.5,93.7,5.9,0.4,39.4,19.8,73.4,6.8,34,27
