Age (kyrs),Amphycoryna cff. scalaris,Anomalina sp. 1,Astacolus sp.,Astrononion sp.,Bolivina spp. *,Brizalina alata,Bulimina spp.,Cancris auriculus,Cassidulina teretis/laevigata,Chilostomella oolina,Cibicidoides robertsonianus,Cibicidoides/Planulina *,Cornuspira spp.,Cribroelphidium cff. williamsoni,Cushmanina plumigera,Cushmanina sp.,Dentalina mutabilis,Dentalina sp.,Elphidium macellum,Epistominella exigua,Evolvocassidulina bradyi ,Favulina hexagona,Fissurina spp.,Fursenkoina spp. *,Glandulina spp.,Globobulimina spp.,Globocassidulina sp.,Grigelis pyrula,Hansenisca soldanii ,Hanzawaia boueana,Heterolepa bradyi,Hoeglundina elegans,Hyalinea balthica,Hyalinonetrion gracillimum,Laevidentalina spp.,Lagena spp.,Lenticulina spp.,Marginulina sp.,Melonis barleeanus ,Neolenticulina variabilis,Nodosaria cff. vertabralis,Nonion fabum,Nonionella turgida/pulchella,Nonionina sp.,Oolina cff. globosa,Oridorsalis umbonatus,Osangularia culter,Planularia magnifica,Pseudonodosaria sp.,Pullenia bulloides / quinqueloba,Rectuvigerina cff. elongatastriata,Robertinoides bradyi ,Rutherfordoides rotundatus,Saracenaria spp.,Sigmoilopsis schlumbergeri,Sphaeroidna bulloides,Spiroplectinella spp. wrighti ,Trifarina sp. *,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Vaginulina spp.,Virgulina subquamosa,Agglutinated Foraminifera *,Porcellaneous Foraminfiera *
0.18,,,,,26,,8,,22,18,5,23,0,,,,,,,2,,,1,0,1,20,,,,,,1,,1,1,2,1,,,,,13,3,,,2,,,,3,4,,,0,1,7,,0,1,48,0,0,15,11,0
0.72,,,,,26,,5,1,23,6,7,19,0,1,,,,,,3,,,0,0,3,13,,,,,,,,,1,2,0,,4,,,6,7,,,1,1,,,2,,,,0,,13,,0,8,39,0,0,10,8,0
1.56,,,,,31,,1,,31,8,6,25,0,,,,,,,5,,,0,0,1,10,,,,,,,,3,0,1,0,,,,,5,5,,,1,,,,0,1,,,0,1,12,,0,4,30,0,1,12,7,0
2.6,,,,,31,,5,,16,12,2,26,0,,,,,,,,,,3,0,1,9,,1,,,,,,1,0,0,1,,,1,,3,1,,,,1,,,1,,,,0,4,30,,0,8,47,0,0,5,8,0
3.42,,,,,24,,3,1,21,13,1,43,0,,,,,,,,,,0,0,0,7,,,,,2,3,,,0,0,2,,2,,,2,1,,,,1,,,5,1,,,0,3,40,,0,21,19,0,0,4,1,0
4.23,,,,,43,,8,,31,7,4,60,0,,,,,,,1,,,0,0,1,4,,,,,3,1,,,0,0,0,,8,,,1,1,,,3,,,,6,,,,0,2,16,,1,16,14,0,0,6,5,0
5.04,,,,,27,,7,4,14,3,2,54,0,,,,,,,,,,2,0,0,3,,,,,3,7,,,0,1,4,,4,1,,,1,,,2,,,,2,,,,0,9,33,,0,25,6,1,0,3,3,0
5.59,,,,,34,,9,1,16,5,4,38,0,,,,,,,4,,,0,0,0,3,,,,,1,6,,,1,0,1,,4,1,,,4,,,1,,,,1,,,,0,5,50,,0,22,18,0,0,,2,0
5.87,,,,,33,,7,2,6,10,7,30,0,,,,,,,1,,,0,0,0,1,,1,,,4,,,2,1,2,1,,2,1,,,2,,,3,,,,1,,,,0,4,56,,0,26,26,0,0,1,1,0
6.2,,,,,29,,5,4,4,10,2,32,0,,,,,,,1,,,1,0,3,2,,,,,3,10,,1,0,2,1,,7,2,,,4,,,,1,,,1,,,,0,6,32,,0,24,9,1,0,,2,1
6.53,,,,,38,,0,3,1,7,4,39,0,,,,,,,3,,,1,0,0,10,,,1,,5,6,,,0,0,1,,9,1,,,2,,,1,1,,,1,1,,,0,7,23,,0,44,7,0,0,,2,4
6.82,,,,,54,,1,6,1,6,,35,0,,,,,,,1,,,0,0,0,5,,,2,,2,2,,1,0,0,2,,19,2,,,,,,3,,1,,0,,,,0,8,17,,0,36,1,2,0,,5,1
7.12,,1,,,32,,3,3,2,5,1,27,0,,,,,,,1,,,0,0,0,8,,,3,,10,4,,,0,2,0,,10,,,,,,,6,,,,4,,,,0,10,35,,0,31,10,0,0,,4,0
7.57,,1,,,33,,7,3,0,8,18,37,0,,1,,,,,5,,,0,0,0,14,1,,1,2,7,1,,,1,1,2,1,18,1,,,1,,,3,1,,,3,,,,0,10,11,,0,2,14,4,0,1,3,6
8.07,,,,,38,,2,5,2,2,8,39,0,,,,,,,5,,,0,0,0,19,,1,3,,,,,,1,0,2,,15,8,,2,,,,3,2,,,0,,,,0,6,13,,1,6,27,2,0,,3,4
8.58,,,,,67,1,6,4,4,4,10,36,0,,,1,,1,,6,,,3,1,1,5,,,2,4,,1,,,0,0,0,,21,2,,1,1,,,,,,,1,1,,,0,3,12,,3,10,14,0,0,,10,3
9.06,,1,,,35,,1,1,1,16,14,40,0,,1,,,,,6,,,4,0,0,12,,,3,2,,,,,1,2,3,,24,6,,,,,,2,,,,4,,,,2,6,13,,0,5,10,0,0,,7,3
9.55,,,,,39,,2,4,1,3,8,47,0,,,,,,,3,,,1,0,1,10,,1,1,,,,,,1,4,0,,22,7,,,2,,,4,,,1,2,1,,,0,13,16,,0,11,7,3,0,,3,2
10.03,2,,,,33,,1,1,7,12,20,56,0,,,,,,,3,1,,4,0,0,7,,,3,,,,,,1,2,1,,15,4,,,1,,,3,,,,4,1,,,0,1,15,,0,5,9,0,0,,8,9
10.46,,,,,35,,3,4,3,26,16,40,0,,,,,,,4,3,,3,1,0,22,,,2,6,,,1,,0,5,2,,13,7,,,3,,,1,,,,3,3,1,,0,3,9,,1,7,7,3,0,,11,4
10.82,1,,,,22,,1,2,7,19,29,20,0,,,,,,,3,2,,2,0,2,20,,,,4,,,,1,0,5,1,,8,,,4,8,,,6,,,,3,2,,,1,3,21,,2,1,3,1,2,,5,3
