,Bolivina cff. spathulata,Bolivina subaenariensis var. mexicana,Bolivina spp.,Brizalina alata,Cassidulina teretis/laevigata,Chilostomella oolina,Cibicidoides pachyderma,Cibicidoides robertsonianus,Globobulimina spp.,Lobatula lobatula,Melonis barleeanus,Neolenticulina variabilis,Nonion fabum,Nonionella turgida/pulchella,Oridorsalis umbonatus,Planulina arimenensis,Pullenia bulloides / quinqueloba,Sigmoilopsis schlumbergeri,Sphaeroidna bulloides,Uvigerina mediterranea,Uvigerina peregrina,"Virgulina subquamosa sensu Bradyi, 1884"
0.18,9.166666667,0,1.666666667,0,9.166666667,7.5,4.583333333,2.083333333,8.333333333,0.833333333,0,0,5.416666667,1.25,0.833333333,4.166666667,1.25,0.416666667,2.916666667,0.416666667,20,6.25
0.72,11.48325359,0,0.956937799,0,11.00478469,2.870813397,3.827751196,3.349282297,6.220095694,0.956937799,1.913875598,0,2.870813397,3.349282297,0.4784689,4.306220096,0.956937799,0,6.220095694,3.827751196,18.66028708,4.784688995
1.56,13.43283582,1.990049751,0,0,15.42288557,3.980099502,6.467661692,2.985074627,4.975124378,0.995024876,0,0,2.487562189,2.487562189,0.497512438,4.975124378,0,0.497512438,5.970149254,1.990049751,14.92537313,5.970149254
2.6,10.59907834,3.686635945,0,0,7.373271889,5.529953917,10.13824885,0.921658986,4.147465438,0.921658986,0,0.460829493,1.382488479,0.460829493,0,0.921658986,0.460829493,1.843317972,13.82488479,3.686635945,21.65898618,2.304147465
3.42,10,0.454545455,0.454545455,0,9.545454545,5.909090909,18.18181818,0.454545455,3.181818182,0,0.909090909,0,0.909090909,0.454545455,0,1.363636364,2.272727273,1.363636364,18.18181818,9.545454545,8.636363636,1.818181818
4.23,17.76859504,0,0,0,12.80991736,2.892561983,21.90082645,1.652892562,1.652892562,0.41322314,3.305785124,0,0.41322314,0.41322314,1.239669421,2.479338843,2.479338843,0.826446281,6.611570248,6.611570248,5.785123967,2.479338843
5.04,12.21719457,0,0,0,6.334841629,1.357466063,23.52941176,0.904977376,1.357466063,0,1.809954751,0.452488688,0,0.452488688,0.904977376,0.904977376,0.904977376,4.07239819,14.9321267,11.31221719,2.714932127,1.357466063
5.59,14.71861472,0,0,0,6.926406926,2.164502165,14.28571429,1.731601732,1.298701299,0,1.731601732,0.432900433,0,1.731601732,0.432900433,1.731601732,0.432900433,2.164502165,21.64502165,9.523809524,7.792207792,0
5.87,14.28571429,0,0,0,2.597402597,4.329004329,10.82251082,3.03030303,0.432900433,1.298701299,0.865800866,0.432900433,0,0.865800866,1.298701299,0.865800866,0.432900433,1.731601732,24.24242424,11.25541126,11.25541126,0.432900433
6.2,14.5,0,0,0,2,5,12.5,1,1,1.5,3.5,1,0,2,0,1,0.5,3,16,12,4.5,0
6.53,17.11711712,0,0,0,0.45045045,3.153153153,13.51351351,1.801801802,4.504504505,1.801801802,4.054054054,0.45045045,0,0.900900901,0.45045045,0.900900901,0.45045045,3.153153153,10.36036036,19.81981982,3.153153153,0
6.82,25.35211268,0,0,0,0.469483568,2.816901408,13.14553991,0,2.34741784,0,8.920187793,0.938967136,0,0,1.408450704,0.469483568,0,3.755868545,7.981220657,16.90140845,0.469483568,0
7.12,15.09433962,0,0,0,0.943396226,2.358490566,7.075471698,0.471698113,3.773584906,2.830188679,4.716981132,0,0,0,2.830188679,2.830188679,1.886792453,4.716981132,16.50943396,14.62264151,4.716981132,0
7.57,14.41441441,0.45045045,0,0,0,3.603603604,9.009009009,8.108108108,6.306306306,3.153153153,8.108108108,0.45045045,0,0.45045045,1.351351351,4.504504505,1.351351351,4.504504505,4.954954955,0.900900901,6.306306306,0.45045045
8.07,15.98173516,1.369863014,0,0,0.913242009,0.913242009,5.936073059,3.652968037,8.675799087,3.652968037,6.849315068,3.652968037,0.913242009,0,1.369863014,6.849315068,0,2.739726027,5.936073059,2.739726027,12.32876712,0
8.58,25.94142259,0.836820084,1.255230126,0.418410042,1.673640167,1.673640167,4.184100418,4.184100418,2.092050209,1.255230126,8.786610879,0.836820084,0.418410042,0.418410042,0,7.112970711,0.418410042,1.255230126,5.020920502,4.184100418,5.857740586,0
9.06,15.55555556,0,0,0,0.444444444,7.111111111,6.666666667,6.222222222,5.333333333,0.444444444,10.66666667,2.666666667,0,0,0.888888889,6.666666667,1.777777778,2.666666667,5.777777778,2.222222222,4.444444444,0
9.55,16.36363636,0.909090909,0.454545455,0,0.454545455,1.363636364,8.636363636,3.636363636,4.545454545,0.454545455,10,3.181818182,0,0.909090909,1.818181818,7.272727273,0.909090909,5.909090909,7.272727273,5,3.181818182,0
10.03,13.97379913,0.436681223,0,0,3.056768559,5.240174672,9.6069869,8.733624454,3.056768559,0,6.550218341,1.746724891,0,0.436681223,1.310043668,10.91703057,1.746724891,0.436681223,6.550218341,2.183406114,3.930131004,0
10.46,11.9047619,0.793650794,1.19047619,0,1.19047619,10.31746032,3.968253968,6.349206349,8.73015873,1.19047619,5.158730159,2.777777778,0,1.19047619,0.396825397,9.126984127,1.19047619,1.19047619,3.571428571,2.777777778,2.777777778,0
10.82,9.345794393,0.934579439,0,0,3.271028037,8.878504673,4.672897196,13.55140187,9.345794393,0,3.738317757,0,1.869158879,3.738317757,2.803738318,4.672897196,1.401869159,1.401869159,9.813084112,0.46728972,1.401869159,0
10.98,9.426229508,1.229508197,1.229508197,0.409836066,2.868852459,3.278688525,18.44262295,14.75409836,4.918032787,0,2.459016393,1.229508197,1.639344262,2.049180328,1.639344262,9.016393443,0,0,6.967213115,0,1.639344262,1.639344262
11.14,7.112970711,2.092050209,1.255230126,0.418410042,2.092050209,3.765690377,22.17573222,11.71548117,5.020920502,0,2.510460251,1.673640167,0.836820084,2.928870293,2.510460251,5.439330544,0.418410042,0,10.46025105,0,0,0.836820084
11.3,3.571428571,0,1.19047619,0.396825397,2.380952381,5.952380952,18.65079365,15.07936508,3.571428571,0,1.984126984,3.571428571,1.984126984,3.571428571,2.380952381,11.11111111,0,0,5.952380952,0,1.587301587,0
11.46,10.97560976,0.406504065,0,0.81300813,0.81300813,6.910569106,17.4796748,10.97560976,6.910569106,0,4.06504065,4.87804878,1.62601626,0.81300813,1.62601626,5.691056911,0,0.81300813,3.658536585,2.845528455,3.25203252,0.81300813
11.62,6.086956522,1.739130435,0,0,0,7.391304348,15.65217391,13.04347826,3.47826087,0,3.043478261,3.913043478,0,0,4.782608696,13.04347826,0,0.434782609,4.782608696,0,1.304347826,2.173913043
11.78,10.546875,0.390625,6.25,0,3.125,10.9375,4.6875,8.984375,5.46875,1.171875,2.34375,2.34375,0.390625,3.125,1.5625,5.859375,1.953125,0,7.421875,0.390625,1.5625,0
11.93,7.142857143,1.680672269,1.680672269,0,2.521008403,3.361344538,5.462184874,15.54621849,3.361344538,0,6.302521008,5.042016807,0.840336134,1.680672269,5.042016807,11.34453782,1.260504202,0,1.680672269,0,2.941176471,0
12.08,6.103286385,0.469483568,0.469483568,0.469483568,5.633802817,4.225352113,1.877934272,15.96244131,6.103286385,0,13.14553991,3.286384977,0.938967136,2.816901408,1.877934272,14.55399061,0,0,0,0,4.225352113,0.938967136
12.19,2.100840336,1.260504202,0.420168067,0.420168067,1.680672269,1.260504202,16.80672269,17.22689076,4.621848739,0,6.722689076,2.521008403,0.420168067,0.840336134,4.621848739,15.96638655,0,0,0.840336134,0,3.361344538,0.420168067
12.3,5.445544554,0.495049505,0.495049505,0,4.455445545,9.900990099,1.98019802,12.87128713,2.97029703,0,15.84158416,3.96039604,0.495049505,2.475247525,4.95049505,12.37623762,0.495049505,0,0.495049505,0,2.97029703,0
12.52,8.5,1.5,4.5,0.5,5,4,0.5,12.5,6.5,0,16.5,3,0,0,4.5,9,0,0,0,0,4,0
12.63,4.347826087,1.185770751,0.395256917,0.395256917,1.976284585,9.881422925,0.395256917,11.46245059,5.928853755,0,10.27667984,5.138339921,0.395256917,3.95256917,5.533596838,5.533596838,0.395256917,0.395256917,0.395256917,0,6.324110672,0.395256917
12.75,5,0.833333333,0.833333333,0,0,11.66666667,0,10.83333333,5.416666667,0,10.83333333,4.166666667,0.416666667,1.666666667,6.666666667,8.333333333,0,0.416666667,0.833333333,0.416666667,6.666666667,0
12.86,3.8647343,0.966183575,0.966183575,0.483091787,2.898550725,11.11111111,0.483091787,13.52657005,0,0,5.797101449,0.966183575,2.415458937,2.415458937,6.763285024,13.52657005,0,1.93236715,0.483091787,0.966183575,8.212560386,0.483091787
12.97,5.439330544,0,0,0,0.836820084,7.531380753,2.510460251,11.71548117,4.60251046,0,13.38912134,1.255230126,0.836820084,2.510460251,5.020920502,7.531380753,0.836820084,0.418410042,2.092050209,0,7.112970711,0.418410042
13.07,2.898550725,0,0,0.724637681,1.449275362,6.52173913,1.086956522,10.50724638,4.347826087,0,5.072463768,1.086956522,1.086956522,11.5942029,12.68115942,7.608695652,0,1.449275362,1.086956522,2.536231884,4.347826087,0.724637681
13.18,3.673469388,0.816326531,0.408163265,0,0.816326531,8.163265306,0,8.163265306,6.12244898,0.816326531,5.306122449,1.632653061,5.306122449,5.714285714,13.46938776,6.12244898,0,1.224489796,5.306122449,0.816326531,7.346938776,1.224489796
13.29,1.628664495,0.325732899,0.977198697,0,1.628664495,16.61237785,0.651465798,4.234527687,7.166123779,0.977198697,0.977198697,0,3.908794788,19.54397394,14.98371336,4.234527687,0.325732899,0,1.954397394,0.977198697,6.51465798,1.628664495
13.49,0.406504065,0.406504065,0.81300813,0,0.81300813,5.284552846,0.406504065,7.723577236,10.97560976,0,0.406504065,0,5.284552846,10.16260163,20.73170732,9.349593496,0,0.406504065,0.406504065,1.219512195,3.658536585,0.81300813
13.72,0,0,0.724637681,0,1.086956522,3.260869565,0.362318841,5.797101449,6.884057971,0,1.086956522,0,6.15942029,18.47826087,31.88405797,9.420289855,0,0.724637681,0.362318841,0.362318841,1.449275362,1.086956522
13.96,0.393700787,0.787401575,0.393700787,0,0.787401575,3.543307087,0,10.62992126,7.874015748,1.57480315,0.393700787,1.968503937,2.755905512,18.8976378,21.25984252,9.05511811,0.393700787,0.393700787,0.787401575,0.787401575,0,0
14.19,0.366300366,1.465201465,0,0,1.098901099,7.326007326,0,8.791208791,9.523809524,1.098901099,0.732600733,0.366300366,1.465201465,21.24542125,14.65201465,9.157509158,0.366300366,0.732600733,0.366300366,0,2.93040293,0.732600733
14.41,2.281368821,1.520912548,0.760456274,0.380228137,5.323193916,1.520912548,0.760456274,3.802281369,5.703422053,0,0.760456274,0,1.520912548,38.40304183,6.463878327,6.844106464,0,0.760456274,1.140684411,2.661596958,5.323193916,2.281368821
14.62,0.980392157,0.490196078,0.980392157,0,0.980392157,9.803921569,0,7.352941176,9.803921569,0.490196078,2.450980392,1.470588235,0,13.7254902,3.921568627,8.333333333,0.490196078,0.490196078,0,6.37254902,4.411764706,0.490196078
14.82,0.456621005,0,0,0.913242009,0.913242009,2.283105023,0,9.132420091,5.02283105,0,3.652968037,0.913242009,0,1.826484018,5.936073059,11.87214612,0,0.913242009,2.283105023,10.95890411,4.566210046,0
15.22,0.806451613,2.419354839,0.403225806,0,1.209677419,4.838709677,0,11.29032258,2.822580645,0,4.032258065,2.016129032,0,2.822580645,12.09677419,9.677419355,0,0,0.403225806,4.435483871,3.225806452,0.403225806
15.39,0.925925926,5.092592593,0,0,1.388888889,7.87037037,0,9.259259259,4.166666667,0,2.314814815,1.388888889,0,6.481481481,5.555555556,7.87037037,0,0,0.925925926,2.777777778,2.314814815,0
15.48,1.395348837,4.651162791,1.395348837,0,2.325581395,6.046511628,0.930232558,6.046511628,6.046511628,0.465116279,1.395348837,0.930232558,0,10.23255814,6.046511628,6.511627907,0,0,3.255813953,1.395348837,2.325581395,3.255813953
15.56,1.219512195,4.87804878,1.62601626,0,2.845528455,7.317073171,2.032520325,7.317073171,9.349593496,0.406504065,2.845528455,1.219512195,0,9.349593496,6.504065041,3.658536585,0.406504065,0.406504065,0.406504065,3.25203252,2.43902439,2.845528455
15.64,0.836820084,12.9707113,0.418410042,1.255230126,2.092050209,8.368200837,2.092050209,3.765690377,8.786610879,0,0,0,0,10.87866109,5.020920502,4.184100418,0,0,0.418410042,1.255230126,1.673640167,5.857740586
15.71,0,9.128630705,0,0.829875519,2.074688797,8.713692946,2.074688797,5.394190871,6.639004149,0.414937759,0.414937759,0,0,18.25726141,4.979253112,6.22406639,0.414937759,0,0,1.244813278,1.244813278,4.564315353
15.79,0.411522634,20.57613169,0,2.469135802,3.29218107,7.407407407,1.234567901,5.761316872,3.703703704,1.234567901,0,0,0.411522634,11.93415638,6.172839506,6.58436214,0,0,0,0,0,8.641975309
15.89,0.420168067,38.23529412,0,1.260504202,3.361344538,6.302521008,2.100840336,2.521008403,4.621848739,1.260504202,0,0,0,6.722689076,5.042016807,4.201680672,0,0,0.840336134,0,0.840336134,7.983193277
15.98,0,42.06349206,0,0.793650794,1.587301587,3.968253968,1.984126984,0.793650794,3.571428571,0,0,0,0,16.66666667,3.968253968,3.174603175,0,0.396825397,0,0,0.793650794,7.142857143
