Age [ka],Depth [cm],FAI,Infaunals[%],Epibenthic[%],Calcareous[%],Porcellaneous[%],Agglutinated[%],Stress Species[%],Oxic[%],Suboxic[%],Dysoxic[%],EBFOI,DO3[mL/L],OM,TR,Time,BWT_Uv  [deg-C],Mg/Ca_Uv  [mmol/mol],Mn/Ca_Uv [mmol/mol],BWT_Mel - Lineal [deg C],BWT_Mel - Expon. [deg C],Mg/Ca_Mel [mmol/mol],Mn/Ca_Mel [mmol/mol],d13C [o/oo],d13C (corrected) [o/oo],dw [permil],,
0.18,2.5,12.7,83.3,16.7,95,0,5,75.8,8.2,68,23.7,7.8,1.8,LO,EU,Hc2,6.6,0.01,1.45,,,,,,,,,
0.76,7.5,11.5,78.5,21.5,96.2,0,3.8,72.2,8.6,72.4,19,9.1,1.8,LO,EU,Hc2,3.5,0,1.16,,,,,,,,,
1.61,12.5,8.8,76.1,23.9,96,0,4,68.7,11.9,63.8,24.4,11.3,1.9,LO,EU,Hc2,,,,,,,,0.47,0.48,0.3,,
2.39,17.5,10.4,72.8,27.2,95.4,0,4.6,63.6,12.3,65.6,22.1,14.9,2,LO,EU,Hc2,2.1,0,1.04,,,,,0.53,0.53,-0.01,,
3.12,22.5,8.9,58.2,41.8,98.2,0,1.8,57.3,20.8,60.9,18.4,30.6,2.6,LO,MS,Hc2,1.9,0.01,1.02,,,,,0.58,0.58,-0.13,,
4.08,27.5,9.9,64.5,35.5,97.5,0,2.5,60.3,27,50,23,40.1,3,LO,MS,Hc2,2.9,0.01,1.11,,,,,0.62,0.62,-0.18,,
5.02,32.5,9.4,51.6,48.4,94.6,0,5.4,46.6,28.1,57.1,14.8,43,3.1,HO,MS,Hc2,2.4,0.01,1.06,,,,,0.64,0.64,-0.04,,
5.59,37.5,7.9,54.5,45.5,97,0,3,51.1,18.2,63.6,18.2,27.3,2.5,LO,MS,Hc2,,,,,,,,0.57,0.57,0.7,,
5.88,42.5,8.8,56.3,43.7,97.8,0,2.2,51.1,16.6,63.6,19.8,24.2,2.4,LO,MS,Hc2,,,,,,,,0.45,0.45,0.67,,-0.672289153
6.2,47.5,12.3,57.5,42.5,95.5,0.5,4,50.5,17.7,60.8,21.5,22.2,2.3,LO,MS,Hc2,4.2,0.01,1.22,,,,,0.42,0.42,0.3,,
6.52,52.5,11.2,59.9,40.1,94.1,1.8,4.1,55.4,20.9,54.2,24.9,27.5,2.5,LO,MS,Hc1,3.2,0.01,1.14,13.42,-0.02,1.8,0.02,0.46,0.46,0.02,,
6.83,57.5,9.5,68.1,31.9,93.4,0.5,6.1,62,18.7,48.7,32.6,20.3,2.2,LO,EU,Hc1,3.4,0.01,1.15,,,,,0.49,0.48,-0.02,,
7.12,62.5,10.5,59.9,40.1,93.4,0,6.6,50.9,13.7,65.8,20.5,17.3,2.1,LO,MS,Hc1,3.6,0.01,1.18,,,,,0.37,0.36,0.03,,
7.5,67.5,15.3,57.7,42.3,91.9,2.7,5.4,50.5,25,48.9,26.1,30.3,2.6,LO,MS,Hc1,3.8,0.01,1.19,9.76,-0.02,1.53,0.02,0.03,0.02,0.12,,
8.01,72.5,11.3,63.9,36.1,94.1,1.8,4.1,55.3,13.8,62.6,23.6,15.2,2,LO,MS,Hc1,3.1,0.01,1.13,10.38,-0.02,1.58,0.02,0.15,0.15,0,,
8.49,77.5,14.2,67.4,32.6,93.3,1.3,5.4,61.1,13.6,48.2,38.2,10.9,1.9,LO,EU,Hc1,2.8,0.01,1.1,,,,,0.26,0.27,-0.11,,
8.98,82.5,12.6,61.8,38.2,92.9,1.8,5.3,50.2,21.6,49.4,29,24.1,2.3,LO,MS,Hc1,2.6,0,1.08,,,,,0.28,0.29,-0.2,,
9.52,87.5,13.2,63.2,36.8,91.8,0.9,7.3,48.6,22.2,53.2,24.6,26.2,2.4,LO,MS,Hc1,1.7,0,1,9.88,-0.02,1.54,0.01,0.23,0.25,-0.16,,
10,92.5,13,52.8,47.2,92.1,4.4,3.5,42.8,30.1,44.3,25.6,36.7,2.8,LO,MS,Hc1,4,0,1.21,10.53,-0.02,1.59,0.01,0.11,0.24,0.08,,
10.45,97.5,17,65.5,34.5,93.3,2.4,4.4,55.2,16.5,50.5,33,16.7,2.1,LO,MS,Hc1,3.6,0.01,1.17,12.98,-0.02,1.77,0.02,-0.01,0.23,0.32,,
10.82,102.5,16.2,61.2,38.8,94.9,2.3,2.8,49.5,22.7,54,23.3,28,2.5,LO,MS,Hc1,,,,,,,,0.03,0.11,,,
10.99,107.5,11.2,43,57,96.3,1.2,2.5,34.8,44.6,35.8,19.7,61.3,3.9,HO,MS,Hc1,,,,,,,,0.08,0.1,,,
11.15,112.5,13.2,43.1,56.9,96.7,1.7,1.7,31.8,45.5,37,17.5,65.4,4.1,HO,MS,Hc1,,,,,,,,0.03,0.08,,,
11.31,117.5,11.5,42.5,57.5,96,1.6,2.4,27.8,45.9,39.2,14.9,66.1,4.2,HO,MS,Hc1,,,,20,-0.02,2.29,0.02,-0.09,0.01,,,
11.47,122.5,15.6,53.7,46.3,96.3,2,1.6,42.7,36.9,39.9,23.2,51.4,3.5,HO,MS,Hc1,3.3,0.01,1.15,,,,,-0.18,-0.04,0.81,,
11.63,127.5,10.1,40,60,95.7,3.5,0.9,30,47.9,31.1,21,58.3,3.8,HO,MS,YD,,,,,,,,-0.16,-0.05,,,
11.79,132.5,14.8,60.9,39.1,95.7,2.7,1.6,50.8,18,47.9,34.1,20.4,2.2,LO,MS,YD,,,,,,,,-0.15,-0.06,1.74,,
11.94,137.5,16.4,50.8,49.2,89.1,8.4,2.5,37,39.1,42,19,50.9,3.4,HO,MS,YD,,,,26.84,-0.02,2.8,0.03,-0.19,-0.01,,,
12.08,142.5,15.1,59.2,40.8,94.8,4.7,0.5,49.8,30.7,54,15.3,40.5,3,LO,MS,YD,,,,22.76,-0.02,2.49,0.02,-0.25,0.2,,,
12.2,147.5,16.4,39.1,60.9,94.5,5.5,0,28.2,54.9,37.7,7.4,77.7,4.7,HO,MS,YD,,,,23.58,-0.02,2.55,0.03,-0.39,0.35,,,
12.31,152.5,13.8,63.4,36.6,95.5,4.5,0,49,25,53.8,21.3,30,2.6,LO,MS,YD,,,,22.34,-0.02,2.46,0.02,-0.61,0.42,,,
12.42,157.5,,,,,,,,,,,,,,,YD,,,,24.8,-0.02,2.65,0.02,-0.8,0.43,,,
12.53,162.5,13.9,69,31,93.5,6.5,0,54,23.4,53.9,22.8,28.1,2.5,LO,EU,YD,,,,26.39,-0.02,2.76,0.03,-0.91,0.42,,,
12.64,167.5,15.9,69.2,30.8,91.3,8.3,0.4,48.2,23.8,54.5,21.7,31.7,2.6,LO,EU,YD,,,,25.34,-0.02,2.68,0.03,,,,,
12.75,172.5,15.8,62.9,37.1,85,14.6,0.4,45.4,31.3,45.8,22.9,41.9,3.1,HO,MS,YD,,,,,,,,-1,0.43,1.48,,
12.86,177.5,12.6,58.9,41.1,89.4,5.3,5.3,43,29.7,46.5,23.9,33.8,2.7,LO,MS,YD,,,,24.61,-0.02,2.63,0.03,-1.01,0.43,1.43,,
12.97,182.5,16.9,63.6,36.4,90,9.2,0.8,47.7,27.4,56.3,16.3,39.4,3,LO,MS,B-A,,,,22.76,-0.02,2.49,0.03,-1.02,0.41,,,
13.08,187.5,13.3,65.6,34.4,83,10.9,6.2,43.5,28.4,59,12.6,47.2,3.3,HO,MS,B-A,5.9,0.01,1.38,,,,,-1.01,0.41,1.33,,
13.18,192.5,12.6,69.4,30.6,92.2,4.9,2.9,48.2,15.7,67.5,16.8,22.4,2.3,LO,EU,B-A,3.1,0,1.13,22.05,-0.02,2.44,0.02,-0.96,0.45,1.24,,
13.29,197.5,12.3,84,16,97.4,2.6,0,63.5,8,70.2,21.8,11.2,1.9,LO,EU,B-A,,,,,,,,-0.88,0.52,,,
13.49,202.5,13.5,74.8,25.2,93.1,5.3,1.6,44.3,15.7,75.6,8.6,25.6,2.4,LO,EU,B-A,3.5,0,1.17,,,,,-0.76,0.64,1.71,,
13.72,207.5,9.4,81.5,18.5,96.7,2.2,1.1,43.1,9.8,85.5,4.7,18.8,2.1,LO,EU,B-A,,,,,,,,-0.68,0.73,2.23,,
13.95,212.5,12.4,70.5,29.5,93.7,5.9,0.4,39.4,19.8,73.4,6.8,34,2.7,LO,EU,B-A,,,,,,,,-0.69,0.72,2.32,,
14.18,217.5,13.4,71.4,28.6,93.4,5.5,1.1,50.9,16.5,72,11.5,27.5,2.5,LO,EU,B-A,,,,,,,,-0.73,0.68,,,
14.41,222.5,10.8,81.4,18.6,95.1,4.2,0.8,70.3,11.5,81,7.5,20.5,2.2,LO,EU,B-A,4.9,0,1.3,,,,,-0.8,0.62,1.84,,
14.62,227.5,14.3,63.2,36.8,78.9,20.6,0.5,53.4,32.4,52.6,15,44.4,3.2,HO,MS,B-A,4.8,0,1.28,,,,,-0.92,0.47,1.69,,
14.82,232.5,13.8,44.7,55.3,68,31.1,0.9,32,46.7,48.9,4.3,71.9,4.4,HO,MS,pre-B-A,3.4,0,1.16,,,,,-1.03,0.29,1.78,,
15.02,237.5,,,,,,,,,,,,,,,pre-B-A,,,,,,,,-1.1,0.23,1.89,,
15.22,242.5,17.7,46,54,69,31,0,28.6,48.8,40.7,10.5,76.5,4.7,HO,MS,pre-B-A,3.9,0,1.2,,,,,-1.11,0.27,1.52,,
15.4,247.5,15.6,49.5,50.5,69.4,30.6,0,35.2,47.2,34.4,18.3,62.3,4,HO,MS,pre-B-A,4.7,0,1.27,,,,,-1.02,0.36,1.44,,
15.48,252.5,15,53,47,72.1,27.9,0,41.4,40.4,43.7,15.8,56.2,3.7,HO,MS,HS1b,4.6,0.01,1.27,,,,,-1.01,0.38,1.56,,
15.56,257.5,19,68.3,31.7,81.3,17.1,1.6,52.8,31,49.5,19.5,46,3.2,HO,EU,HS1b,,,,,,,,-1.02,0.39,1.56,,
15.64,262.5,14.2,65.3,34.7,76.2,22.2,1.7,54.8,32.3,38.3,29.4,41.7,3,HO,MS,HS1b,,,,,,,,-1.01,0.37,1.48,,
15.71,267.5,13.7,64.7,35.3,79.3,20.3,0.4,53.9,31.8,45.3,22.9,44.2,3.2,HO,MS,HS1b,3.7,0,1.18,,,,,-0.92,0.33,1.36,,
15.79,272.5,9.9,68.3,31.7,84,16,0,59.7,29.1,32.7,38.2,32.9,2.7,LO,EU,HS1b,,,,,,,,-0.73,0.24,,,
15.89,277.5,8.2,79.8,20.2,90.8,9.2,0,69.7,16.2,29.9,53.9,9.9,1.8,LO,EU,HS1b,,,,,,,,-0.45,0.13,,,
15.98,282.5,8.1,84.9,15.1,90.5,9.1,0.4,77,13,32.1,54.9,6,1.7,LO,EU,HS1b,,,,,,,,-0.23,0.05,,,
16.08,287.5,9.8,78.7,21.3,92.8,6.8,0.4,66.7,19.9,39.8,40.3,21.9,2.3,LO,EU,HS1b,3.6,0,1.17,,,,,-0.12,0.01,1.25,,
16.17,292.5,8.5,77.3,22.7,86.6,13.4,0,71.7,20.4,39.6,40,23.2,2.3,LO,EU,HS1b,,,,,,,,-0.05,0.01,,,
16.27,297.5,,,,,,,,,,,,,,,HS1b,,,,,,,,0.02,0.05,1.58,,
16.36,302.5,13.5,66.4,33.6,81.2,16.6,2.2,52.8,31.4,44.9,23.7,44.1,3.2,HO,EU,HS1b,3.5,0.01,1.16,,,,,0.08,0.1,1.42,,
16.44,307.5,,,,,,,,,,,,,,,HS1b,3.6,0,1.18,,,,,0.1,0.12,1.27,,
16.51,312.5,15.7,58,42,83.5,15.6,0.8,49.8,36.1,45.8,18.1,55.4,3.6,HO,MS,HS1b,4.5,0.01,1.25,,,,,0.11,0.12,1.19,,
16.59,317.5,,,,,,,,,,,,,,,HS1b,3.1,0,1.13,,,,,0.11,0.11,1.17,,
16.67,322.5,15.1,54.3,45.7,80.9,17.4,1.8,47.2,38.1,47.6,14.3,67.2,4.2,HO,MS,HS1b,4.1,0.01,1.22,,,,,0.11,0.11,1.18,,
16.75,327.5,,,,,,,,,,,,,,,HS1a,4.9,0.01,1.29,30.91,-0.02,3.1,0.03,0.12,0.13,1.19,,
16.82,332.5,11.2,49,51,77.1,22.9,0,47.8,44.9,46.2,8.9,78.2,4.8,HO,MS,HS1a,3.8,0.01,1.19,,,,,0.15,0.15,1.17,,
16.9,337.5,,,,,,,,,,,,,,,HS1a,3.4,0,1.15,22.48,-0.02,2.47,0.03,0.18,0.18,1.16,,
16.98,342.5,12.2,55.2,44.8,84.1,15.1,0.8,49.4,40.5,44.5,15,65.8,4.1,HO,MS,HS1a,3.3,0.01,1.14,,,,,0.21,0.21,1.22,,
17.05,347.5,10.8,61,39,85.5,13.7,0.8,56,31.6,50.2,18.2,49.9,3.4,HO,MS,HS1a,3.1,0,1.12,,,,,0.24,0.25,1.35,,
17.12,352.5,12.1,73.9,26.1,89.4,9.7,1,67.1,20.5,59,20.5,28.1,2.5,LO,EU,HS1a,5.6,0.01,1.36,,,,,0.27,0.27,1.47,,
17.19,357.5,10.7,52.4,47.6,81.3,17.1,1.6,46.3,43,43,14,71.7,4.4,HO,MS,HS1a,3,0.01,1.12,,,,,0.28,0.28,1.47,,
17.27,362.5,12.1,48.7,51.3,86.7,12.8,0.4,44.2,44.3,40.6,15.1,69.5,4.3,HO,MS,HS1a,3.5,0,1.16,,,,,0.29,0.29,1.43,,
17.39,367.5,11.3,64.4,35.6,81.2,18,0.8,61.9,28.8,52.4,18.8,45.9,3.2,HO,MS,HS1a,3.7,0.01,1.18,,,,,0.29,0.29,1.48,,
17.51,372.5,11.4,65.1,34.9,83.2,14.7,2.2,58.6,26.5,62.3,11.2,44,3.1,HO,MS,HS1a,,,,20.52,-0.02,2.33,0.03,0.3,0.3,1.66,,
17.64,377.5,14.6,73.4,26.6,89.3,10.2,0.4,68,20.4,63.9,15.7,33.6,2.7,LO,EU,HS1a,4.7,0.01,1.27,,,,,0.31,0.31,1.75,,
