depth	min	max	median	mean
2.5	-15	393	183	183
3.5	28	708	291	311
4.5	59	1059	392	439
5.5	84	1422	496	567
6.5	105	1789	600	696
7.5	185	2048	735	837
8.5	268	2217	907	992
9.5	320	2431	1077	1146
10.5	363	2686	1232	1301
11.5	399	3006	1382	1455
12.5	513	3228	1544	1617
13.5	637	3365	1734	1787
14.5	726	3504	1921	1957
15.5	802	3682	2097	2127
16.5	864	3942	2260	2297
17.5	998	4125	2425	2463
18.5	1178	4206	2602	2625
19.5	1318	4309	2778	2786
20.5	1428	4437	2950	2947
21.5	1535	4610	3118	3109
22.5	1711	4759	3283	3273
23.5	1929	4821	3449	3441
24.5	2097	4898	3636	3608
25.5	2239	4990	3827	3776
26.5	2366	5131	4017	3943
27.5	2583	5248	4178	4103
28.5	2841	5297	4326	4255
29.5	3042	5353	4483	4406
30.5	3208	5416	4651	4558
31.5	3331	5506	4828	4710
32.5	3593	5589	4973	4864
33.5	4025	5621	5103	5021
34.5	4451	5660	5230	5178
35.5	4867	5709	5356	5335
36.5	5236	5784	5487	5492
37.5	5382	5872	5593	5602
38.5	5432	5944	5656	5664
39.5	5465	6049	5715	5726
40.5	5489	6184	5771	5789
41.5	5508	6339	5824	5851
42.5	5550	6436	5882	5913
43.5	5599	6483	5947	5974
44.5	5632	6537	6016	6034
45.5	5659	6606	6080	6095
46.5	5682	6698	6142	6156
47.5	5733	6765	6202	6216
48.5	5800	6798	6265	6275
49.5	5849	6839	6331	6333
50.5	5887	6885	6397	6392
51.5	5916	6950	6459	6451
52.5	5984	7002	6518	6510
53.5	6070	7027	6576	6568
54.5	6133	7055	6637	6626
55.5	6182	7094	6701	6684
56.5	6222	7145	6765	6743
57.5	6317	7187	6821	6802
58.5	6465	7208	6872	6862
59.5	6605	7233	6924	6922
60.5	6721	7264	6979	6982
61.5	6804	7305	7039	7042
62.5	6893	7366	7117	7120
63.5	6962	7507	7207	7215
64.5	6999	7730	7289	7310
65.5	7024	7982	7369	7404
66.5	7045	8248	7445	7499
67.5	7105	8417	7534	7595
68.5	7171	8501	7639	7691
69.5	7212	8608	7746	7787
70.5	7245	8741	7846	7883
71.5	7275	8905	7939	7980
72.5	7340	9032	8032	8074
73.5	7417	9105	8131	8167
74.5	7479	9203	8229	8260
75.5	7526	9318	8329	8353
76.5	7566	9469	8422	8446
77.5	7641	9576	8516	8539
78.5	7738	9637	8613	8633
79.5	7812	9708	8715	8726
80.5	7872	9797	8815	8820
81.5	7920	9910	8916	8913
82.5	8012	10000	9010	9008
83.5	8127	10051	9110	9104
84.5	8220	10111	9211	9199
85.5	8295	10189	9314	9295
86.5	8354	10292	9412	9391
87.5	8462	10374	9504	9486
88.5	8590	10416	9602	9580
89.5	8699	10463	9707	9674
90.5	8780	10523	9810	9767
91.5	8848	10612	9913	9861
92.5	8980	10680	10003	9954
93.5	9161	10712	10091	10047
94.5	9312	10753	10183	10139
95.5	9425	10801	10279	10232
96.5	9511	10864	10378	10324
97.5	9671	10925	10460	10415
98.5	9907	10954	10532	10504
99.5	10136	10988	10605	10593
100.5	10344	11034	10679	10682
101.5	10503	11097	10759	10771
102.5	10576	11157	10820	10832
103.5	10605	11195	10855	10867
104.5	10627	11239	10889	10901
105.5	10644	11297	10923	10935
106.5	10659	11364	10954	10969
107.5	10686	11413	10986	11002
108.5	10716	11441	11019	11034
109.5	10739	11477	11052	11065
110.5	10758	11518	11084	11097
111.5	10775	11564	11116	11129
112.5	10802	11605	11147	11161
113.5	10833	11633	11179	11192
114.5	10859	11666	11212	11224
115.5	10881	11701	11245	11256
116.5	10900	11746	11277	11288
117.5	10929	11782	11308	11319
118.5	10965	11803	11339	11350
119.5	10994	11829	11372	11381
120.5	11018	11859	11404	11412
121.5	11037	11894	11435	11443
122.5	11071	11927	11466	11474
123.5	11112	11949	11497	11505
124.5	11141	11975	11530	11537
125.5	11166	12007	11562	11568
126.5	11188	12040	11594	11599
127.5	11223	12072	11625	11631
128.5	11264	12093	11656	11662
129.5	11302	12119	11688	11693
130.5	11331	12146	11721	11724
131.5	11354	12180	11753	11755
132.5	11394	12207	11783	11786
133.5	11446	12225	11814	11818
134.5	11488	12248	11844	11850
135.5	11520	12275	11876	11881
136.5	11550	12304	11908	11913
137.5	11597	12330	11937	11944
138.5	11663	12352	11965	11975
139.5	11718	12372	11993	12006
140.5	11764	12395	12023	12037
