Depth [cm],d18O [per mil PDB] - Cibicidoides spp.,d13C [per mil PDB] - Cibicidoides spp.,sp.
12.5,2.15,0.43,C. pachyderma
17.5,2.15,0.44,C. pachyderma
22.5,2.39,0.70,C. pachyderma
27.5,2.16,0.58,C. pachyderma
32.5,2.12,0.68,C. pachyderma
37.5,1.82,0.58,C. pachyderma
42.5,1.97,0.44,C. pachyderma
47.5,2.01,0.35,C. pachyderma
52.5,2.02,0.50,C. pachyderma
57.5,2.09,0.50,C. pachyderma
62.5,1.98,0.46,C. pachyderma
67.5,2.25,-0.24,C. pachyderma
72.5,2.10,0.25,C. pachyderma
77.5,2.18,0.33,C. pachyderma
82.5,2.21,0.34,C. pachyderma
87.5,2.08,0.23,C. pachyderma
92.5,2.12,0.17,C. pachyderma
97.5,2.47,0.89,"C. robertsonianus, C. pachyderma"
102.5,2.34,0.40,C. pachyderma
107.5,2.31,0.90,C. pachyderma
112.5,2.23,0.20,C. pachyderma
117.5,2.28,0.13,C. pachyderma
122.5,2.83,-0.95,C. pachyderma
127.5,2.34,0.26,C. pachyderma
132.5,2.51,-0.60,C. pachyderma
137.5,2.43,0.71,"C. robertsonianus, C. pachyderma"
142.5,2.26,0.79,C. robertsonianus
147.5,2.29,0.14,C. pachyderma
152.5,2.85,0.08,C. robertsonianus
157.5,2.79,-0.18,C. robertsonianus
162.5,2.93,0.14,C. robertsonianus
172.5,2.90,-0.13,C. robertsonianus
177.5,3.14,0.17,C. robertsonianus
182.5,3.12,-0.88,C. robertsonianus
187.5,2.92,-0.08,C. robertsonianus
192.5,3.14,0.06,C. robertsonianus
197.5,3.28,0.19,C. robertsonianus
202.5,3.39,0.19,C. robertsonianus
207.5,3.51,-0.50,C. pachyderma
212.5,3.43,0.28,C. robertsonianus
217.5,3.57,0.29,C. robertsonianus
222.5,3.25,0.28,C. robertsonianus
227.5,3.30,0.05,C. robertsonianus
232.5,3.41,-0.38,C. robertsonianus
237.5,3.13,-0.58,C. robertsonianus
242.5,3.08,-0.28,C. robertsonianus
247.5,2.69,0.16,C. robertsonianus
