"depth_cm","Median Age","Q0.025","Q0.16","Q0.84","Q0.975"
2.5,180.981175,-17.5731125,63.48068,289.840786,388.65225
3.5,289.5913,21.79332125,140.924982,477.90434,679.664775
4.5,388.199,50.41595225,193.5207416,695.0642,1002.850905
5.5,489.1835,74.62535375,239.1784528,911.67264,1336.54965
6.5,594.92055,98.17497875,280.09249,1134.108736,1671.9777725
7.5,724.8611,177.9333925,376.62081944,1311.789372,1928.2052925
8.5,901.22445,267.68157125,511.64845,1453.0767,2118.1956
9.5,1076.08865,326.39907,616.98206,1641.76173596,2324.25738
10.5,1236.646275,377.65588375,703.531476,1858.077084,2546.0710345
11.5,1390.358525,411.34263375,780.488412,2093.0304656,2809.8089975
12.5,1563.4218,566.79951025,941.680612,2297.1288448,3002.1067425
13.5,1788.299075,729.1656275,1172.960568,2482.043812,3160.1060725
14.5,2032.7336,827.43623625,1337.986906,2704.19472,3359.62539375
15.5,2239.6068,909.535305,1478.37986,2976.718604,3588.46195
16.5,2427.235375,984.13994,1617.713838,3290.397172,3975.728725
17.5,2603.55275,1113.83279,1755.82262,3522.967208,4239.74332625
18.5,2766.3669,1258.99266125,1925.7097976,3653.7987368,4306.80149375
19.5,2939.4219,1379.5506125,2098.527592,3796.70412,4405.825265
20.5,3109.690025,1483.19097775,2276.243472,3951.651086,4524.57122
21.5,3270.24325,1567.946105,2427.744386,4127.542312,4687.8093
22.5,3419.939375,1763.211726125,2591.17232,4261.256184,4812.222698375
23.5,3566.392125,2001.65393625,2798.068908,4363.001614,4865.41390875
24.5,3725.2455,2191.07645,3004.7736816,4474.84335,4925.07039125
25.5,3896.645,2357.6632675,3162.217968,4598.349122,5003.63384625
26.5,4078.61225,2516.0841975,3294.027374,4747.405364,5122.48074625
27.5,4233.23805,2757.81913625,3456.618064,4876.50365,5221.37012875
28.5,4384.80015,3068.79965,3666.176006,4952.798048,5272.7839025
29.5,4545.5235,3320.10730375,3870.6737036,5039.40231232,5335.77929375
30.5,4719.413,3503.3106925,4071.35902,5142.104654,5405.7177675
31.5,4896.7724,3592.137245,4250.51526,5273.32242,5505.69614625
32.5,5036.43855,3821.99746375,4447.17084,5375.9775408,5592.1858225
33.5,5154.724,4199.613945,4688.338268,5426.761964,5624.970813875
34.5,5268.066225,4574.88444,4927.213824,5477.041604,5662.341745
35.5,5377.8589,4939.61742,5162.81878,5537.321578,5711.42666625
36.5,5495.05255,5249.2487875,5375.43232,5618.983228,5788.9862625
37.5,5592.60355,5386.73215375,5495.4061688,5705.302292,5870.1357375
38.5,5652.007725,5433.82366875,5544.8969692,5777.047872,5937.941563
39.5,5710.487825,5461.7280075,5583.51362,5860.492622,6040.08776
40.5,5764.55675,5484.39780875,5612.884946,5949.1881,6165.21569625
41.5,5814.836425,5503.09824625,5639.438418,6043.187762,6310.6398025
42.5,5872.98654,5548.644255,5688.393188,6117.3904436,6404.891664875
43.5,5939.07345,5599.45523375,5751.38094,6177.685686,6456.52040825
44.5,6008.7379,5637.096201875,5803.77504,6250.919472,6506.925255
45.5,6075.215045,5665.61955525,5845.6817812,6331.94794,6578.366
46.5,6139.720375,5688.25658325,5884.986704,6422.943198,6685.9697225
47.5,6202.390105,5744.100088375,5941.904894,6489.9477944,6757.2981025
48.5,6267.3402625,5810.93653,6017.433764,6535.469536,6787.955875
49.5,6336.55505,5858.81339375,6083.725282,6589.544032,6827.71917875
50.5,6406.906525,5890.00524125,6136.185662,6655.4155496,6873.84122125
51.5,6473.017025,5916.26760875,6181.282622,6727.248396,6943.92548375
52.5,6531.9222025,5988.48701,6244.870222,6783.559166,6999.41742125
53.5,6585.35755,6078.946591875,6324.98932,6819.568992,7023.827736375
54.5,6644.3689125,6146.16883875,6402.50467,6860.43236064,7049.34443
55.5,6706.91379,6197.23875625,6465.17146,6906.588602,7081.900276875
56.5,6770.0506925,6238.8342915,6520.29841,6965.3360744,7128.07251375
57.5,6824.4436785,6329.8854775,6592.278168,7011.700727,7173.424975
58.5,6873.803175,6473.50842875,6683.434384,7038.464418,7198.98712875
59.5,6926.709225,6611.6530375,6770.209588,7069.16022,7225.301786875
60.5,6979.0196725,6722.76478375,6852.76543,7106.4369762,7254.55607125
61.5,7036.8816,6800.430553125,6923.464718,7153.544316,7294.23429375
62.5,7118.407,6894.69769375,7006.917108,7229.104658,7362.0308225
63.5,7215.776625,6970.698925,7084.17593,7356.4452288,7505.25422
64.5,7304.990875,7007.83762475,7141.800569,7506.183596,7729.4210975
65.5,7391.4155,7036.383137375,7186.080066,7667.8520432,7981.084104875
66.5,7474.817275,7059.42565125,7225.716124,7843.74032,8247.6297025
67.5,7567.9314,7115.6419085,7298.045528,7971.49497,8404.400585
68.5,7679.484575,7181.6852475,7390.654738,8064.496836,8482.995575
69.5,7786.00475,7225.29658,7462.3524,8177.588202,8594.47976375
70.5,7883.89245,7265.83248125,7525.46494,8311.801402,8731.34537875
71.5,7976.1704,7294.71839375,7584.75317,8456.60723,8908.0174425
72.5,8070.5724,7365.78691,7667.73853,8570.42938,9041.11094375
73.5,8176.899975,7466.06804125,7771.7739516,8663.1493478,9114.81908
74.5,8278.760965,7528.6622625,7859.887426,8770.123262,9214.90986375
75.5,8386.27945,7582.83376875,7937.064796,8883.246344,9349.87447875
76.5,8479.643295,7629.95956175,8001.739,9013.793804,9505.69434
77.5,8575.22855,7715.660735,8085.3406698,9122.34342,9622.10780125
