"Depth [cm]","Median Age [kyrs]","Mean d13C [o/oo]","Q0.025","Q0.16","Q0.84","Q0.975"
22.5,3.419939375,0.22078470784747,0.157473591592997,0.192402758665757,0.249506622864095,0.281242686809836
27.5,4.23323805,0.197116724846959,0.0464458532368859,0.147148299680185,0.247659189350766,0.279374754673651
32.5,5.03643855,0.0931248925740062,-0.0984763139280902,-0.0340659448349792,0.201863206981006,0.261782062276797
37.5,5.59260355,-0.0597018989325107,-0.206522193085636,-0.166676142931031,0.0725729859933325,0.285465818824928
42.5,5.87298654,0.120877897660314,-0.13488306371239,-0.0332870930357989,0.265155387956444,0.330807823809896
47.5,6.202390105,0.0832521350271671,-0.119571605855706,-0.0532944556841792,0.216019386410523,0.306406067107334
52.5,6.5319222025,0.112075335871778,-0.105033447599682,0.0115913763675615,0.201063432473583,0.250027540069519
57.5,6.8244436785,0.105551268528238,0.0011978693532639,0.0503578584943495,0.169794520851967,0.230712249987132
62.5,7.118407,0.0363988746030939,-0.0320298675120301,0.000556480751355996,0.0690531772800007,0.133872163154142
227.5,14.621247175,0.0579692315929212,-0.144897543991584,-0.0245776910062299,0.125242448858824,0.157568079462379
232.5,14.818336895,-0.0338127482741164,-0.194288841947348,-0.14633958022821,0.0819738463067643,0.136746964548181
237.5,15.0247398,-0.113845393943688,-0.20586185217117,-0.171110572574901,-0.0485638657176996,0.0647585469614004
242.5,15.2220803825,-0.128014327714741,-0.197013110940923,-0.165180196956485,-0.092668609263383,-0.039158868113851
347.5,17.0487252375,0.00233503428625839,-0.192666596351234,-0.0673652796799259,0.0657373635814048,0.100094636971809
352.5,17.1204777,-0.0319096728240142,-0.24290542099006,-0.114953588339007,0.051946875672216,0.0928842054158486
357.5,17.19375247825,-0.0718518182428085,-0.257915602485537,-0.20045383265798,0.0335909735302488,0.0818235704397351
362.5,17.273417855,-0.114101164262328,-0.265934429631769,-0.223264332670085,0.00236087324489502,0.0693142952054453
367.5,17.390944773,-0.117131774488537,-0.256175378708644,-0.212642459014143,-0.0217875879624701,0.043489684884401
372.5,17.513520435,-0.0871077666208731,-0.233848738738021,-0.172696387763,-0.0161922862701884,0.0368584587847634
377.5,17.64115525,-0.0728581960571997,-0.209413052019644,-0.144484024766831,-0.010908719502635,0.0601758108697855
382.5,17.767363565,-0.0665078737372053,-0.19554950385311,-0.143202059387249,0.00741938100638825,0.0821216866522006
387.5,17.894060215,-0.0665466257786308,-0.194204891454464,-0.150143803529373,0.021845672217214,0.0941087347550533
392.5,18.024702667,-0.0594171670502409,-0.192198807382153,-0.148702839102405,0.0405150802429954,0.108185216873702
397.5,18.1557021375,-0.0449748049716316,-0.183778554847898,-0.137743301654517,0.0580588283903101,0.120025519888116
402.5,18.2849439825,-0.038550276729689,-0.173002834155713,-0.12906694791089,0.0649065293095767,0.12411106233635
407.5,18.4111974725,-0.0518688239499672,-0.16593265599334,-0.13227060271238,0.0524708373991616,0.120054003060677
412.5,18.5569672525,-0.0908953805295535,-0.172625747299955,-0.144247559888304,-0.0302495470179262,0.098743186586917
